R' F' R U' F' L'
R' L' F' R B' U' F'
L' R' F' R B' U' F'
R' L' F' B' R U' F'
L' R' F' B' R U' F'
R' L' B' F' R U' F'
L' R' B' F' R U' F'
L U F L' U R F2
R' U' F' R U' L' F'
B' R' F' R U' F' L'
B2 R' F' R U' F' L'
B R' F' R U' F' L'
R' U2 F' R B U' F'
L U2 F L' B' U F2
U' D F' L' B' R' B
U' D F' B' L' R' B
U' D F' B' R' L' B
U' D F' B' R' B L'
U' D B' F' L' R' B
U' D B' F' R' L' B
U' D B' F' R' B L'
D' U' L F' B' L' R'
D' U' L F' B' R' L'
U' D' L F' B' L' R'
U' D' L F' B' R' L'
D' U' L B' F' L' R'
D' U' L B' F' R' L'
U' D' L B' F' L' R'
U' D' L B' F' R' L'
U' D' L2 F' L' B' R'
D' U' L2 F' L' B' R'
U' D' F' L B' L2 R'
U' D' F' L B' R' L2
D' U' F' L B' L2 R'
D' U' F' L B' R' L2
D U' F' L' B' R' B
D U' F' B' L' R' B
D U' F' B' R' L' B
D U' F' B' R' B L'
D U' B' F' L' R' B
D U' B' F' R' L' B
D U' B' F' R' B L'
L2 F L' F U F R
L F L' R B U F2
L F L' U F R F
L F R L' B U F2
L F R B L' U F2
R' F' L' R B' U' F'
U' F' L' B' R' D B2
R' F' L' B' R U' F'
R' F' R L' B' U' F'
R' F' R U' L F' L'
R' F' R U' L' F' L'
R' F' R U' L2 F' L'
R' F' R U' D F' L'
R' F' R U' D' F' L'
R' F' R U' D2 F' L'
R' F' R U' F' L' D
R' F' R U' F' L' D'
R' F' R U' F' L' D2
R' F' R U' F' D L'
R' F' R U' F' D' L'
R' F' R U' F' D2 L'
R' F' R D U' F' L'
R' F' R D' U' F' L'
R' F' R D2 U' F' L'
R' F' R B U' F' L'
R' F' R B' U' F' L'
R' F' R B2 U' F' L'
R' F' B R U' F' L'
U' F' B' L' R' D B2
U' F' B' R' L' D B2
U' F' B' R' D L' B2
U' F' B' R' D B2 L'
R' F' B' R U' F' L'
R' F' B2 R U' F' L'
U2 F2 U' F R B L
R' B F' R U' F' L'
L' B' R' F' R U' F'
U' B' D F' L' R' B
U' B' D F' R' L' B
U' B' D F' R' B L'
U' B' F' L' R' D B2
U' B' F' R' L' D B2
U' B' F' R' D L' B2
U' B' F' R' D B2 L'
R' B' F' R U' F' L'
D2 B2 U' F' L' B' R'
R' B2 F' R U' F' L'
