U' L F' U' B U'
U' F' L U' B U'
U2 B R2 U' B R'
U2 B U' R2 B R'
F' L R2 U F' R2 U
U' L R2 U F' U B
F' L U R2 F' U F
B2 L U R2 B L R
B2 L U R2 B R L
B2 L U' F' U2 L' R'
B2 L U' F' U2 R' L'
F' L U' B L2 U' F
F' L U' B U B' U2
U' L U' B R2 U' B
U' L U' B U F' U2
U' L D F' U' B U'
U' L D' F' U' B U'
U' L D2 F' U' B U'
U' L F' R2 U F' U
U' L F' U' D B U'
U' L F' U' D' B U'
U' L F' U' D2 B U'
U' L F' U' B U' D
U' L F' U' B U' D'
U' L F' U' B U' D2
U' L F' U' B D U'
U' L F' U' B D' U'
U' L F' U' B D2 U'
U' L F' D U' B U'
U' L F' D' U' B U'
U L F' U' B U' F
U' L F' D2 U' B U'
F L' D' B2 L2 F U
U' L' F' L2 U' B U'
B2 L2 F U R' D2 B2
B2 L2 F U D2 R' B2
B2 L2 F U' F2 U2 R'
B2 L2 F D' L2 U R'
B2 L2 F D2 U R' B2
L U R2 F' U F B
L U R2 F' U B F
L2 U' L' F' U' B U'
L' U' L2 F' U' B U'
L' U' F' L2 U' B U'
L U' F' U' F B U'
L U' F' U' B F U'
L U' B U F' B' U2
L U' B U B' F' U2
U2 R' B2 U' R' B L
F' R2 L U F' R2 U
U' R2 L U F' U B
L' U2 D2 B U' R2 B
L' U2 B U L2 F' U2
L' U2 B U F' L2 U2
L' U2 B U' D2 R2 B
L' U2 B D2 U' R2 B
L2 U2 B U L' F' U2
B R2 U' B D' R' F2
B R2 U' B D' F2 R'
L U2 B R2 U' B R2
B2 R2 B D' R F2 L'
U R2 B2 R' D B' L
U' D L F' U' B U'
B' U R2 D L2 B R'
B' U R2 D B L2 R'
B' U R2 D B R' L2
B2 U R2 B R D L2
B2 U R2 B D L2 R
B2 U R2 B D R L2
B U R2 B D2 L2 R'
B U R2 B D2 R' L2
U' D F' L U' B U'
B U D2 F' U2 R F
U2 D B R2 U' B R'
U2 D B U' R2 B R'
B U F' L2 B' L U2
B U F' B U2 R' F
B U F' B U2 F R'
B U F' B2 U2 F R
D' U' L F' U' B U'
U' D' L F' U' B U'
D2 U' L F' U' B U'
B U B F' U2 R' F
B U B F' U2 F R'
F2 U B' D L2 B' R'
B U B' L F' U2 F
D U' L F' U' B U'
F' U' L U' B U' B'
B U B2 F' U2 F R
F U' L F2 U' B U'
U' D' F' L U' B U'
D' U' F' L U' B U'
D2 U' F' L U' B U'
D U' F' L U' B U'
U2 D' B R2 U' B R'
U2 D' B U' R2 B R'
F2 U' F L U' B U'
U' D2 L F' U' B U'
F U' F2 L U' B U'
F' U' B U B' L U2
L' D2 U2 B U' R2 B
U' D2 F' L U' B U'
D' U2 B R2 U' B R'
D2 U2 B R2 U' B R'
D' U2 B U' R2 B R'
D2 U2 B U' R2 B R'
U2 D2 B R2 U' B R'
U2 D2 B U' R2 B R'
D U2 B R2 U' B R'
D U2 B U' R2 B R'
B2 U2 R2 B' U' R B2
B2 U2 R2 B' U' B2 R
U' F L F2 U' B U'
F U2 D2 B U' B R'
F' U2 B U' B R' B2
B2 U2 B' R2 U' B R'
B2 U2 B' U' R2 B R'
L' F D' B2 L2 F U
R2 F D' L2 F2 B R
R2 F D' L2 B F2 R
U2 F D2 B U' B R'
U' F' L R2 U F' U
U' F' L U' D B U'
U' F' L U' D' B U'
U' F' L U' D2 B U'
U' F' L U' B U' D
U' F' L U' B U' D'
U' F' L U' B U' D2
U' F' L U' B D U'
U' F' L U' B D' U'
U' F' L U' B D2 U'
U' F' L D U' B U'
U' F' L D' U' B U'
U' F' L D2 U' B U'
U2 F' L U' L' B U'
U2 F' L U' B L' U'
U' F' R2 L U F' U
R2 F' R2 U' L F' U2
R2 F' R2 U' F' L U2
L F' R2 U F' R2 U
L F' U R2 F' U F
U' F' D L U' B U'
U' F' D' L U' B U'
L F' U' B L2 U' F
L F' U' B U B' U2
U' F' D2 L U' B U'
R2 F' B2 R2 U R B'
R2 F' B2 R2 U B' R
F D' B2 L2 F U R'
B D2 U F' U2 R F
F D2 U2 B U' B R'
U2 B R' U' R' B R'
U2 B R' U' B R' B
U2 B R2 U' B R' D
U2 B R2 U' B R' D'
U2 B R2 U' B R' D2
U2 B R2 U' B D R'
U2 B R2 U' B D' R'
U2 B R2 U' B D2 R'
L' B U L2 F' U2 F
U' B U F' B' L U2
U2 B R2 F U' B R'
U2 B R2 F' U' B R'
U' B U B' L F' U2
U2 B R2 F2 U' B R'
U' B U B' F' L U2
L' B U F' L2 B' U2
L2 B U L' F' U2 F
L' B U' L2 F' U2 L2
U2 B U D2 F' U2 R
L' B U' F' L2 U2 L2
L2 B U' L' F' U2 L
U2 B U' R' B R' B
U2 B U' R2 B R' D
U2 B U' R2 B R' D'
U2 B U' R2 B R' D2
U2 B U' R2 B D R'
U2 B U' R2 B D' R'
U2 B U' R2 B D2 R'
U2 B U' B R2 B R
U2 B D2 U F' U2 R
B2 F D' L2 F U R'
B2 F' U2 B' U' B R'
B2 F2 L2 F U R' B'
F2 B2 L2 F U R' B'
U2 B2 R2 B' U' R B2
U2 B2 R2 B' U' B2 R
U B2 R2 B R D L2
U B2 R2 B D L2 R
U B2 R2 B D R L2
F' B2 U2 B' U' B R'
R2 B2 F' R2 U R B'
R2 B2 F' R2 U B' R
F B2 D' L2 F U R'
