F2 D L U2 L F
B2 D R2 U' R F'
D2 B2 R' D' L2 F'
D2 B2 R' D' F' L2
D2 B2 D' L2 R' F'
D2 B2 D' R' L2 F'
D2 B2 D' R' F' L2
F2 L R D B U2 L2
F2 L R D' R2 U2 F'
F2 L R D' B R2 U2
F2 L R B U' B U'
F2 L R' U' B2 U' F'
F2 L R' U2 D L2 F'
F2 L R' U2 D F' L2
F2 L R' U2 F' D L2
F2 L R' D U2 L2 F'
F2 L R' D U2 F' L2
F2 L R' D' R2 B U2
D L U' R2 U' L F
F2 L U' B L B U'
F2 L U2 L D F L2
F2 L U2 L F D L2
F2 L U2 L' D L2 F
D L U2 L D F B2
D L U2 L D B2 F
D L U2 L F D B2
F2 L U2 D L F L
D L U2 D L F B2
D L U2 D L B2 F
U2 L U2 F D L2 B'
F2 L D R B U2 L2
F2 L D R' U2 L2 F'
F2 L D R' U2 F' L2
B2 L D R2 U' R F'
F2 L D U2 L F L
D L D U2 L F B2
D L D U2 L B2 F
F2 L D' R B R U2
D L D' F2 U2 L F
R' L F2 U' B2 U' F
R' L F2 U2 D F L2
R' L F2 U2 F D L2
R' L F2 D U2 F L2
R' L F2 D' R2 U2 F
L R F2 D B U2 L2
L R F2 D' R2 U2 F'
L R F2 D' B R2 U2
R L F2 D B U2 L2
R L F2 D' R2 U2 F'
R L F2 D' B R2 U2
L R F2 B U' B U'
R L F2 B U' B U'
L R B F2 U' B U'
R L B F2 U' B U'
U2 L F2 U' B2 U' F'
U2 L F2 U2 D L2 F'
U2 L F2 U2 D F' L2
U2 L F2 U2 F' D L2
U2 L F2 D U2 L2 F'
U2 L F2 D U2 F' L2
U2 L F2 D' R2 B U2
F2 L B U' B L U'
B2 L' D R2 U' R F'
L R' F2 U' B2 U' F
L R' F2 U2 D F L2
L R' F2 U2 F D L2
L R' F2 D U2 F L2
L R' F2 D' R2 U2 F
B2 L2 D R2 U' R F'
F2 R L D B U2 L2
F2 R L D' R2 U2 F'
F2 R L D' B R2 U2
F2 R L B U' B U'
B2 R U F2 U2 R2 F'
B2 R U F2 B U2 R2
B2 R U B F2 U2 R2
B2 R U' R2 D2 F' B2
B2 R U' R2 D2 B2 F'
B2 R U' F' R2 F' B
B2 R U' F' R2 B F'
F2 R D' L R2 U2 F'
F2 R D' L B R2 U2
F2 R D' R2 L U2 F'
B2 R F' U' R2 F' B
B2 R F' U' R2 B F'
F2 R B U' B U' R'
D2 R B2 R' D' L2 F
D2 R B2 D' L2 R' F
D2 R B2 D' L2 F R'
D2 R B2 D' R' L2 F
F2 R' L U' B2 U' F'
F2 R' L U2 D L2 F'
F2 R' L U2 D F' L2
F2 R' L U2 F' D L2
F2 R' L D U2 L2 F'
F2 R' L D U2 F' L2
F2 R' L D' R2 B U2
F2 R' U' B2 U' F' R'
F2 R' D L U2 L F'
F2 R' D L U2 F' L
B2 R' D R2 U' R2 F'
F2 R' D' L R2 B U2
D' R' D' F' B2 L R'
D' R' D' F' B2 R' L
F2 R' D' R2 L B U2
D' R' D' B2 L F' R'
D' R' D' B2 F' L R'
D' R' D' B2 F' R' L
L U2 L F D L2 B'
B2 R' D2 F' B2 D L2
B2 R' D2 B2 D L2 F'
B2 R' D2 B2 D F' L2
B2 R' D2 B2 F' D L2
D' R' F' D' B2 L R'
D' R' F' D' B2 R' L
D2 R' F2 U F B2 R'
D2 R' F2 U B2 R' F
D2 R' F2 U B2 F R'
F' R' B2 U' F' R' B
D2 R' B2 D' L2 F' R'
D2 R' B2 D' F' L2 R'
D2 R' B2 D' F' R' L2
B2 R2 U' R D2 F' B2
B2 R2 U' R D2 B2 F'
D R2 U' L2 F2 R F'
L2 D L2 D B2 R' F'
D2 U' F2 U B2 R' F'
F2 U' B L B U' R'
U' D2 F2 U B2 R' F'
R' D2 F2 U F B2 R'
R' D2 F2 U B2 R' F
R' D2 F2 U B2 F R'
R' D2 B2 D' L2 F' R'
R' D2 B2 D' F' L2 R'
R' D2 B2 D' F' R' L2
R D2 B2 R' D' L2 F
R D2 B2 D' L2 R' F
R D2 B2 D' L2 F R'
R D2 B2 D' R' L2 F
B2 D L R2 U' R F'
F2 D L R' U2 L F'
F2 D L R' U2 F' L
F2 D L U2 L D F
F2 D L U2 L D' F
F2 D L U2 L D2 F
F2 D L U2 L F D
F2 D L U2 L F D'
F2 D L U2 L F D2
F2 D L U2 D L F
F2 D L U2 D' L F
F2 D L U2 D2 L F
F2 D L U2 F L F
F2 D L U2 F' L F
F2 D L U2 F2 L F
F2 D L D U2 L F
F' D L F' U2 L F
F2 D L D' U2 L F
F2 D L D2 U2 L F
F2 D L B2 R' U2 F'
B2 D L' R2 U' R F'
F D L U2 L F B'
F D L U2 L B' F
B2 D L2 R2 U' R F'
F2 D R' L U2 L F'
F2 D R' L U2 F' L
B2 D R2 L U' R F'
B2 D R2 L' U' R F'
B2 D R2 L2 U' R F'
B2 D R2 U' R D F'
B2 D R2 U' R D' F'
B2 D R2 U' R D2 F'
B2 D R2 U' R F' D
B2 D R2 U' R F' D'
B2 D R2 U' R F' D2
D2 F B2 R' F' D' L2
B2 D F R2 U' R F'
F' D F' L U2 L F
F D F L U2 L F
B2 D F' R2 U' R F'
B2 D F2 R2 U' R F'
B' D B' R2 U' R F'
F2 D B2 R' F' L2 B'
F D B' L2 B' R' F'
F2 D' L R B R U2
F D B2 L2 R' F' B'
F D B2 L2 R' B' F'
F D B2 R' L2 F' B'
F D B2 R' L2 B' F'
F2 D' R L B R U2
F2 D' R2 D2 L B' U2
U2 F2 L U' B2 U' F
U2 F2 L U2 D F L2
U2 F2 L U2 F D L2
U2 F2 L D U2 F L2
U2 F2 L D' R2 U2 F
R F2 L D B U2 L2
R F2 L D' R2 U2 F'
R F2 L D' B R2 U2
R F2 L B U' B U'
D2 F2 R' U F' B2 R'
D2 F2 R' U B2 F' R'
L F2 R D B U2 L2
L F2 R D' R2 U2 F'
L F2 R D' B R2 U2
L F2 R B U' B U'
L F2 R' U' B2 U' F'
L F2 R' U2 D L2 F'
L F2 R' U2 D F' L2
L F2 R' U2 F' D L2
L F2 R' D U2 L2 F'
L F2 R' D U2 F' L2
L F2 R' D' R2 B U2
F2 D' B2 R2 U2 R F'
R' F2 U' B2 U' R' F
R' F2 U' B2 U' F R'
U2 F2 U' B2 U' R' F'
U2 F2 D L U2 F L
L F2 U' B L B U'
L F2 U2 L D F L2
L F2 U2 L F D L2
L F2 U2 L' D L2 F
L F2 U2 D L F L
U2 F2 D' L R2 U2 F
U2 F2 D' R2 L U2 F
B2 D2 R U' R2 F' B2
B2 D2 R U' R2 B2 F'
L F2 D R B U2 L2
L F2 D R' U2 L2 F'
L F2 D R' U2 F' L2
L F2 D U2 L F L
U F2 D' L R2 B' U2
U F2 D' L B' R2 U2
L F2 D' R B R U2
U F2 D' R2 L B' U2
R F2 D' L R2 U2 F'
R F2 D' L B R2 U2
B2 D2 R' F' B2 D L2
R F2 D' R2 L U2 F'
B2 D2 R' B2 D L2 F'
B2 D2 R' B2 D F' L2
B2 D2 R' B2 F' D L2
B2 D2 R2 U' R F' B2
B2 D2 R2 U' R B2 F'
B2 D2 R2 U' B2 R F'
L F2 B U' B L U'
R F2 B U' B U' R'
F2 B U' B L U' R'
L B F2 U' B L U'
R B F2 U' B U' R'
B2 F' R2 U' B R F'
D2 B' D' B' L2 R' F'
D2 B' D' B' R' L2 F'
D2 B' D' B' R' F' L2
D2 B2 L R' D' L2 F'
D2 B2 L R' D' F' L2
D2 B2 L D' L2 R' F'
D2 B2 L D' R' L2 F'
D2 B2 L D' R' F' L2
D2 B2 L' R' D' L2 F'
D2 B2 L' R' D' F' L2
D2 B2 L' D' L2 R' F'
D2 B2 L' D' R' L2 F'
D2 B2 L' D' R' F' L2
D2 B2 L2 R' D' L2 F'
D2 B2 L2 R' D' F' L2
D2 B2 L2 D' L2 R' F'
D2 B2 L2 D' R' L2 F'
D2 B2 L2 D' R' F' L2
D2 B2 R' L D' L2 F'
D2 B2 R' L D' F' L2
D B2 L2 D R' F' B2
D B2 L2 D R' B2 F'
D2 B2 R' L' D' L2 F'
D2 B2 R' L' D' F' L2
D2 B2 R' L2 D' L2 F'
D2 B2 R' L2 D' F' L2
D2 B2 R' U' F2 U F
D2 B2 R' D F' D2 L2
D2 B2 R' D' L F' L
D2 B2 R' D' L2 D F'
D2 B2 R' D' L2 D' F'
D2 B2 R' D' L2 D2 F'
D2 B2 R' D' L2 F' D
D2 B2 R' D' L2 F' D'
D2 B2 R' D' L2 F' D2
D2 B2 R' D' F L2 F2
D2 B2 R' D' F' L2 D
D2 B2 R' D' F' L2 D'
D2 B2 R' D' F' L2 D2
D2 B2 R' D2 F' D L2
D' B2 R' D' F' B2 L
