U B' L' U F'
U L' U D F' R
U L' D U F' R
B2 U L' B U F'
B2 U L' B U F'
B U L' B2 U F'
D2 U B' L' U F'
D' U B' L' U F'
D U B' L' U F'
U D B' L' U F'
B2 U B L' U F'
B U B2 L' U F'
U D' B' L' U F'
U D2 B' L' U F'
U B L' B2 U F'
U2 B' L' U L F'
U2 B' L' U F' L
U B' L' U D F'
U B' L' U D' F'
U B' L' U D2 F'
U B' L' U F' D
U B' L' U F' D'
U B' L' U F' D2
U B' L' U F' D2
U B' L' D U F'
U B' L' D' U F'
U B' L' D2 U F'
U B' D L' U F'
U B' D' L' U F'
U B' D2 L' U F'
U B2 L' B U F'
B2 L U L2 B U F'
B L U L2 B2 U F'
B2 L U B L2 U F'
B L U B2 L2 U F'
B L U2 D' F' R2 B2
B L U2 D' F' B2 R2
B L U2 D' B2 F' R2
B L U2 F' D' R2 B2
B L U2 F' D' B2 R2
B L D L2 F2 U2 F
B L D F2 L2 B' U2
B L D' U2 F' R2 B2
B L D' U2 F' B2 R2
B L D' U2 B2 F' R2
B' L' R' U' R U2 F'
B' L' R2 U' R2 U2 F'
B' L' R2 U' B R2 U2
U2 L' U D L F' R
U2 L' U D F' L R
U2 L' U D F' R L
B' L' U F' U' F U
B' L' U F2 D' F L2
U L' U D F' R D
U L' U D F' R D'
U L' U D F' R D2
U L' U D F' D R
U L' U D F' D' R
U L' U D F' D2 R
B2 L' U B U F' B'
B2 L' U B U B' F'
B L' U B2 U F' B2
B L' U B2 U B2 F'
B' L' U2 L U' L' F'
B' L' U2 L' U' L F'
B' L' U2 L' U' F' L
B' L' U2 L2 U' L2 F'
B' L' U2 L2 U' F' L2
U L' U2 L' F U' F2
U2 L' D U L F' R
U2 L' D U F' L R
U2 L' D U F' R L
U L' D U F' R D
U L' D U F' R D'
U L' D U F' R D2
U L' D U F' D R
U L' D U F' D' R
U L' D U F' D2 R
U L' D B U F' R
U L' D B' U F' R
U L' D B2 U F' R
U L' D' B U F' R'
B' L' F R' U F2 L'
B' L' F U F2 D' L2
U L' B U D F' R
U L' B D U F' R
U L' B' U D F' R
U L' B' D U F' R
U L' B2 U D F' R
U L' B2 D U F' R
B2 L2 U L B U F'
B L2 U L B2 U F'
L2 U L U D F' R
L2 U L D U F' R
L' U L B' U F' B
L' U L B' U B F'
U' L2 F U2 L U F2
L2 U L2 B' L' U F'
L U L2 B' U F' R'
F2 L2 B' U' R F U'
U2 R U' B' L' R' U
U2 R U' B' R' L' U
L U B' L2 U F' R'
U R B' L' R' U F'
U R B' R' L' U F'
B' R' L' U' R U2 F'
L2 U' F U2 L U F2
L' U2 L' F U' L F2
L' U2 L' F U' F2 L
U R' D2 B' L' U F
U R' B' L' R U F'
U R' B' R L' U F'
F R' B' U F2 L' B'
U R' B' D2 L' U F
B' R2 L' U' R2 U2 F'
B' R2 L' U' B R2 U2
U R2 B' L' U D2 F2
U R2 B' L' U' B2 U2
U R2 B' L' D' R2 U
U R2 B' L' D2 U F2
U R2 B' D' L' R2 U
U R2 B' D' R2 L' U
U R2 B' D2 L' U F2
B2 U L B L2 U F'
B' U L' R' U R F'
D' U L' U D F' R
B' U L' R2 U R2 F'
D2 U L' U D F' R
D' U L' D U F' R
D2 U L' D U F' R
B2 U L' D B U F'
B2 U L' D' B U F'
B U L B2 L2 U F'
B2 U L' D2 B U F'
B U L' U D' F' R2
D U L' U D F' R
B U L' U F' D' R2
B2 U L' B U D F'
B2 U L' B U D' F'
B2 U L' B U D2 F'
B2 U L' B U F' D
B2 U L' B U F' D'
B2 U L' B U F' D2
B2 U L' B D U F'
B2 U L' B D' U F'
B2 U L' B D2 U F'
D U L' D U F' R
B U L' D' U F' R2
U D L' U D F' R
U D L' D U F' R
B U L' B2 U D F'
B U L' B2 U D' F'
B U L' B2 U D2 F'
B U L' B2 U F' D
B U L' B2 U F' D'
B U L' B2 U F' D2
B U L' B2 D U F'
B U L' B2 D' U F'
B U L' B2 D2 U F'
B' U R' L' U R F'
B' U R2 L' U R2 F'
B2 U D L' B U F'
B2 U D B L' U F'
B2 U D' L' B U F'
B2 U D' B L' U F'
B U D' L' U F' R2
B2 U D2 L' B U F'
B2 U D2 B L' U F'
D' U B L' B2 U F'
D2 U B L' B2 U F'
D' U B' L' U D F'
D' U B' L' U D' F'
D' U B' L' U D2 F'
D' U B' L' U F' D
D' U B' L' U F' D'
D' U B' L' U F' D2
D' U B' L' D U F'
D' U B' L' D' U F'
D' U B' L' D2 U F'
B' U F' U' F L' U
D U B L' B2 U F'
D2 U B' L' U D F'
D2 U B' L' U D' F'
D2 U B' L' U D2 F'
D2 U B' L' U F' D
D2 U B' L' U F' D'
D2 U B' L' U F' D2
D2 U B' L' D U F'
D2 U B' L' D' U F'
D2 U B' L' D2 U F'
U D B L' B2 U F'
D' U B' D L' U F'
D' U B' D' L' U F'
D2 U B' D L' U F'
U2 D B' L' U L F'
U2 D B' L' U F' L
D' U B' D2 L' U F'
D2 U B' D' L' U F'
D2 U B' D2 L' U F'
D' U B2 L' B U F'
D U B' L' U D F'
D U B' L' U D' F'
D U B' L' U D2 F'
D U B' L' U F' D
D U B' L' U F' D'
D U B' L' U F' D2
D U B' L' D U F'
D U B' L' D' U F'
D U B' L' D2 U F'
D2 U B2 L' B U F'
U D B' L' U D F'
U D B' L' U D' F'
U D B' L' U D2 F'
U D B' L' U F' D
U D B' L' U F' D'
U D B' L' U F' D2
U D B' L' D U F'
U D B' L' D' U F'
U D B' L' D2 U F'
D U B' D L' U F'
D U B' D' L' U F'
D U B' D2 L' U F'
B2 U B L' U D F'
B2 U B L' U D' F'
B2 U B L' U D2 F'
B2 U B L' U F' D
B2 U B L' U F' D'
B2 U B L' U F' D2
B2 U B L' D U F'
B2 U B L' D' U F'
B2 U B L' D2 U F'
U D B' D L' U F'
U D B' D' L' U F'
D U B2 L' B U F'
U D B' D2 L' U F'
B2 U B D L' U F'
B2 U B D' L' U F'
U D B2 L' B U F'
B2 U B D2 L' U F'
B U B L' B U F'
B2 U B' L' B2 U F'
F2 U B' U2 R U' F
F U B' L' U F2 B'
F U B' L' U B' F2
U D' L' U D F' R
B U B2 L' U D F'
B U B2 L' U D' F'
B U B2 L' U D2 F'
B U B2 L' U F' D
B U B2 L' U F' D'
B U B2 L' U F' D2
B U B2 L' D U F'
B U B2 L' D' U F'
B U B2 L' D2 U F'
U D' L' D U F' R
B U B2 D L' U F'
B U B2 D' L' U F'
B U B2 D2 L' U F'
F2 U' R U2 B' U F
U D' B L' B2 U F'
U2 D' B' L' U L F'
U2 D' B' L' U F' L
U D' B' L' U D F'
U D' B' L' U D' F'
U D' B' L' U D2 F'
U D' B' L' U F' D
U D' B' L' U F' D'
U D' B' L' U F' D2
U D' B' L' D U F'
U D' B' L' D' U F'
U D' B' L' D2 U F'
B U' D2 F2 R U' F
U D' B' D L' U F'
U D' B' D' L' U F'
U D' B' D2 L' U F'
U D' B2 L' B U F'
U D2 L' U D F' R
U D2 L' D U F' R
D' U2 B' L' U L F'
D' U2 B' L' U F' L
D2 U2 B' L' U L F'
D2 U2 B' L' U F' L
U2 D2 B' L' U L F'
U2 D2 B' L' U F' L
U D2 B L' B2 U F'
D U2 B' L' U L F'
D U2 B' L' U F' L
U D2 B' L' U D F'
U D2 B' L' U D' F'
U D2 B' L' U D2 F'
U D2 B' L' U F' D
U D2 B' L' U F' D'
U D2 B' L' U F' D2
U D2 B' L' D U F'
U D2 B' L' D' U F'
U D2 B' L' D2 U F'
U D2 B' D L' U F'
U D2 B' D' L' U F'
U D2 B' D2 L' U F'
U D2 B2 L' B U F'
U' F L2 F R U' F
B2 U2 B L' U L F'
B2 U2 B L' U F' L
L2 F U L U F2 R
B U2 B2 L' U L F'
B U2 B2 L' U F' L
L2 F U2 L U L' F2
U' F D' L2 F R U'
B D L2 U L U F'
B2 D U L' B U F'
B2 D U B L' U F'
L2 F B2 R' U' F2 L'
U2 F' U' D2 B' L U
U F' U' F B' L' U
U F' U' B' F L' U
U2 F' D R' B D' R2
U2 F' D2 U' B' L U
B2 D' U L' B U F'
B2 D' U B L' U F'
B D' U L' U F' R2
U' F2 R U2 B' U F
B2 D2 U L' B U F'
B2 D2 U B L' U F'
B D2 U' F2 R U' F
U B L B2 L2 U F'
U B L' U D' F' R2
U B L' U F' D' R2
U B L' D' U F' R2
U B L' B2 U D F'
U B L' B2 U D' F'
U B L' B2 U D2 F'
U B L' B2 U F' D
U B L' B2 U F' D'
U B L' B2 U F' D2
U B L' B2 D U F'
U B L' B2 D' U F'
U B L' B2 D2 U F'
D2 B U L' B2 U F'
D' B U L' B2 U F'
R2 B R2 U L' B2 U
R2 B R2 U B2 L' U
D2 B U B2 L' U F'
D' B U B2 L' U F'
D B U L' B2 U F'
U2 B U' L' B2 U F'
D B U B2 L' U F'
U2 B U' B2 L' U F'
B' F R' U F2 L' B'
U B D' L' U F' R2
U' B' L' U2 B U' F'
R' B' L' U' R U2 F'
U2 B' L' U L D F'
U2 B' L' U L D' F'
U2 B' L' U L D2 F'
U2 B' L' U L F' D
U2 B' L' U L F' D'
U2 B' L' U L F' D2
U2 B' L' U L' F' L2
U2 B' L' U D L F'
U2 B' L' U D F' L
U2 B' L' U D' L F'
U2 B' L' U D' F' L
U2 B' L' U D2 L F'
U2 B' L' U D2 F' L
U2 B' L' U F L F2
U2 B' L' U F' L D
U2 B' L' U F' L D'
U2 B' L' U F' L D2
U2 B' L' U F' D L
U2 B' L' U F' D' L
U2 B' L' U F' D2 L
U2 B' L' U F' D2 L
U2 B' L' D U L F'
U2 B' L' D U F' L
U2 B' L' D' U L F'
U2 B' L' D' U F' L
U B' L U D' F' B2
U B' L U D' B2 F'
U B' L U F' D' B2
U2 B' L' D2 U L F'
U2 B' L' D2 U F' L
U2 B' L' F U L F2
U2 B' L' F U F2 L
R2 B' L' U D2 L2 F2
R2 B' L' U D2 F2 L2
U2 B' L' F2 U F L
R2 B' L' U' R2 B2 U2
U B' L D' U F' B2
U B' L D' U B2 F'
R2 B' L' U' B2 R2 U2
R2 B' L' D' R2 F2 U
R2 B' L' D' F2 R2 U
R2 B' L' D2 U L2 F2
R2 B' L' D2 U F2 L2
U B' L' R2 U' B U2
U B' L' U L' F' L
U B' L' U L2 F' L2
U B' L' U D F' D
U B' L' U D F' D'
U B' L' U D F' D2
U B' L' U D' F' D
U B' L' U D' F' D'
U B' L' U D' F' D2
U B' L' U D2 F' D
U B' L' U D2 F' D'
U B' L' U D2 F' D2
U B' L' U F2 D F
U B' L' U F2 D' F
U B' L' U F2 D2 F
U B' L' U' B U2 F'
U B' L' U' B' U2 F'
U B' L' U' B2 U2 F'
U B' L' U2 L U' F'
U B' L' U2 L' U' F'
U B' L' U2 L2 U' F'
U B' L' D U F' D
U B' L' D U F' D'
U B' L' D U F' D2
U B' L' D' U F' D
U B' L' D' U F' D'
U B' L' D' U F' D2
U B' L' D2 U F' D
U B' L' D2 U F' D'
U B' L' D2 U F' D2
U B' L2 D L U F'
U B' L2 D' L U F'
U B' L2 D2 L U F'
U B' R' D2 L' U F
U B' R2 L' U' B U2
U2 B' D L' U L F'
U2 B' D L' U F' L
U2 B' D' L' U L F'
U2 B' D' L' U F' L
F B' R' U F2 L' B'
U B' D L' U D F'
U B' D L' U D' F'
U B' D L' U D2 F'
U B' D L' U F' D
U B' D L' U F' D'
U B' D L' U F' D2
U B' D L' D U F'
U B' D L' D' U F'
U B' D L' D2 U F'
R2 B' D' L' R2 F2 U
R2 B' D' L' F2 R2 U
R2 B' D' R2 L' F2 U
U2 B' D2 L' U L F'
U2 B' D2 L' U F' L
