D L D2 F' R B'
D L D2 F' B' R
D L D2 B' F' R
D' L F' R' B R2
D L F' B R' B2
D L B F' R' B2
L D' F' R' B R2
F' D L B R' B2
D' F' L R' B R2
D F' L B R' B2
D' F' R' L B R2
D' F' D2 L R B'
D' F' D2 L B' R
D' F' D2 R L B'
D L R B R' F' B2
D L R B R' B2 F'
D' L R' F' B R F'
D' L R' B R F' R
D' L R' B F' R F'
F' L D B D2 R' B
D L D B' D F' R
F' L D' R' D2 B R'
U' L D' F' R' B R2
U2 L D' F' R' B R2
U L D' F' R' B R2
D L D' B' D' F' R
D L D2 F' R D B'
D L D2 F' R D' B'
D L D2 F' R D2 B'
D L D2 F' R B' D
D L D2 F' R B' D'
D L D2 F' R B' D2
D L D2 F' R' B' R2
D L D2 F' D R B'
D L D2 F' D B' R
D L D2 F' D' R B'
D L D2 F' D' B' R
D L D2 F' D2 R B'
D L D2 F' D2 B' R
D L D2 F' B R B2
D L D2 F' B' R D
D L D2 F' B' R D'
D L D2 F' B' R D2
D L D2 F' B' D R
D L D2 F' B' D' R
D L D2 F' B' D2 R
D L D2 B F' R B2
D L D2 B' F' R D
D L D2 B' F' R D'
D L D2 B' F' R D2
D L D2 B' F' D R
D L D2 B' F' D' R
D L D2 B' F' D2 R
D' L F R' F2 B R
D' L F R' B F2 R
D' L F R2 F2 R B
D L F B R' F2 B2
D L F B R' B2 F2
D' L F' R U2 F' U2
D' L F' R' B R2 D
D' L F' R' B R2 D'
D' L F' R' B R2 D2
D' L F' R' B' R2 B2
D' L F' R' B2 R2 B'
D L F' R B R' B2
D L F' R' B R' B2
D L F' R2 B R' B2
D' L F' B R' B R2
D' L F' B' R' B R2
D' L F' B2 R' B R2
D L F' B R B2 R2
D L F' B R' B2 D
D L F' B R' B2 D'
D L F' B R' B2 D2
D L F' B R2 B2 R
D L F' B' U2 L U2
D' L F2 R' F B R
D' L F2 R' B F R
D' L F2 R2 F R B
D L F2 B R' F B2
D L F2 B R' B2 F
D' L B F' R' B R2
D L B F R' F2 B2
D L B F R' B2 F2
D L B F' R B2 R2
D L B F' R' B2 D
D L B F' R' B2 D'
D L B F' R' B2 D2
D L B F' R2 B2 R
D L B F2 R' F B2
D L B F2 R' B2 F
D L B' U2 L U2 F'
D' L B' F' R' B R2
D L B' F' U2 L U2
D' L B2 F' R' B R2
D' L' F' L2 R' B R2
D' L' F' R' L2 B R2
D' L' F' R' B L2 R2
D' L' F' R' B R2 L2
D L' B L2 F' R' B'
D L' B2 L2 F' B' R'
D L' B2 L2 B' F' R'
D L2 D2 L' F' R B'
D L2 D2 L' F' B' R
D L2 D2 L' B' F' R
D L2 B L' F' R' B'
D L2 B2 L' F' B' R'
D L2 B2 L' B' F' R'
D R L B R' F' B2
D R L B R' B2 F'
F2 R F D L R2 B'
F2 R F D L B' R2
F2 R F D R2 L B'
D' R F' U2 L R F
D' R F' U2 R L F
D' R' L F' B R F'
D' R' L B R F' R
D' R' L B F' R F'
F' R' D L B' D' R2
D' R' F' L B R F'
U' D L D2 F' R B'
U' D L D2 F' B' R
U' D L D2 B' F' R
D' U L F' R' B R2
U' D L F' B R' B2
U' D L B F' R' B2
U2 D L D2 F' R B'
U2 D L D2 F' B' R
U2 D L D2 B' F' R
U2 D L F' B R' B2
U2 D L B F' R' B2
D U L D2 F' R B'
D U L D2 F' B' R
D U L D2 B' F' R
D U L F' B R' B2
D U L B F' R' B2
U D L D2 F' R B'
U D L D2 F' B' R
U D L D2 B' F' R
U D L F' B R' B2
U D L B F' R' B2
L D F' B D2 R' B
L D B D2 F' R' B
L D B F' D2 R' B
D' U F' L R' B R2
U' D F' L B R' B2
D' U F' R' L B R2
U2 D F' L B R' B2
D' U F' D2 L R B'
D' U F' D2 L B' R
D' U F' D2 R L B'
D U F' L B R' B2
U D F' L B R' B2
L2 D' L' F' R' B R2
D' U' L F' R' B R2
U' D' L F' R' B R2
L D' R' F' B R F'
L D' R' B R F' R
U2 D' L F' R' B R2
L D' R' B F' R F'
D U' L D2 F' R B'
D U' L D2 F' B' R
D U' L D2 B' F' R
D U' L F' B R' B2
D U' L B F' R' B2
U D' L F' R' B R2
L D' F R' F2 B R
L D' F R' B F2 R
L D' F R2 F2 R B
L D' F' R U2 F' U2
L D' F' R' B R2 D
L D' F' R' B R2 D'
