D L2 R' F B U2
D L2 R' B F U2
D L2 F R' B U2
D R' L2 F B U2
D R' L2 B F U2
D R' B L2 U2 B2
D' R2 F2 B' L' F
D' R2 B' F2 L' F
B2 F2 U L F B
B2 F2 U L B F
F2 B2 U L F B
F2 B2 U L B F
D L' R' B L' F U2
F L' U2 B2 U L B'
D' L' F B2 L R2 B'
D' L' F B2 L B' R2
D' L' F B2 R2 L B'
F' L' B2 R U L B'
D' L' B2 R2 F L B'
F2 L' B2 U L F B'
F2 L' B2 U L B' F
D' L' B2 F L R2 B'
D' L' B2 F L B' R2
D' L' B2 F R2 L B'
D L2 R F R2 U2 F2
D' L2 R' F U2 R' F'
D L2 R' D F B U2
D L2 R' D B F U2
D L2 R' D' F B U2
D L2 R' D' B F U2
D L2 R' D2 F B U2
D L2 R' D2 B F U2
D L2 R' F D B U2
D L2 R' F D' B U2
D L2 R' F D2 B U2
D L2 R' F B U2 D
D L2 R' F B U2 D'
D L2 R' F B U2 D2
D L2 R' F B D U2
D L2 R' F B D' U2
D L2 R' F B D2 U2
D L2 R' B D F U2
D L2 R' B D' F U2
D L2 R' B D2 F U2
D L2 R' B F U2 D
D L2 R' B F U2 D'
D L2 R' B F U2 D2
D L2 R' B F D U2
D L2 R' B F D' U2
D L2 R' B F D2 U2
B2 L2 U D' L' F B
B2 L2 U D' L' B F
B2 L2 U D' B L' F
B2 L2 U B D' L' F
B2 L2 D' U L' F B
B2 L2 D' U L' B F
B2 L2 D' U B L' F
D' L2 F R' U2 R' F'
D L2 F R' D B U2
D L2 F R' D' B U2
D L2 F R' D2 B U2
D L2 F R' B U2 D
D L2 F R' B U2 D'
D L2 F R' B U2 D2
D L2 F R' B D U2
D L2 F R' B D' U2
D L2 F R' B D2 U2
D L2 F' R' F2 B U2
D L2 F' R' B F2 U2
D R L2 F R2 U2 F2
F' R D' F2 U R2 B'
F' R D' F2 U B' R2
D' R D2 R F' B' L2
D' R D2 R B' L2 F'
D' R D2 R B' F' L2
D' R D2 B' L2 R F'
D' R D2 B' R L2 F'
D' R D2 B' R F' L2
D R D2 F' R2 B' L2
D R D2 F' B' L2 R2
D R D2 F' B' R2 L2
D R D2 B' L2 F' R2
D R D2 B' F' L2 R2
D R D2 B' F' R2 L2
D R F' D2 R2 B' L2
D R F' D2 B' L2 R2
D R F' D2 B' R2 L2
D R F' B' D2 L2 R2
D R F' B' D2 R2 L2
D' R B' R F2 L' F
D' R B' D2 L2 R F'
D' R B' D2 R L2 F'
D' R B' D2 R F' L2
D R B' D2 L2 F' R2
D R B' D2 F' L2 R2
D R B' D2 F' R2 L2
D R B' F' D2 L2 R2
D R B' F' D2 R2 L2
F' R B2 U D2 L2 B
F' R B2 U D2 B L2
F' R B2 U B D2 L2
F' R B2 U' R2 F' U2
F' R B2 D' F2 U B
F' R B2 D2 U L2 B
F' R B2 D2 U B L2
D R' L' B L' F U2
D' R' L2 F U2 R' F'
D R' L2 D F B U2
D R' L2 D B F U2
D R' L2 D' F B U2
D R' L2 D' B F U2
D R' L2 D2 F B U2
D R' L2 D2 B F U2
D R' L2 F D B U2
D R' L2 F D' B U2
D R' L2 F D2 B U2
D R' L2 F B U2 D
D R' L2 F B U2 D'
D R' L2 F B U2 D2
D R' L2 F B D U2
D R' L2 F B D' U2
D R' L2 F B D2 U2
D R' L2 B D F U2
D R' L2 B D' F U2
D R' L2 B D2 F U2
D R' L2 B F U2 D
D R' L2 B F U2 D'
D R' L2 B F U2 D2
D R' L2 B F D U2
D R' L2 B F D' U2
D R' L2 B F D2 U2
F' R' U R2 B2 U B
F' R' U2 D' R2 F2 B'
F' R' U2 D' R2 B' F2
F' R' U2 D' F2 R2 B'
F' R' U2 D' F2 B' R2
F' R' U2 D' B' R2 F2
F' R' U2 D' B' F2 R2
D R' U2 D2 R2 F' B'
D R' U2 D2 R2 B' F'
F' R' D L2 F B2 U2
F' R' D L2 B2 F U2
D R' U2 B' D2 R2 F2
D R' U2 B' D2 F2 R2
F' R' D B2 L2 U2 B
F' R' D' U2 R2 F2 B'
F' R' D' U2 R2 B' F2
F' R' D' U2 F2 R2 B'
F' R' D' U2 F2 B' R2
F' R' D' U2 B' R2 F2
F' R' D' U2 B' F2 R2
D R' D2 U2 R2 F' B'
D R' D2 U2 R2 B' F'
D R' D2 B U2 R2 B2
D R' D2 B U2 B2 R2
D R' F L2 F B U2
D R' F L2 B F U2
D R' F B L2 U2 B2
B2 R' F' R U L B
D R' F' L2 F B U2
D R' F' L2 B F U2
D R' F' B L2 U2 B2
D R' F2 L2 F B U2
