L F U R' U L
B2 L U F U2 L R'
B2 L U F U2 R' L
B2 L U' L D2 R' B
B2 L U' L2 R' B' L'
L R D F B2 R' U2
B2 L U' R' L2 B' L'
R L D F B2 R' U2
L R D B2 R' F U2
L R D B2 F R' U2
R L D B2 R' F U2
R L D B2 F R' U2
L R D' F U2 F L
R L D' F U2 F L
L R F U R2 U L
L R F U2 L D' F2
R L F U R2 U L
L R F U2 D' L F2
L R F U2 D' F2 L
R L F U2 L D' F2
L R F D B2 R' U2
R L F U2 D' L F2
R L F U2 D' F2 L
L R F D' U2 L F2
L R F D' U2 F2 L
R L F D B2 R' U2
R L F D' U2 L F2
R L F D' U2 F2 L
D2 L F R2 U R U
F' L F U R' U L
F2 L F U R' U L
D' L F U' B2 L U'
D L F U R' F U
D L F U F R' U
F L F U R' U L
L' R B' L' D' F2 R
L' R' U D2 R2 B' L'
R' L' U D2 R2 B' L'
L' R' U D2 B' L' R2
L' R' U D2 B' R2 L'
R' L' U D2 B' L' R2
R' L' U D2 B' R2 L'
L' R' U B' D2 L' R2
L' R' U B' D2 R2 L'
R' L' U B' D2 L' R2
R' L' U B' D2 R2 L'
L' R' U' L2 F U2 L
R' L' U' L2 F U2 L
B2 L' R' D B' L' F2
B2 L' R' B' D L' F2
R' L' D' B2 U L' B
R' L' D' B2 U B L'
L' R' D' B2 U L' B
L' R' D' B2 U B L'
R' L' D2 U R2 B' L'
R' L' D2 U B' L' R2
R' L' D2 U B' R2 L'
L' R' D2 U R2 B' L'
L' R' D2 U B' L' R2
L' R' D2 U B' R2 L'
B2 L' D R' B' L' F2
B' L' D B' L' R' F
B' L' D B' L' F R'
B' L' D B' R' L' F
R L' B' L' D' F2 R
B' L' B' L' R' D F2
B' L' B' L' D R' F2
B' L' B' L' D F2 R'
B' L' B' R' L' D F2
U2 L2 R D' F2 B R
U2 L2 R D' B F2 R
U2 L2 R B D' F2 R
L U L2 R' U B' L'
U2 L2 F2 R D' F2 B
U2 L2 F2 R D' B F2
U2 L2 F2 R B D' F2
L U R' L2 U B' L'
L U R' U L2 B' L'
L U R' U' F U2 L
U2 R L2 D' F2 B R
U2 R L2 D' B F2 R
U2 R L2 B D' F2 R
R' U B2 L2 D' R' B
L2 U' R' U' L' F U2
B2 R' L' D B' L' F2
B2 R' L' B' D L' F2
U2 R' U' L F' U2 L
U R' U' L F U2 L
U2 R' U' F' L U2 L
L2 U2 L' F U R' U
R' U2 L2 D F2 R B
R U2 L2 D' F2 R B
L U2 L2 B' D L' F
L D F U R' U L
L' D B' D L' R2 F
L' D B' D L' F R2
L' D B' D R2 L' F
L' D' R' B2 U L' B
L' D' R' B2 U B L'
L D' F U R' U L
L' D2 R' U R' B' L'
L D2 F U R' U L
L' D2 B' R2 D L' F
L F R U R2 U L
L F R U2 L D' F2
L F R U2 D' L F2
L F R U2 D' F2 L
L F R D B2 R' U2
L F R D' U2 L F2
L F R D' U2 F2 L
L F R2 U R U L
L F U R' U L D
L F U R' U L D'
L F U R' U L D2
L F U R' U D L
L F U R' U D' L
L F U R' U D2 L
L F U R' D U L
L F U R' D' U L
L F U R' D2 U L
L F U R' F U L
L F U R' F' U L
L F U R' F2 U L
L F U D R' U L
L F U D' R' U L
L F U D2 R' U L
L F U F R' U L
L F U F' R' U L
L F U F2 R' U L
L F U2 L U' R' U
L F D U R' U L
L F D' U R' U L
L F D2 U R' U L
L F B2 R' U' L U'
L' B' L' D' F2 R F'
L' B' L' F2 D' R F'
L' B' D L' D R2 F
L' B' D L' D F R2
L' B' D2 R2 D' L' F
D' B2 L U F U2 R'
R' B2 L' U R' B' L'
L' B2 L' D F2 B R
L' B2 L' D B F2 R
L' B2 L' B D F2 R
L B2 R' F U' L U'
L B2 F R' U' L U'
