R U B2 R' B L
B' L B' R' D' F2 B'
B' L B' R' D' B' F2
B' L B' R' B' D' F2
F2 L' U' B' L B2 R'
F2 L' B' U' L B2 R'
B2 R U R2 D B' L
U' R U B2 R' B L
U2 R U B2 R' B L
U R U B2 R' B L
R U B' L B' R' B
R U B' D2 L B' R'
R U B2 L R' B L
R U B2 L' R' B L
R U B2 L2 R' B L
R U B2 R' L B L
R U B2 R' L' B L
R U B2 R' L2 B L
R U B2 R' D B L
R U B2 R' D' B L
R U B2 R' D2 B L
R U B2 R' B L D
R U B2 R' B L D'
R U B2 R' B L D2
R U B2 R' B D L
R U B2 R' B D' L
R U B2 R' B D2 L
D' R F' U B2 R' B
D' R F' B2 U R' B
B2 R B U L R2 B2
B2 R B U L B2 R2
B2 R B U R2 L B2
B2 R B' R2 D' F2 L'
D' R B2 F' U R' B
B2 R' D' F2 B L B2
B2 R' D' B L F2 B2
B2 R' D' B L B2 F2
B2 R' D' B F2 L B2
B2 R' B L B2 D' F2
L' D' B2 R F' U B'
R F U B2 R' B L
R F' U B2 R' B L
R F2 U B2 R' B L
L B R' D B2 U2 B2
R B U B R' B L
R B U' R' U2 B R'
L' B' L B2 R' D' F2
L' B' R U L B2 R'
L B' U R U L B2
D' B2 R F' U R2 B'
D' B2 R F' U B' R2
D B2 R' D' F2 B' L
D B2 R' D' B' L F2
D B2 R' D' B' F2 L
