B' R U L' U
R B' U L' U
U L' U F2 L' F
U L' F2 U L' F
B' R U L' U D
B' R U L' U D'
B' R U L' U D2
B' R U L' D U
B' R U L' D' U
B' R U L' D2 U
B' R U D L' U
B' R U D' L' U
B' R U D2 L' U
L' U' L R B' U2
B' R D U L' U
L' U' L B' R U2
B' R D' U L' U
B' R D2 U L' U
L' U' R L B' U2
B' R F2 U' R U'
D' R B' U L' U
D2 R B' U L' U
D R B' U L' U
B R B2 U L' U
B' U L' U' R U2
B' U L' F2 U L'
R D B' U L' U
R D' B' U L' U
R D2 B' U L' U
B' D R U L' U
B' D' R U L' U
B' D2 R U L' U
R F2 B' U' R U'
D2 B' R U L' U
D' B' R U L' U
R' B' R2 U L' U
D B' R U L' U
R B' U L' U D
R B' U L' U D'
R B' U L' U D2
R B' U L' D U
R B' U L' D' U
R B' U L' D2 U
R B' U D L' U
R B' U D' L' U
R B' U D2 L' U
F2 B' U' R U' L'
R B' D U L' U
R B' D' U L' U
R B' D2 U L' U
R B' F2 U' R U'
B' F2 U' R U' L'
B' L R D L' F2 U2
B' L R D F2 U2 R
B' L R D' L' U2 B2
L R D L' F2 B' U2
L R D L' B' F2 U2
R L D L' F2 B' U2
R L D L' B' F2 U2
L R D' L' B' U2 B'
R L D' L' B' U2 B'
B' L D L' R F2 U2
B' L D L' F2 U2 L'
B' L D R L' F2 U2
B' L D R F2 U2 R
B' L D F2 U2 L' R
B' L D F2 U2 R L'
B' L D' L' R U2 B2
B' L D' R L' U2 B2
L' R' U' L R2 B' U2
R' L' U' L R2 B' U2
L' R' U' L B' R2 U2
R' L' U' L B' R2 U2
R2 L' U' L R' B' U2
R' L' U' R2 L B' U2
L' R' U' R2 L B' U2
R2 L' U' R' L B' U2
U L' U L' F2 L' F'
D2 L' U' L R B' U2
D' L' U' L R B' U2
D2 L' U' L B' R U2
U L' U F L' F L'
D' L' U' L B' R U2
U L' U F2 L' D F
U L' U F2 L' D' F
U L' U F2 L' D2 F
U L' U F2 L' F D
U L' U F2 L' F D'
U L' U F2 L' F D2
D2 L' U' R L B' U2
D' L' U' R L B' U2
D L' U' L R B' U2
B2 L' U' L B R U2
D L' U' L B' R U2
B L' U' L R B2 U2
B L' U' L B2 R U2
D L' U' R L B' U2
B L' U' R L B2 U2
B L' U' R B2 U2 R'
U L' U' D2 R U2 F'
B L' U' B2 R U2 R2
U L' D2 U' R U2 F'
U L' F U L' F L'
U L' F U F L' F
L' R2 U' L R' B' U2
L' R2 U' R' L B' U2
U L' F2 R U L' F
U L' F2 R' U L' F
U L' F2 R2 U L' F
U L' F2 U L' D F
U L' F2 U L' D' F
U L' F2 U L' D2 F
U L' F2 U L' F D
U L' F2 U L' F D'
U L' F2 U L' F D2
L' U L R B' U2 B
R U L' U L' F L
R U L' U2 L' U' F
R U L' D2 R U F'
L' U R L B' U2 B
U2 L2 F2 L' D' F' B2
U2 L2 F2 L' D' B2 F'
U2 L2 F2 L' F' D' B2
U L2 F2 L U L2 F'
U L2 F2 L U F' L2
R' U D2 L' U L' F
B' R L D L' F2 U2
B' R L D F2 U2 R
B' R L D' L' U2 B2
B' R U L U D' B2
B' R U L D' U B2
B' R U L2 D L U
B' R U L2 D' L U
B' R U L2 D2 L U
B2 R U L' R U F'
B2 R U R L' U F'
B' R U D L' U D
B' R U D L' U D'
B' R U D L' U D2
B' R U D L' D U
B' R U D L' D' U
B' R U D L' D2 U
B' R U D' L' U D
B' R U D' L' U D'
B' R U D' L' U D2
B' R U D' L' D U
B' R U D' L' D' U
B' R U D' L' D2 U
B R U L' U D2 F2
B R U L' U' B2 U2
B' R U D2 L' U D
B' R U D2 L' U D'
B' R U D2 L' U D2
B' R U D2 L' D U
B' R U D2 L' D' U
B' R U D2 L' D2 U
B R U L' D' R2 U
B R U L' D2 U F2
L' U F2 L' D2 R2 F
L' U F2 L' D2 F R2
L' U F2 L' F D2 R2
B2 R U D2 L' U F
B' R U B' L' B U
B R U D' L' R2 U
B R U D' R2 L' U
B' R U B2 L' B2 U
B R U D2 L' U F2
B' R U' R U2 L' U
B' R U' R' U2 L' U
B' R U' R2 U2 L' U
B' R U' F2 R F2 U'
B' R U2 L D' L' B2
B' R U2 L D' B2 L'
B' R U2 B U' L' U
B' R U2 B' U' L' U
B' R U2 B2 U' L' U
B' R D U L' U D
B' R D U L' U D'
B' R D U L' U D2
B' R D U L' D U
B' R D U L' D' U
B' R D U L' D2 U
B' R D F2 U' R U'
D2 R D B' U L' U
D' R D B' U L' U
D R D B' U L' U
B' R D' U L' U D
B' R D' U L' U D'
B' R D' U L' U D2
B' R D' U L' D U
B' R D' U L' D' U
B' R D' U L' D2 U
L' U' L R D B' U2
L' U' L R D' B' U2
L' U' L R D2 B' U2
L' U' L R B' U2 D
L' U' L R B' U2 D'
L' U' L R B' U2 D2
L' U' L R B' D U2
L' U' L R B' D' U2
L' U' L R B' D2 U2
L' U' L R' B' R2 U2
B' R D' F2 U' R U'
D2 R D' B' U L' U
D' R D' B' U L' U
L' U' L D R B' U2
B R D' U L' R2 U
B R D' U R2 L' U
L' U' L D B' R U2
L' U' L D' R B' U2
L' U' L D' B' R U2
L' U' L D2 R B' U2
L' U' L D2 B' R U2
D R D' B' U L' U
L' U' L B R B2 U2
L' U' L B' R U2 D
L' U' L B' R U2 D'
L' U' L B' R U2 D2
L' U' L B' R D U2
L' U' L B' R D' U2
L' U' L B' R D2 U2
B' R D2 U L' U D
B' R D2 U L' U D'
B' R D2 U L' U D2
B' R D2 U L' D U
B' R D2 U L' D' U
B' R D2 U L' D2 U
L' U' L B' D R U2
L' U' L B' D' R U2
L' U' L B' D2 R U2
B2 R D2 U L' U F
B' R D2 F2 U' R U'
D2 R D2 B' U L' U
D' R D2 B' U L' U
B R D2 U L' U F2
D R D2 B' U L' U
B' R F U L' U B'
B' R F U' R U' B
L' U' R L D B' U2
L' U' R L D' B' U2
L' U' R L D2 B' U2
L' U' R L B' U2 D
L' U' R L B' U2 D'
L' U' R L B' U2 D2
L' U' R L B' D U2
L' U' R L B' D' U2
L' U' R L B' D2 U2
B' R F2 U' R U' D
B' R F2 U' R U' D'
B' R F2 U' R U' D2
B' R F2 U' R D U'
B' R F2 U' R D' U'
B' R F2 U' R D2 U'
B' R F2 U' D R U'
B' R F2 U' D' R U'
B' R F2 U' D2 R U'
L' U' R' L B' R2 U2
B' R F2 D U' R U'
B2 R F2 U' R U' F'
B' R F2 D' U' R U'
B' R F2 D2 U' R U'
D2 R F2 B' U' R U'
D' R F2 B' U' R U'
D R F2 B' U' R U'
B R F2 B2 U' R U'
D' R B' U L' U D
D' R B' U L' U D'
D' R B' U L' U D2
D' R B' U L' D U
D' R B' U L' D' U
D2 R B' U L' U D
D2 R B' U L' U D'
D2 R B' U L' U D2
D' R B' U L' D2 U
D2 R B' U L' D U
D2 R B' U L' D' U
D2 R B' U L' D2 U
D' R B' U D L' U
D2 R B' U D L' U
D' R B' U D' L' U
D2 R B' U D' L' U
D' R B' U D2 L' U
D2 R B' U D2 L' U
D2 R B' D U L' U
D' R B' D U L' U
D2 R B' D' U L' U
D' R B' D' U L' U
D2 R B' D2 U L' U
D' R B' D2 U L' U
D R B' U L' U D
D R B' U L' U D'
D R B' U L' U D2
D R B' U L' D U
D R B' U L' D' U
D R B' U L' D2 U
D R B' U D L' U
D2 R B' F2 U' R U'
D R B' U D' L' U
D R B' U D2 L' U
D' R B' F2 U' R U'
D R B' D U L' U
D R B' D' U L' U
D R B' D2 U L' U
U R B' U L' B U
U R B' U B L' U
D R B' F2 U' R U'
B R B2 U L' U D
B R B2 U L' U D'
B R B2 U L' U D2
B R B2 U L' D U
B R B2 U L' D' U
B R B2 U L' D2 U
B R B2 U D L' U
B R B2 U D' L' U
B R B2 U D2 L' U
L' U' D2 L R U2 F'
B R B2 D U L' U
B R B2 D' U L' U
L' U' D2 R L U2 F'
B R B2 D2 U L' U
B R B2 F2 U' R U'
B' R' U L' U D2 L2
B' R' U L' U' R2 U2
B' R' U L' D' F2 U
B' R' U L' D2 U L2
B' R' U D' L' F2 U
B' R' U D2 L' U L'
F2 R' D B' U2 B' L'
B' R' D' U L' F2 U
F2 R' D' F2 R B' U2
F2 R' D' F2 B' R U2
F2 R' D' B' F2 R U2
B' R' D2 U L' U L'
R2 U2 L D' B2 L F
U R' D2 L' U L' F
B' R' F2 R2 U' R' U'
D2 R' B' R2 U L' U
D' R' B' R2 U L' U
F2 R' B' U' R2 U' L'
F2 R' B' U2 L' D B2
F2 R' B' U2 D L' B2
F2 R' B' U2 D B2 L'
F2 R' B' D U2 L' B2
F2 R' B' D U2 B2 L'
D R' B' R2 U L' U
F2 R' B' D' F2 R U2
B R' B2 R2 U L' U
B' R2 U L' U' R' U2
B' R2 U2 L D' B2 L
B' R2 U2 B2 L D' B2
B' R2 D R' U L' U
B' R2 D' R' U L' U
B' R2 D2 R' U L' U
L D L' R F2 B' U2
L D L' R B' F2 U2
L D L' F2 B' U2 L'
L D L' B' R F2 U2
L D L' B' F2 U2 L'
B' R2 F' D R' U2 B
B' R2 F2 R' U' R2 U'
B' R2 F2 R' U2 D B2
B' R2 F2 R' D U2 B2
B' R2 F2 R' D' F2 U2
L D R L' F2 B' U2
L D R L' B' F2 U2
R2 D R' B' U L' U
B R2 B2 U L' U L2
B R2 B2 U2 L D' B2
B' U L F2 L2 U L
D' U L' U F2 L' F
D2 U L' U F2 L' F
B' U L' U F2 L' F2
B' U L' U' R U2 D
B' U L' U' R U2 D'
B' U L' U' R U2 D2
B' U L' U' R D U2
B' U L' U' R D' U2
B' U L' U' R D2 U2
B' U L' U' D R U2
B' U L' U' D' R U2
B' U L' U' D2 R U2
B' U L' D U' R U2
B' U L' D F2 U L'
B' U L' D' U' R U2
B' U L' D' F2 U L'
B2 U L' U' B R U2
B' U L' D2 U' R U2
B' U L' D2 F2 U L'
D' U L' F2 U L' F
D2 U L' F2 U L' F
B' U L' F2 U L' D
B' U L' F2 U L' D'
B' U L' F2 U L' D2
B' U L' F2 U D L'
B' U L' F2 U D' L'
B' U L' F2 U D2 L'
B' U L' F2 D U L'
B' U L' F2 D' U L'
B' U L' F2 D2 U L'
B U L' U D2 F2 L'
D U L' U F2 L' F
B U L' U' R B2 U2
B U L' U' B2 R U2
B U L' D2 U F2 L'
U D L' U F2 L' F
D U L' F2 U L' F
B' U L2 F2 L U L2
U D L' F2 U L' F
R D F2 B' U' R U'
B' U D L' U' R U2
B' U D L' F2 U L'
R D B' U L' U D
R D B' U L' U D'
R D B' U L' U D2
R D B' U L' D U
R D B' U L' D' U
R D B' U L' D2 U
B' U D' L' U' R U2
R D B' U D L' U
R D B' U D' L' U
R D B' U D2 L' U
B' U D' L' F2 U L'
R D B' D U L' U
R D B' D' U L' U
R D B' D2 U L' U
R D B' F2 U' R U'
B' U D2 L' U' R U2
B' U D2 L' F2 U L'
B U D2 L' U F2 L'
L D' L' R B' U2 B'
L D' L' B' R U2 B'
B' U F2 U2 R U' L'
L D' R L' B' U2 B'
R2 D' R' B' U L' U
U D' L' U F2 L' F
U D' L' F2 U L' F
F2 U' L2 R U' F L
B' U' R U2 L' U L
F2 U' R L2 U' F L
F2 U' R U B' U2 L'
F2 U' R U' L2 F L
R' D' B' U L' F2 U
R D' F2 B' U' R U'
R D' B' U L' U D
R D' B' U L' U D'
R D' B' U L' U D2
R D' B' U L' D U
R D' B' U L' D' U
R D' B' U L' D2 U
R D' B' U D L' U
R D' B' U D' L' U
R D' B' U D2 L' U
R D' B' D U L' U
R D' B' D' U L' U
R D' B' D2 U L' U
R D' B' F2 U' R U'
U D2 L' U F2 L' F
U D2 L' F2 U L' F
R2 D2 R' B' U L' U
R' D2 U L' U L' F
L' D2 U' L R U2 F'
L' D2 U' R L U2 F'
F2 U2 L2 F D' L B'
R' D2 B' U L' U L'
R D2 F2 B' U' R U'
R D2 B' U L' U D
R D2 B' U L' U D'
R D2 B' U L' U D2
R D2 B' U L' D U
R D2 B' U L' D' U
R D2 B' U L' D2 U
R D2 B' U D L' U
R D2 B' U D' L' U
R D2 B' U D2 L' U
R D2 B' D U L' U
R D2 B' D' U L' U
R D2 B' D2 U L' U
R D2 B' F2 U' R U'
U F L2 U F L' B'
B' D R U L' U D
B' D R U L' U D'
B' D R U L' U D2
B' D R U L' D U
B' D R U L' D' U
B' D R U L' D2 U
B' D R U D L' U
B' D R U D' L' U
B' D R U D2 L' U
B' D R D U L' U
B' D R D' U L' U
B' D R D2 U L' U
B' D R F2 U' R U'
F' D R F' B' U2 L'
F' D R B' F' U2 L'
B' D U L' U' R U2
B' D U L' F2 U L'
R F B' U L' U B'
R F B' U' R U' B
F' D F R F' B' U2
F' D F R B' F' U2
F' D F B' R F' U2
B' D F2 U' R U' L'
B2 D B R U L' U
F' D B' R F' U2 L'
F' D B' R' U2 B L
F2 D B' U' R U' L'
F' D B' F R F' U2
R2 F' D R' B' U2 B2
B' D' R U L' U D
B' D' R U L' U D'
B' D' R U L' U D2
B' D' R U L' D U
B' D' R U L' D' U
B' D' R U L' D2 U
B' D' R U D L' U
B' D' R U D' L' U
B' D' R U D2 L' U
B' D' R D U L' U
B' D' R D' U L' U
B' D' R D2 U L' U
B' D' R F2 U' R U'
B D' R U L' R U
B D' R U R L' U
B' D' U L' U' R U2
B' D' U L' F2 U L'
R F' D2 B' U L U
U2 F2 L2 F D' L B'
B' D' F2 U' R U' L'
B2 D' B R U L' U
R2 F2 R' D B' U2 B'
R2 F2 R' D' F2 B' U2
R2 F2 R' D' B' F2 U2
R2 F2 R' B' U' R2 U'
R2 F2 R' B' U2 D B2
R2 F2 R' B' D U2 B2
R2 F2 R' B' D' F2 U2
L' F2 U L' D2 R2 F
L' F2 U L' D2 F R2
L' F2 U L' F D2 R2
F' D' B' U2 B L B'
F2 D' B' U' R U' L'
L' F2 U' L U2 L2 F
L' F2 U' L B' U2 L2
R F2 U' L2 R U' F
R F2 U' R L2 U' F
R F2 U' R U B' U2
B' D2 R U L' U D
B' D2 R U L' U D'
B' D2 R U L' U D2
B' D2 R U L' D U
B' D2 R U L' D' U
B' D2 R U L' D2 U
B' D2 R U D L' U
B' D2 R U D' L' U
B' D2 R U D2 L' U
B' D2 R D U L' U
B' D2 R D' U L' U
B' D2 R D2 U L' U
B' D2 R F2 U' R U'
B D2 R U L' U F2
R F2 D B' U' R U'
R' F2 B' R2 U' R' U'
D2 F2 B' U' R U' L'
R F2 D' B' U' R U'
D' F2 B' U' R U' L'
B' D2 U L' U' R U2
B' D2 U L' F2 U L'
L' F2 B2 U L' R' F
L' F2 B2 U L' F R'
L' F2 B2 U R' L' F
R F2 D2 B' U' R U'
D F2 B' U' R U' L'
B D2 U L' U F2 L'
R F2 B' U' R U' D
R F2 B' U' R U' D'
R F2 B' U' R U' D2
R F2 B' U' R D U'
R F2 B' U' R D' U'
R F2 B' U' R D2 U'
R F2 B' U' D R U'
R F2 B' U' D' R U'
R F2 B' U' D2 R U'
R F2 B' D U' R U'
R F2 B' D' U' R U'
R F2 B' D2 U' R U'
B' D2 F2 U' R U' L'
D2 B R B2 U L' U
D' B R B2 U L' U
B2 D2 B R U L' U
D B R B2 U L' U
R' B R2 B2 U L' U
F' D2 B' U L F U
F2 D2 B' U' R U' L'
R B U L' U D2 F2
R B U L' U' B2 U2
R B U L' D' R2 U
R B U L' D2 U F2
R B U D' L' R2 U
R B U D' R2 L' U
R B U D2 L' U F2
R B D' U L' R2 U
R B D' U R2 L' U
R B D2 U L' U F2
R B' L D L' F2 U2
D2 B' R U L' U D
D2 B' R U L' U D'
D2 B' R U L' U D2
D2 B' R U L' D U
D2 B' R U L' D' U
D2 B' R U L' D2 U
R B' L D F2 U2 R
D2 B' R U D L' U
R B' L D' L' U2 B2
D2 B' R U D' L' U
D2 B' R U D2 L' U
D' B' R U L' U D
D' B' R U L' U D'
D' B' R U L' U D2
D' B' R U L' D U
D' B' R U L' D' U
D' B' R U L' D2 U
D' B' R U D L' U
D' B' R U D' L' U
D' B' R U D2 L' U
D2 B' R D U L' U
D2 B' R D' U L' U
D' B' R D U L' U
D2 B' R D2 U L' U
D' B' R D' U L' U
