B' L R2 F' R U2
B' L F U2 L' B
B' L F U2 B L'
B' L F2 U2 B L
F L' D2 R F' R
F L' D2 F' R F'
F' R B' L U2 B
B R' D2 F2 B' L
B R' D2 B' L F2
B R' D2 B' F2 L
B R' B' L2 F L'
B' R2 L F' R U2
B' R2 F' L R U2
B' R2 F' R L U2
F' U2 R B' L U2
L2 F L' B R' B'
F' U2 B' L R U2
F' U2 B' R L U2
F2 U2 B' L R' U2
F2 U2 B' R' L U2
F U2 B' L U2 L2
L2 F B R' B' L'
L2 F2 D2 F' L' R
L2 F2 D2 F' R L'
B D2 R' F2 B' L
B D2 R' B' L F2
B D2 R' B' F2 L
L2 B R' F B' L'
L2 B R' B' F L'
B D2 F2 R' B' L
B' F L U2 L2 B
B' F L U2 B L2
L2 B F R' B' L'
F2 B' L U2 B L
F B' L U2 L2 B
F B' L U2 B L2
B' F2 L U2 B L
B' L R F' R F' U2
B' L R' F U2 L' B'
B' L R' F' R U2 B
B' L R2 F' R U2 D
B' L R2 F' R U2 D'
B' L R2 F' R U2 D2
B' L R2 F' R D U2
B' L R2 F' R D' U2
B' L R2 F' R D2 U2
B' L R2 F' D R U2
B' L R2 F' D' R U2
B' L R2 F' D2 R U2
B' L U F U L' B
B' L U F U B L'
F' L U2 R B U2 R'
B' L U2 D2 B' L B2
B' L U2 F L' F' B
B' L U2 F L' B F'
B' L U2 F B L' F'
B' L U2 B F L' F'
B' L U2 B2 D2 B' L
L2 R F L' B R' B'
L2 R F B R' B' L'
B' L D2 U2 B' L B2
B' L F R' U2 L' B'
L2 R F2 D2 F' L' R
L2 R F2 D2 F' R L'
B' L F U2 L B L2
B' L F U2 L' D B
B' L F U2 L' D' B
B' L F U2 L' D2 B
B' L F U2 L' B D
B' L F U2 L' B D'
B' L F U2 L' B D2
B' L F U2 D L' B
B' L F U2 D B L'
B' L F U2 D' L' B
B' L F U2 D' B L'
B' L F U2 D2 L' B
B' L F U2 D2 B L'
B' L F U2 B L' D
B' L F U2 B L' D'
B' L F U2 B L' D2
B' L F U2 B D L'
B' L F U2 B D' L'
B' L F U2 B D2 L'
B' L F U2 B' L' B2
B' L F D U2 L' B
B' L F D U2 B L'
B' L F D' U2 L' B
B' L F D' U2 B L'
B' L F D2 U2 L' B
B' L F D2 U2 B L'
L2 R B R' F B' L'
L2 R B R' B' F L'
L2 R B F R' B' L'
B' L F' R2 F' R' U2
B' L F2 R2 F' U2 L'
B' L F2 U2 L B L
B' L F2 U2 L' B L
B' L F2 U2 L2 B L
B' L F2 U2 D B L
B' L F2 U2 D' B L
B' L F2 U2 D2 B L
B' L F2 U2 B L D
B' L F2 U2 B L D'
B' L F2 U2 B L D2
B' L F2 U2 B D L
B' L F2 U2 B D' L
B' L F2 U2 B D2 L
B' L F2 D U2 B L
B' L F2 D' U2 B L
B' L F2 D2 U2 B L
U2 L B' L U2 F L'
B L B2 L F U2 L'
F L' R D2 R F' R
F L' R D2 F' R F'
F L' R' D2 R F' R
F L' R' D2 F' R F'
B' L' R2 F' L2 R U2
B' L' R2 F' R L2 U2
F L' R2 D2 R F' R
F L' R2 D2 F' R F'
L2 R' F L' B R' B'
L2 R' F B R' B' L'
F L' U2 L B' L U2
F L' U2 B' L B' U2
L2 R' F2 D2 F' L' R
L2 R' F2 D2 F' R L'
L2 R' B R' F B' L'
L2 R' B R' B' F L'
L2 R' B F R' B' L'
F2 L' D2 R F' L' R
F2 L' D2 R F' R L'
F L' D2 R F' R D
F L' D2 R F' R D'
F L' D2 R F' R D2
F L' D2 R F' D R
F L' D2 R F' D' R
F L' D2 R F' D2 R
F' L' D2 F' R F' L'
F2 L' D2 F' L' R F'
F2 L' D2 F' R L' F'
F L' D2 F' R D F'
F L' D2 F' R D' F'
F L' D2 F' R D2 F'
F L' D2 F' R F' D
F L' D2 F' R F' D'
F L' D2 F' R F' D2
B' L' F L2 U2 L B
F L' F D2 R F' R
F L' F D2 F' R F'
F L' F' D2 R F' R
F L' F' D2 F' R F'
B' L' F2 L2 U2 B L
F L' F2 D2 R F' R
F L' F2 D2 F' R F'
R' L2 F L' B R' B'
L2 R2 F L' B R' B'
R2 L2 F L' B R' B'
R L2 F L' B R' B'
R' L2 F B R' B' L'
L2 R2 F B R' B' L'
R2 L2 F B R' B' L'
R L2 F B R' B' L'
R' L2 F2 D2 F' L' R
R' L2 F2 D2 F' R L'
L2 R2 F2 D2 F' L' R
L2 R2 F2 D2 F' R L'
R2 L2 F2 D2 F' L' R
R2 L2 F2 D2 F' R L'
R' L2 B R' F B' L'
R' L2 B R' B' F L'
R L2 F2 D2 F' L' R
R L2 F2 D2 F' R L'
L2 R2 B R' F B' L'
L2 R2 B R' B' F L'
R2 L2 B R' F B' L'
R2 L2 B R' B' F L'
R' L2 B F R' B' L'
R L2 B R' F B' L'
R L2 B R' B' F L'
L2 R2 B F R' B' L'
R2 L2 B F R' B' L'
R L2 B F R' B' L'
F2 L2 D2 F' L' R F2
F2 L2 D2 F' R L' F2
F L2 D2 F L D2 R2
F L2 D2 F' L R F2
F L2 D2 F' R L F2
F L2 D2 F' R F2 L
U2 L2 F L' R2 B R'
U2 L2 F R2 L' B R'
F L2 F L B R' B'
U2 L2 F R2 B L' R'
U2 L2 F R2 B R' L'
B L2 F B2 L U2 L2
F L2 F B R' B' L
F' L2 F2 L' D2 F' R
F L2 F2 L D2 F' R
B' L2 F2 U2 B L R
B' L2 F2 U2 B R L
F' L2 F2 D2 L' F' R
F L2 F2 D2 L F' R
F L2 F2 D2 F' L R
F L2 F2 D2 F' R L
U2 L2 B U2 R' F L'
U2 L2 B U2 F L' R'
U2 L2 B U2 F R' L'
F L2 B R' F B' L
F L2 B R' B' F L
U L2 B U' R' F L'
U L2 B U' F L' R'
U L2 B U' F R' L'
F L2 B F R' B' L
U2 L2 B2 U2 F L' R
U2 L2 B2 U2 F R L'
B L2 B2 F L U2 L2
B' R L F' R F' U2
F R L' D2 R F' R
F R L' D2 F' R F'
L2 U B U' R' F L'
L2 U B U' F L' R'
L2 U B U' F R' L'
F' R U2 B' L U2 L'
F2 R U2 B' L R' U2
F2 R U2 B' R' L U2
F R U2 B' L U2 L2
B' R D2 L U2 B' L
F' R F B' L U2 B
B' R F' L R F' U2
B' R F' R L F' U2
B' R F' R F' L U2
F' R F' B' L U2 B
F' R F2 B' L U2 B
F' R B' L U2 D B
F' R B' L U2 D' B
F' R B' L U2 D2 B
F' R B' L U2 B D
F' R B' L U2 B D'
F' R B' L U2 B D2
F' R B' L D U2 B
F' R B' L D' U2 B
F' R B' L D2 U2 B
F' R B' L F U2 B
F' R B' L F' U2 B
F' R B' L F2 U2 B
F2 R B' L U2 B L
B R B' L2 R2 F L'
F' R B' U2 B2 R' B'
F' R B' D L U2 B
B R B' L2 F L' R2
B R B' L2 F R2 L'
F' R B' D' L U2 B
F R B' L U2 L2 B
F R B' L U2 B L2
F' R B' D2 L U2 B
B R B' R2 L2 F L'
F' R B' F L U2 B
F' R B' F' L U2 B
F' R B' F2 L U2 B
B' R' L F U2 L' B'
B' R' L F' R U2 B
F R' L' D2 R F' R
F R' L' D2 F' R F'
L2 U' B U R' F L'
L2 U' B U F L' R'
L2 U' B U F R' L'
F' R' U2 R2 B' L U2
F' R' U2 B' L R2 U2
F' R' U2 B' R2 L U2
F2 R' U2 B' L R' U2
F2 R' U2 B' R' L U2
F R' U2 B' L U2 L2
F' R' D2 L2 F' R F2
F' R' D2 F' L2 R F
F' R' D2 F' R L2 F
F' R' D2 F2 L2 F R
B R' D2 F' B' L F'
B R' D2 F2 B' L D
B R' D2 F2 B' L D'
B R' D2 F2 B' L D2
B R' D2 F2 B' D L
B R' D2 F2 B' D' L
B R' D2 F2 B' D2 L
B R' D2 B' L F2 D
B R' D2 B' L F2 D'
B R' D2 B' L F2 D2
B R' D2 B' L' F2 L2
B R' D2 B' F' L F'
B R' D2 B' F2 L D
B R' D2 B' F2 L D'
B R' D2 B' F2 L D2
B R' D2 B' F2 D L
B R' D2 B' F2 D' L
B R' D2 B' F2 D2 L
B' R' F' L R U2 B
B' R' F' R L U2 B
B R' F D2 B' L' F2
B R' F B' L2 F L
B R' F' D2 F2 B' L'
B R' F' D2 B' F2 L'
F' R' B' L R2 F' U2
F2 R' B' L U2 B L
F' R' B' R2 L F' U2
F' R' B' R2 F' L U2
B R' B' L' F L' F
B R' B' L2 F L' D
B R' B' L2 F L' D'
B R' B' L2 F L' D2
B R' B' L2 F D L'
B R' B' L2 F D' L'
B R' B' L2 F D2 L'
F R' B' L U2 L2 B
F R' B' L U2 B L2
B R' B' F L2 F L
B' R2 L F' R U2 D
B' R2 L F' R U2 D'
B' R2 L F' R U2 D2
B' R2 L F' R D U2
B' R2 L F' R D' U2
B' R2 L F' R D2 U2
B' R2 L F' D R U2
B' R2 L F' D' R U2
B' R2 L F' D2 R U2
B' R2 L' F' L2 R U2
B' R2 L' F' R L2 U2
L2 U2 F L' R2 B R'
L2 U2 F R2 L' B R'
L2 U2 F R2 B L' R'
L2 U2 F R2 B R' L'
F R2 L' D2 R F' R
F R2 L' D2 F' R F'
F' R2 U2 R' B' L U2
L2 U2 B U2 R' F L'
L2 U2 B U2 F L' R'
L2 U2 B U2 F R' L'
F2 R2 U2 B' L R' U2
F2 R2 U2 B' R' L U2
F R2 U2 B' L U2 L2
L2 U2 B2 U2 F L' R
L2 U2 B2 U2 F R L'
B R2 D2 R F2 B' L
B R2 D2 R B' L F2
B R2 D2 R B' F2 L
B' R2 F L F2 U2 L2
B R2 D2 B' L R F2
B R2 D2 B' R L F2
B R2 D2 B' R F2 L
B' R2 F' L R U2 D
B' R2 F' L R U2 D'
B' R2 F' L R U2 D2
B' R2 F' L R D U2
B' R2 F' L R D' U2
B' R2 F' L R D2 U2
B' R2 F' L D R U2
B' R2 F' L D' R U2
B' R2 F' L D2 R U2
B' R2 F' R L U2 D
B' R2 F' R L U2 D'
B' R2 F' R L U2 D2
B' R2 F' R L D U2
B' R2 F' R L D' U2
B' R2 F' R L D2 U2
B' R2 F' R D L U2
B' R2 F' R D' L U2
B' R2 F' R D2 L U2
B' R2 F' D L R U2
B' R2 F' D R L U2
B' R2 F' D' L R U2
B' R2 F' D' R L U2
B' R2 F' D2 L R U2
B' R2 F' D2 R L U2
F2 R2 B' L U2 B L
B R2 B' L2 R F L'
B R2 B' R L2 F L'
F R2 B' L U2 L2 B
F R2 B' L U2 B L2
B U R' D2 F2 B' L
B U R' D2 B' L F2
B U R' D2 B' F2 L
B U R' B' L2 F L'
B U D2 R' F2 B' L
B U D2 R' B' L F2
B U D2 R' B' F2 L
B U D2 F2 R' B' L
B U' R' D2 F2 B' L
B U' R' D2 B' L F2
B U' R' D2 B' F2 L
B U' R' B' L2 F L'
B U' D2 R' F2 B' L
B U' D2 R' B' L F2
B U' D2 R' B' F2 L
