B L D R2 F U'
B L D F R2 U'
B L D2 F U' B2
B L F U F U2
B D L R2 F U'
B D L F R2 U'
B D R2 L F U'
B D2 L F U' B2
D2 B L F U' B
D B L R2 F U'
D B L F R2 U'
D B R2 L F U'
B L R D R2 F U'
B L R D F R2 U'
B L R D2 F U' B2
B L R F U F U2
B L R' D R2 F U'
B L R' D F R2 U'
B L R' D2 F U' B2
B L R' F U F U2
B L R2 D R2 F U'
B L R2 D F R2 U'
B L R2 D2 F U' B2
B L R2 F U F U2
B L U F2 U' F' U'
B L U2 D' L2 B' U
B L D R' F R' U'
B L D R2 D F U'
B L D R2 D' F U'
B L D R2 D2 F U'
B L D R2 F U' D
B L D R2 F U' D'
B L D R2 F U' D2
B L D R2 F D U'
B L D R2 F D' U'
B L D R2 F D2 U'
B L D F R2 U' D
B L D F R2 U' D'
B L D F R2 U' D2
B L D F R2 D U'
B L D F R2 D' U'
B L D F R2 D2 U'
B L D F U' D B2
B L D F D U' B2
B L D F' R2 F2 U'
B L D' U2 L2 B' U
B L D' F U' D' B2
B L D' F U2 L2 U
B L D' F D' U' B2
B L D' F D2 R2 U'
B L D2 R F U' B2
B L D2 R' F U' B2
B L D2 R2 F U' B2
B L D2 F R U' B2
B L D2 F R' U' B2
B L D2 F R2 U' B2
B L D2 F U' B2 D
B L D2 F U' B2 D'
B L D2 F U' B2 D2
B L D2 F D' R2 U'
B L F R U F U2
B L F R' U F U2
B L F R2 U F U2
B L F U D F U2
B L F U D' F U2
B L F U D2 F U2
B L F U F U2 D
B L F U F U2 D'
B L F U F U2 D2
B L F U F D U2
B L F U F D' U2
B L F U F D2 U2
B L F U' L2 B' L2
B L F U2 L2 U B'
D2 L F B L U' B
B L F D U F U2
D L F B L R2 U'
D L F B R2 L U'
B L F D' U F U2
F L F B L U' B'
B L F D2 U F U2
B L F' R2 F2 U' B
B L F' U' D R2 B
B L F' D U' R2 B
D L B R2 F L U'
D2 L B F L U' B
D L B F L R2 U'
D L B F R2 L U'
F L B F L U' B'
B L' F L2 F U' B'
B R L D R2 F U'
B R L D F R2 U'
B R L D2 F U' B2
B R L F U F U2
B R D L R2 F U'
B R D L F R2 U'
B R D R2 L F U'
B R D2 L F U' B2
B R' L D R2 F U'
B R' L D F R2 U'
B R' L D2 F U' B2
B R' L F U F U2
B R' D L R2 F U'
B R' D L F R2 U'
B R' D R2 L F U'
B R' D2 L F U' B2
B R2 L D R2 F U'
B R2 L D F R2 U'
B R2 L D2 F U' B2
B R2 L F U F U2
B R2 D L R2 F U'
