D2 L2 B' U L R
D2 L2 B' U R L
U2 R2 F U' L' R'
U2 R2 F U' R' L'
D2 B' L2 U L' R
D2 B' L2 U R L'
D2 L B' U L R B
D2 L B' U R L B
D' L' F U' F L' U2
D2 L' B' L' U L2 R
D2 L' B' L' U R L2
D2 L2 U R B' L B
D2 L2 U B' L B R
D2 L2 U2 B' U' L R
D2 L2 U2 B' U' R L
D2 L2 B U R D2 L2
D2 L2 B U' R' U2 R2
D2 L2 B' U L R D
D2 L2 B' U L R D'
D2 L2 B' U L R D2
D2 L2 B' U L D R
D2 L2 B' U L D' R
D2 L2 B' U L D2 R
D2 L2 B' U R L D
D2 L2 B' U R L D'
D2 L2 B' U R L D2
D2 L2 B' U R D L
D2 L2 B' U R D' L
D2 L2 B' U R D2 L
D2 L2 B' U D L R
D2 L2 B' U D R L
D2 L2 B' U D' L R
D2 L2 B' U D' R L
D2 L2 B' U D2 L R
D2 L2 B' U D2 R L
D2 L2 B' D U L R
D2 L2 B' D U R L
D2 L2 B' D' U L R
D2 L2 B' D' U R L
D2 L2 B' D2 U L R
D2 L2 B' D2 U R L
D R U' F' R' U B2
D R F' R' U R B2
D R F' R' U B2 R
R2 U' F L' D' R' F2
R2 U' F L' D' F2 R'
R2 U' F D' L' R' F2
R2 U' F D' L' F2 R'
R2 U' F D' R' L' F2
R2 U' F' D' F2 L' R'
R2 U' F' D' F2 R' L'
U2 R' F R' U' L' R'
U2 R' F R' U' R' L'
L' U2 R2 F U' L' R'
L' U2 R2 F U' R' L'
L2 U2 R2 F U' L' R'
L2 U2 R2 F U' R' L'
L U2 R2 F U' L' R'
L U2 R2 F U' R' L'
R2 U2 F R2 U L' R
R2 U2 F R2 U R L'
U2 R2 U' R' F L' F'
U2 R2 U' F L' F' R'
U2 R2 U2 F U L' R'
U2 R2 U2 F U R' L'
U2 R2 F U' L' R' D
U2 R2 F U' L' R' D'
U2 R2 F U' L' R' D2
U2 R2 F U' L' D R'
U2 R2 F U' L' D' R'
U2 R2 F U' L' D2 R'
U2 R2 F U' R' L' D
U2 R2 F U' R' L' D'
U2 R2 F U' R' L' D2
U2 R2 F U' R' D L'
U2 R2 F U' R' D' L'
U2 R2 F U' R' D2 L'
U2 R2 F U' D L' R'
U2 R2 F U' D R' L'
U2 R2 F U' D' L' R'
U2 R2 F U' D' R' L'
U2 R2 F U' D2 L' R'
U2 R2 F U' D2 R' L'
U2 R2 F D U' L' R'
U2 R2 F D U' R' L'
U2 R2 F D' U' L' R'
U2 R2 F D' U' R' L'
U2 R2 F D2 U' L' R'
U2 R2 F D2 U' R' L'
U R2 F U' L' F' R'
U2 R2 F' U R U2 R2
U2 R2 F' U' R' D2 L2
D2 U R B D' B2 L
D2 U R B' D' L B2
D U R U' F' U B2
U D R U' F' U B2
D U R B2 U' F' U
U D R B2 U' F' U
U2 D R' B U' B R2
R' D B2 L R F' U
R' D B2 R L F' U
R' D B2 R F' L U
D2 U B D' B2 L R
D2 U B D' B2 R L
D2 U B' R D' L B2
D2 U B' D' L R B2
D2 U B' D' L B2 R
D2 U B' D' R L B2
D U B' D R B' L
D U B' D B' L R
D U B' D B' R L
U D B' D R B' L
U D B' D B' L R
U D B' D B' R L
D U B2 R U' F' U
U D B2 R U' F' U
U' D' F2 L' U F U
D' U' F2 L' U F U
L' D2 L2 B' U L R
L' D2 L2 B' U R L
L2 D2 L2 B' U L R
L2 D2 L2 B' U R L
L D2 L2 B' U L R
L D2 L2 B' U R L
U D2 R B D' B2 L
U D2 R B' D' L B2
D U2 R' B U' B R2
L' D2 B' L2 U L' R
L' D2 B' L2 U R L'
B' U2 R2 F U' L' R'
B' U2 R2 F U' R' L'
L2 D2 B' L2 U L' R
L2 D2 B' L2 U R L'
B2 U2 R2 F U' L' R'
B2 U2 R2 F U' R' L'
U D2 B D' B2 L R
U D2 B D' B2 R L
U D2 B' R D' L B2
B U2 R2 F U' L' R'
B U2 R2 F U' R' L'
L D2 B' L2 U L' R
L D2 B' L2 U R L'
U D2 B' D' L R B2
U D2 B' D' L B2 R
U D2 B' D' R L B2
U F L' F' D R B2
U F L' F' D B2 R
R2 F U' L' D' R' F2
R2 F U' L' D' F2 R'
R2 F U' D' L' R' F2
R2 F U' D' L' F2 R'
R2 F U' D' R' L' F2
R2 F U2 R2 U L' R
R2 F U2 R2 U R L'
R2 F D' U' L' R' F2
R2 F D' U' L' F2 R'
R2 F D' U' R' L' F2
R2 F D2 L2 U' L R'
R2 F D2 L2 U' R' L
R2 F' U' D' F2 L' R'
R2 F' U' D' F2 R' L'
R2 F' D' U' F2 L' R'
R2 F' D' U' F2 R' L'
D' F2 L' U F U F'
R F2 U' L' R' F' U
R F2 U' R' L' F' U
B' D2 L2 B' U L R
B' D2 L2 B' U R L
B2 D2 L2 B' U L R
B2 D2 L2 B' U R L
B D2 L2 B' U L R
B D2 L2 B' U R L
D2 B L2 U R D2 L2
D2 B L2 U' R' U2 R2
D2 B L2 B2 U L R
D2 B L2 B2 U R L
B' D2 B' L2 U L' R
B' D2 B' L2 U R L'
B2 D2 B' L2 U L' R
B2 D2 B' L2 U R L'
U2 B R2 F U' L' R'
U2 B R2 F U' R' L'
D2 B U D' B2 L R
D2 B U D' B2 R L
F D2 B L2 U L R'
F D2 B L2 U R' L
B D2 B' L2 U L' R
B D2 B' L2 U R L'
D2 B D' U B2 L R
D2 B D' U B2 R L
D2 B' L2 U L' R D
D2 B' L2 U L' R D'
D2 B' L2 U L' R D2
D2 B' L2 U L' D R
D2 B' L2 U L' D' R
D2 B' L2 U L' D2 R
D2 B' L2 U R L' D
D2 B' L2 U R L' D'
D2 B' L2 U R L' D2
D2 B' L2 U R D L'
D2 B' L2 U R D' L'
D2 B' L2 U R D2 L'
D2 B' L2 U D L' R
D2 B' L2 U D R L'
D2 B' L2 U D' L' R
D2 B' L2 U D' R L'
D2 B' L2 U D2 L' R
D2 B' L2 U D2 R L'
D2 B' L2 D U L' R
D2 B' L2 D U R L'
D2 B' L2 D' U L' R
D2 B' L2 D' U R L'
D2 B' L2 D2 U L' R
D2 B' L2 D2 U R L'
D2 B' L2 B U L' R
D2 B' L2 B U R L'
D2 B' L2 B' U L' R
D2 B' L2 B' U R L'
D2 B' L2 B2 U L' R
D2 B' L2 B2 U R L'
D2 B' U R D' L B2
D2 B' U D' L R B2
D2 B' U D' L B2 R
D2 B' U D' R L B2
U2 B' R2 F U' L' R'
U2 B' R2 F U' R' L'
D B' U D R B' L
D B' U D B' L R
D B' U D B' R L
D2 B' D' U L R B2
D2 B' D' U L B2 R
D2 B' D' U R L B2
D B' D U R B' L
D B' D U B' L R
D B' D U B' R L
D2 B2 L2 B U L R
D2 B2 L2 B U R L
D B2 R U' F' R' U
U2 B2 R2 F U' L' R'
U2 B2 R2 F U' R' L'
