U' L R2 U' F L2
B L' D F2 B2 R'
B L' D B2 R' F2
B L' D B2 F2 R'
U' R2 L U' F L2
B U' L R2 U' L2
B U' R2 L U' L2
B U2 L' D F2 B2
B U2 L' D B2 F2
B2 U2 D L' F B2
B2 U2 D L' B2 F
B2 U2 D B2 L' F
B2 D L' F B2 R'
B2 D L' B2 R' F
B2 D L' B2 F R'
B2 D U2 L' F B2
B2 D U2 L' B2 F
B2 D U2 B2 L' F
B2 D' F2 R U2 F'
U' L R2 U' F L2 D
U' L R2 U' F L2 D'
U' L R2 U' F L2 D2
U' L R2 U' F' L2 F2
U' L R2 U' F2 L2 F'
B L R2 U L' U2 L'
U' L R2 D' B2 U' F
U' L R2 B U' F L2
U' L R2 B' U' F L2
B L R2 F2 U' L2 R
B L R2 F2 U' R L2
U' L R2 B2 U' F L2
D L U L2 B2 R' F'
B L U' L2 D B2 R'
U' L U' F L2 D B2
B L F2 R2 U' L2 R'
B L F2 R2 U' R' L2
U' L B R2 U' F L2
U' L B' R2 U' F L2
U' L B2 R2 U' F L2
U2 L' U L R2 U' F
U2 L' U R2 L U' F
B L' D R F2 B2 R'
B L' D R B2 R' F2
B L' D R B2 F2 R'
B L' D R' F2 B2 R'
B L' D R' B2 R' F2
B L' D R' B2 F2 R'
B L' D R2 F2 B2 R'
B L' D R2 B2 R' F2
B L' D R2 B2 F2 R'
B L' D F B2 R' F
B L' D F2 R B2 R'
B L' D F2 R' B2 R'
B L' D F2 R2 B2 R'
B L' D F2 B2 R' D
B L' D F2 B2 R' D'
B L' D F2 B2 R' D2
B L' D F2 B2 D R'
B L' D F2 B2 D' R'
B L' D F2 B2 D2 R'
B L' D B2 R F2 R2
B L' D B2 R' F2 D
B L' D B2 R' F2 D'
B L' D B2 R' F2 D2
B L' D B2 F R' F
B L' D B2 F2 R' D
B L' D B2 F2 R' D'
B L' D B2 F2 R' D2
B L' D B2 F2 D R'
B L' D B2 F2 D' R'
B L' D B2 F2 D2 R'
B L' F D F2 B2 R'
B L' F D B2 R' F2
B L' F D B2 F2 R'
U2 L' F' U L' R2 U'
U2 L' F' U R2 L' U'
B L' F' D F2 B2 R'
B L' F' D B2 R' F2
B L' F' D B2 F2 R'
L2 R2 U' D2 L R2 F
L2 R2 U' D2 L F R2
R2 L2 U' D2 L R2 F
L2 R2 U' D2 R2 L F
R2 L2 U' D2 L F R2
R2 L2 U' D2 R2 L F
U' L' F2 D B2 R2 F'
B L' F2 D F2 B2 R'
B L' F2 D B2 R' F2
B L' F2 D B2 F2 R'
L2 R2 D F2 U' L F
R2 L2 D F2 U' L F
D L' B2 R2 D' R F'
B L' B2 D R' F2 B2
B L' B2 D R' B2 F2
B L' B2 D F2 R' B2
D L' B2 D' R F' R2
L2 R2 D2 U' L R2 F
L2 R2 D2 U' L F R2
L2 R2 D2 U' R2 L F
R2 L2 D2 U' L R2 F
R2 L2 D2 U' L F R2
R2 L2 D2 U' R2 L F
U' L2 R2 U' L' F L2
D L2 U L B2 R' F'
D2 L2 U' L2 U2 L' F
