F' R D F2 B U'
F' R D B F2 U'
F' R D2 B U' R2
F' R B U L2 U2
F' R B U' D2 R2
F' R B D F2 U'
D2 R B R' U' R2
F' R B D2 U' R2
R D2 B R' U' R'
F' D R F2 B U'
F' D R B F2 U'
F D F2 R B U'
F' D2 R B U' R
U2 L F L' U D2 R2
U2 L F L' U' L2 U2
U2 L F L' D' B2 U
U2 L F L' D2 U R2
U2 L F B2 L' U R'
U2 L B2 F L' U R'
U L' D' L' F R U2
U L2 U L F L' U
U L2 U2 D' B L B'
U L2 U2 B D' L B'
U L2 D R F' U2 L'
U L2 D R' U2 B L
U L2 D F R F' U2
U L2 D' U2 B L B'
U L2 F R U L' U
U L2 F' U' R U' L'
F' R U L2 U' B U'
F' R D F2 D B U'
F' R D F2 D' B U'
F' R D F2 D2 B U'
F' R D F2 B U' D
F' R D F2 B U' D'
F' R D F2 B U' D2
F' R D F2 B D U'
F' R D F2 B D' U'
F' R D F2 B D2 U'
F' R D B U' D R2
F' R D B D U' R2
F' R D B F2 U' D
F' R D B F2 U' D'
F' R D B F2 U' D2
F' R D B F2 D U'
F' R D B F2 D' U'
F' R D B F2 D2 U'
D R D B U' R2 B
F R D F2 B R U'
F R D B F2 R U'
D' R D' B R' U' R'
F' R D' B U2 B U
F' R D2 F B U' R2
F' R D2 F' B U' R2
B' R D2 B R' U' R'
F' R D2 F2 B U' R2
F' R D2 B U' R2 D
F' R D2 B U' R2 D'
F' R D2 B U' R2 D2
F' R D2 B D' F2 U'
F' R D2 B F U' R2
F' R D2 B F' U' R2
F' R D2 B F2 U' R2
B2 R D2 B R' U' R'
B R D2 B R' U' R'
F' R F D F2 B U'
F' R F D B F2 U'
F' R F D2 B U' R2
F' R F B U L2 U2
F' R F B U' D2 R2
F' R F B D F2 U'
F' R F B D2 U' R2
F' R F' D F2 B U'
F' R F' D B F2 U'
F' R F' D2 B U' R2
F' R F' B U L2 U2
F' R F' B U' D2 R2
F' R F' B D F2 U'
F' R F' B D2 U' R2
F' R F2 D F2 B U'
F' R F2 D B F2 U'
F' R F2 D2 B U' R2
F' R F2 B U L2 U2
F' R F2 B U' D2 R2
F' R F2 B D F2 U'
F' R F2 B D2 U' R2
D2 R B R' U' R2 D
D2 R B R' U' R2 D'
D2 R B R' U' R2 D2
D2 R B R' D' F2 U'
D2 R B R' F U' R2
D2 R B R' F' U' R2
D2 R B R' F2 U' R2
D R F2 B U F U2
D2 R B U' R D B2
F' R B U L2 U2 D
F' R B U L2 U2 D'
F' R B U L2 U2 D2
F' R B U L2 D U2
F' R B U L2 D' U2
F' R B U L2 D2 U2
F' R B U' R D2 R2
F' R B U' R' D2 R2
F' R B U' R2 D2 R2
D2 R B D R' U' R2
F' R B U' D2 R2 D
F' R B U' D2 R2 D'
F' R B U' D2 R2 D2
D2 R B D' R' U' R2
F' R B U2 D' B2 U
D2 R B D2 R' U' R2
F' R B D F2 U' D
F' R B D F2 U' D'
F' R B D F2 U' D2
F' R B D F2 D U'
F' R B D F2 D' U'
F' R B D F2 D2 U'
F' R B D' U2 B2 U
D R B R2 F2 U' B
F' R B D2 U' R2 D
F' R B D2 U' R2 D'
F' R B D2 U' R2 D2
F' R B D2 F U' R2
F' R B D2 F' U' R2
F' R B D2 F2 U' R2
F' R B F U L2 U2
F' R B F U' D2 R2
F' R B F D F2 U'
F' R B F D2 U' R2
D R B U' D R2 B
F' R B F' U L2 U2
F' R B F' U' D2 R2
F' R B F' D F2 U'
F' R B F' D2 U' R2
F' R B F2 U L2 U2
F' R B F2 U' D2 R2
F' R B F2 D F2 U'
F' R B F2 D2 U' R2
D R B D U' R2 B
D R B F2 U F U2
F R B D F2 R U'
F' R B' D F2 U' L2
F' R B2 D F2 B' U'
F' R B2 D B' F2 U'
F' R B2 D2 B' U' R2
D R' F2 U2 F U B
R' U2 F L' F2 U R
D2 R2 B R' B U' R
R D R' F2 U' B L
F2 U L F L R U2
F2 U L F R L U2
F' U L2 U' R B U'
F2 U L2 U2 B L B'
F U L2 U L F U
U' D R D R2 B L
U' D R' D B L R2
U' D R' D B R2 L
R D F2 R' U' B L
U' D R' B L D R2
U' D R' B D L R2
U' D R' B D R2 L
R D F2 D B R' U'
R D F2 B R' U' B
R D B R' F2 U' B
R D B F2 R' U' B
F2 U F' L2 U2 L B'
U2 D' L F B2 U B
U2 D' L B2 F U B
D2 U' R' D' R' B L
D U' R D R2 B L
D2 U' R2 D B L B'
D U' R' D B L R2
D U' R' D B R2 L
D U' R' B L D R2
D U' R' B D L R2
D U' R' B D R2 L
F2 U' R D2 B L R2
F2 U' R D2 B R2 L
F2 U' R B D2 L R2
F2 U' R B D2 R2 L
F2 U' R' D2 R2 B L
D' U' B L B' D' R2
U' D' B L B' D' R2
F2 U' D2 R B L R
F2 U' D2 R B R L
U2 D' B2 L F U B'
U2 D' B2 U B L B'
D' U2 L F B2 U B
D' U2 L B2 F U B
R' D2 R2 B R' U' R
F U' B L D' B2 R'
U' D2 R' D' R' B L
U' D2 R2 D B L B'
R D2 F B R' U' R'
R D2 F' B R' U' R'
D2 U2 B' L F U R2
U2 D2 B' L F U R2
R D2 F2 B R' U' R'
D' U2 B2 L F U B'
R D2 B R' U' R' D
R D2 B R' U' R' D'
R D2 B R' U' R' D2
R D2 B R' U' D R'
R D2 B R' U' D' R'
R D2 B R' U' D2 R'
R D2 B R' D U' R'
R D2 B R' D' U' R'
R D2 B R' D2 U' R'
R D2 B R' F U' R'
R D2 B R' F' U' R'
R D2 B R' F2 U' R'
D' U2 B2 U B L B'
R D2 B D' R' F2 U'
R D2 B D' F2 R' U'
R D2 B F R' U' R'
R D2 B F' R' U' R'
R D2 B F2 R' U' R'
U F L2 R U L U
D2 F R B R' U' R2
U F R L2 U L U
R' F U2 L' F2 U R
F' D R D B U' R2
F' D R F2 D B U'
F' D R F2 D' B U'
F' D R F2 D2 B U'
F' D R F2 B U' D
F' D R F2 B U' D'
F' D R F2 B U' D2
F' D R F2 B D U'
F' D R F2 B D' U'
F' D R F2 B D2 U'
F' D R B U' D R2
F' D R B D U' R2
F' D R B F2 U' D
F' D R B F2 U' D'
F' D R B F2 U' D2
F' D R B F2 D U'
F' D R B F2 D' U'
F' D R B F2 D2 U'
R F D F2 B R U'
R F D B F2 R U'
F D R F2 B R U'
F D R B F2 R U'
F' D R2 F2 R' B U'
R F B D F2 R U'
F2 D F R F B U'
F2 D F R B F U'
R' F' R U L2 U2 L2
D2 F' R B R' U' R2
U F' L2 U' R U' L
F' D B R F2 B U'
F' D B R B F2 U'
F D F2 R D B U'
F D F2 R D' B U'
F D F2 R D2 B U'
F D F2 R B U' D
F D F2 R B U' D'
F D F2 R B U' D2
F D F2 R B D U'
F D F2 R B D' U'
F D F2 R B D2 U'
F D F2 D R B U'
F D F2 D' R B U'
F' D B' R F2 B U'
F' D B' R B F2 U'
F D F2 D2 R B U'
F D F2 B R B U'
F D F2 B' R B U'
F D F2 B2 R B U'
F' D B2 R F2 B U'
F' D B2 R B F2 U'
F D B F2 R B U'
F D B' F2 R B U'
F D B2 F2 R B U'
F' D' R D' B U' R2
F D' L' B2 R' F' U
F' D' R D2 F2 B U'
F' D' R D2 B F2 U'
F' D' R B U2 B U
D F' D' F' R B U'
R F' D B R F2 U'
R F' D2 B R U' R
R F' B R U L2 U2
R F' B R U' D2 R2
R F' B R D F2 U'
R F' B R D2 U' R2
L' F2 L U' R B L
R F' B D R F2 U'
R F' B D2 R U' R
D2 F2 R B R' U' R2
D F2 R B R2 U' B
D F2 R B U F' U2
D F2 R' U2 F' U B
D F2 U R F' U2 L'
D F2 U R' U2 B L
D F2 U F R F' U2
D F2 U' R' B L R
D F2 U' R' B R L
D F2 U' D2 B L B'
D F2 U' B D2 L B'
D F2 D R B R' U'
F' D2 R D B U' R
B' D2 R B R' U' R2
F' D2 R D' B U' R
F' D2 R D2 B U' R
F' D2 R B U' R D
F' D2 R B U' R D'
F' D2 R B U' R D2
F' D2 R B U' D R
F' D2 R B U' D' R
F' D2 R B U' D2 R
F' D2 R B D U' R
F' D2 R B D' U' R
F' D2 R B D2 U' R
B2 D2 R B R' U' R2
F2 D2 R B U' R B
B D2 R B R' U' R2
D F2 D2 U' B L B'
U' B L D B2 R' B
U' B L B2 D R' B
F2 D2 U' R B L R
F2 D2 U' R B R L
F2 D2 F R B U' R
D2 B R B R2 U' R'
D2 B R' U2 F' U R'
F' D2 B R B U' R
F D2 F2 R B U' R
F' D2 B' R B U' R
F' D2 B2 R B U' R
U' B D' L D' R2 B'
U' B D' L D' B' R2
U' B D2 R2 D L B'
F' B R D F2 B U'
F' B R D B F2 U'
F' B R D2 B U' R2
F' B R B U L2 U2
F' B R B U' D2 R2
F' B R B D F2 U'
F' B R B D2 U' R2
R B D R' F2 U' B
R B D F2 R' U' B
R B F D F2 R U'
R B F' R U L2 U2
R B F' R U' D2 R2
R B F' R D F2 U'
R B F' R D2 U' R2
R B F' D R F2 U'
R B F' D2 R U' R
F' B D R F2 B U'
F' B D R B F2 U'
B' F D F2 R B U'
B2 F D F2 R B U'
B F D F2 R B U'
F' B D2 R B U' R
F B D F2 R B U'
D2 B' U2 L F U R2
B' F' R D F2 B U'
B' F' R D B F2 U'
B' F' R D2 B U' R2
B' F' R B U L2 U2
B' F' R B U' D2 R2
B' F' R B D F2 U'
B' F' R B D2 U' R2
F' B' R D F2 B U'
F' B' R D B F2 U'
F' B' R D2 B U' R2
B2 F' R D F2 B U'
B2 F' R D B F2 U'
B2 F' R D2 B U' R2
F' B' R B U L2 U2
F' B' R B U' D2 R2
F' B' R B D F2 U'
F' B' R B D2 U' R2
B2 F' R B U L2 U2
B2 F' R B U' D2 R2
B2 F' R B D F2 U'
B2 F' R B D2 U' R2
B F' R D F2 B U'
B F' R D B F2 U'
B F' R D2 B U' R2
B F' R B U L2 U2
B F' R B U' D2 R2
B F' R B D F2 U'
B F' R B D2 U' R2
B' F' D R F2 B U'
B' F' D R B F2 U'
F' B' D R F2 B U'
F' B' D R B F2 U'
B2 F' D R F2 B U'
B2 F' D R B F2 U'
B F' D R F2 B U'
B F' D R B F2 U'
B' F' D2 R B U' R
F' B' D2 R B U' R
B2 F' D2 R B U' R
F B' D F2 R B U'
B F' D2 R B U' R
F' B2 R D F2 B U'
F' B2 R D B F2 U'
F' B2 R D2 B U' R2
F' B2 R B U L2 U2
F' B2 R B U' D2 R2
F' B2 R B D F2 U'
F' B2 R B D2 U' R2
F' B2 D R F2 B U'
F' B2 D R B F2 U'
F' B2 D2 R B U' R
F B2 D F2 R B U'
