B U2 L B R U'
B L B R U2 B' U
B L' U2 L2 B R U'
B L' U2 B L2 R U'
B L' U2 B R L2 U'
B L' B L2 R F U'
B L' B R L2 F U'
F2 L' B U2 L B U'
B2 L2 R D2 F L' U'
B L2 U2 L' B R U'
B L2 U2 B L' R U'
B L2 U2 B R L' U'
B2 L2 D' R F U' F2
B2 L2 D2 R F L' U'
B2 R L2 D2 F L' U'
R2 U F' R' B2 U' F'
B' R U2 B2 R2 F' U
B2 R U2 B R' B2 U
B2 R U2 B' U2 L U'
B' R D' B' U' R2 F2
B' R D' B' U' F2 R2
B2 R D2 L2 F L' U'
B' R D2 F2 B' L2 U'
B' R D2 B' L2 F2 U'
B' R D2 B' F2 L2 U'
B' R B' U2 R2 B' U
B' R B' U2 B' R2 U
B' R B' D2 L2 F U'
B' R' B2 U2 B R2 U'
R2 U2 F' L' R' B2 U'
R2 U2 F' R' L' B2 U'
R2 U2 F' R' B2 L' U'
U2 R2 F' L' R' B2 U'
U2 R2 F' R' L' B2 U'
U2 R2 F' R' B2 L' U'
B R2 F' U2 L R' U'
B R2 F' U2 R' L U'
B U L B R U' R'
R D B L U' L R'
R D B L U' R' L
B U2 L D B R U'
B U2 L D' B R U'
B U2 L D2 B R U'
B U2 L B R U' D
B U2 L B R U' D'
B U2 L B R U' D2
B U2 L B R D U'
B U2 L B R D' U'
B U2 L B R D2 U'
B U2 L B D R U'
B U2 L B D' R U'
B U2 L B D2 R U'
B U2 L B' R B2 U'
B U2 L B2 R B' U'
B U2 L' B L2 R U'
B U2 L' B R L2 U'
B U2 L2 B L' R U'
B U2 L2 B R L' U'
B U2 R D2 L B' U'
B U2 D L B R U'
B U2 D' L B R U'
B U2 D2 L B R U'
B2 U2 B' U2 L R U'
B2 U2 B' U2 R L U'
B U2 B D' R U' F'
B D U2 L B R U'
R2 F' R' B L B U'
B2 D' L2 R F U' F2
B2 D' R L2 F U' F2
B2 D' R U2 B' U F'
D2 F2 L' B U2 L U'
D2 F2 L' B' R' B2 U
B D' U2 L B R U'
B2 D2 L2 R F L' U'
B2 D2 R L2 F L' U'
D2 F2 B L' U D F2
D2 F2 B L' U2 L2 U'
D2 F2 B L' D U F2
D2 F2 B L' D2 R2 U
D2 F2 B' L' R' B2 U
D2 F2 B' R' L' B2 U
D2 F2 B' R' B2 L' U
B D2 U2 L B R U'
D2 B L2 F2 L' R U
D2 B L2 F2 R L' U
R B L D B U' R'
L' B U2 L B R U'
L2 B U2 L B R U'
F2 B L' U2 L2 B U'
F2 B L' U2 B L2 U'
D B U2 L R U' L
F2 B L' D2 R2 F' U
U2 B U2 B L R U'
U2 B U2 B R L U'
D B U2 R L U' L
L B U2 L B R U'
R B D L B U' R'
D2 B F2 L' U D F2
D2 B F2 L' U2 L2 U'
D2 B F2 L' D U F2
D2 B F2 L' D2 R2 U
D2 B' F2 L' R' B2 U
D2 B' F2 R' L' B2 U
D2 B' F2 R' B2 L' U
U' B2 L R U' F R
U' B2 R L U' F R
U2 B2 R U2 B' R' U
B F2 L' U2 L2 B U'
B F2 L' U2 B L2 U'
B F2 L' D2 R2 F' U
R B2 U' D' R F' R
R B2 U' D' F' R F'
R B2 U2 R' B R' U
R B2 U2 B R' B U
R B2 D' U' R F' R
R B2 D' U' F' R F'
R B2 D' F' U' R F'
R B2 D2 L' F L' U'
R B2 D2 F L' F U'
