R' U' F' L2 B' U
L2 R' D' F' B2 U F
L2 R' D' B2 F' U F
L2 R' D2 F' U R2 F
L2 R' D2 F' U F R2
L2 R' F' U D2 R2 F
L2 R' F' U D2 F R2
L2 R' F' U F D2 R2
L2 R' F' U' L2 B' U2
L2 R' F' D' B2 U F
L2 R' F' D2 U R2 F
L2 R' F' D2 U F R2
D' L' B2 R' U' F' U
R' L2 D' F' B2 U F
R' L2 D' B2 F' U F
R' L2 D2 F' U R2 F
R' L2 D2 F' U F R2
R' L2 F' U D2 R2 F
R' L2 F' U D2 F R2
R' L2 F' U F D2 R2
R' L2 F' U' L2 B' U2
R' L2 F' D' B2 U F
R' L2 F' D2 U R2 F
R' L2 F' D2 U F R2
F L2 U D2 F' L' R2
F L2 U D2 F' R2 L'
F L2 U F' D2 L' R2
F L2 U F' D2 R2 L'
F L2 U' L2 U2 F' L'
F' L2 U' B' L2 R' U2
F' L2 U' B' R' L2 U2
U L2 U2 L2 B U' L
U L2 U2 B L2 U' L'
U L2 D F' U L' F'
F L2 D' B2 U F' L'
F L2 D2 U F' L' R2
F L2 D2 U F' R2 L'
U L2 D2 R2 F' U L'
U L2 D2 F' R2 U L'
U' L2 F U2 F' U' L'
R' U L2 D F' U F'
R' U L2 D2 F' R2 U
R' U L2 F' U D F2
R' U L2 F' U2 L2 U'
R' U L2 F' D U F2
R' U L2 F' D2 R2 U
U L2 F U D F2 L'
U L2 F D U F2 L'
R U L2 U2 L2 B U'
R U L2 U2 B L2 U'
R U L2 D2 R2 F' U
U L2 F' U D L' F2
U L2 F' U2 L2 U' L
U L2 F' D U L' F2
U L2 F' D2 R2 U L'
U' L2 B' U' R' U2 R
R' U F' L2 U D F2
R' U F' L2 U2 L2 U'
R' U F' L2 D U F2
R' U F' L2 D2 R2 U
R U B U2 B' L2 U
R' U' L2 F' U2 F U'
D R F2 U' B U' F2
R' U' F' L2 D B' U
R' U' F' L2 D' B' U
R' U' F' L2 D2 B' U
R' U' F' L2 B' U D
R' U' F' L2 B' U D'
R' U' F' L2 B' U D2
R' U' F' L2 B' D U
R' U' F' L2 B' D' U
R' U' F' L2 B' D2 U
R' U' F' B L2 B' U
R' U' F' B' L2 B' U
R' U' F' B2 L2 B' U
F2 R' U L2 F' U F'
F' R' U F' L2 U F2
F2 R' U F' L2 U F'
B' R' U' F' L2 B' U
B2 R' U' F' L2 B' U
R' U' B F' L2 B' U
B R' U' F' L2 B' U
F' R' U2 F D' L2 B2
F' R' U2 F D' B2 L2
R' U' B' F' L2 B' U
R' U' B2 F' L2 B' U
L' U2 L U F L2 U
L U2 L' U L2 F U
D R' F2 U F U F
F' R2 U2 D' F L' B2
F' R2 U2 D' F B2 L'
F' R2 U2 D' B2 F L'
F' R2 D' U2 F L' B2
F' R2 D' U2 F B2 L'
F' R2 D' U2 B2 F L'
F' R2 D' F L' B2 R'
F R2 D F2 B R' U2
F R2 D B R' F2 U2
F R2 D B F2 R' U2
F2 U L2 F' U L' F'
R' D F2 U F U F
F U L2 F U F2 L'
F U L2 F2 U F L'
R2 D F2 B R' U2 F2
R2 D F2 B' U2 L F2
R2 D F2 B' U2 F2 L
R D F2 U' B U' F2
R2 D B R' F2 U2 F2
R2 D B F2 R' U2 F2
R2 D B' F2 U2 L F2
R2 D B' F2 U2 F2 L
D' U F' U' L' B2 R'
F' U F' L2 U L F2
F' U F' L2 U F2 L
F U F L2 U F2 L'
F2 U F' L2 U L F'
F2 U F' L2 U F' L
D2 U B' R2 F' U' L'
L2 D' R' F' B2 U F
L2 D' R' B2 F' U F
R2 D' F L' F' B2 R'
R2 D' F L' B2 F' R'
R2 D' F U2 L' F' B2
R2 D' F U2 L' B2 F'
R2 D' F U2 B2 L' F'
L2 D' F B2 U F' L'
R2 D' F' R U2 F B2
R2 D' F' R U2 B2 F
U D' F' U' L' B2 R'
L2 D' B2 R' F' U F
L2 D' B2 F U F' L'
L2 D2 R' F' U R' F
L2 D2 R' F' U F R'
L2 D2 F U F' L' R2
L2 D2 F U F' R2 L'
U D2 B' R2 F' U' L'
U' F L2 U2 F' U' L'
U F L2 U D F2 L'
U F L2 D U F2 L'
R' F U L2 F2 U F
L2 F U D2 F' L' R2
L2 F U D2 F' R2 L'
L2 F U F' D2 L' R2
L2 F U F' D2 R2 L'
L2 F U' L2 U2 F' L'
