F L R F2 U B'
F' L U D F2 B'
F' L U D B' F2
F' L U B' D F2
F' L D U F2 B'
F' L D U B' F2
F' L D2 R2 U B'
U L F D' B' L2
U L F B' D' L2
U L B' F D' L2
F' L' U' F U2 F'
F R L F2 U B'
F R F2 L U B'
R2 U2 B L U' B'
U2 R2 B L U' B'
F' U2 L' U F U2
D F L' R F2 U
D F R L' F2 U
L F R F2 U B'
D F' U2 L' R U'
D F' U2 R L' U'
F' L R U D F2 B'
F' L R U D B' F2
F' L R U B' D F2
F L R U D' B' L2
F' L R D U F2 B'
F' L R D U B' F2
F L R U B' D' L2
F' L R D2 R2 U B'
R' L U D B' L F
F L R D' U B' L2
F L R F2 U D B'
F L R F2 U D' B'
F L R F2 U D2 B'
F L R F2 U B' D
F L R F2 U B' D'
F L R F2 U B' D2
F L R F2 D U B'
F L R F2 D' U B'
F L R F2 D2 U B'
F' L R' U D F2 B'
F' L R' U D B' F2
F' L R' U B' D F2
F' L R' D U F2 B'
F' L R' D U B' F2
F' L R' D2 R2 U B'
F L R' F2 R2 U B'
F' L R2 U D F2 B'
F' L R2 U D B' F2
F' L R2 U B' D F2
F' L R2 D U F2 B'
F' L R2 D U B' F2
F' L R2 D2 R2 U B'
U2 L R2 B L U' B2
F L R2 F2 R' U B'
R2 L U2 B L U' B2
F' L U D F2 D B'
F' L U D F2 D' B'
F' L U D F2 D2 B'
F' L U D F2 B' D
F' L U D F2 B' D'
F' L U D F2 B' D2
F' L U D B' F2 D
F' L U D B' F2 D'
F' L U D B' F2 D2
F' L U D2 B' D' F2
F' L U F D F2 B'
F' L U F D B' F2
F' L U F B' D F2
F' L U F' D F2 B'
F' L U F' D B' F2
F' L U F' B' D F2
F' L U F2 D F2 B'
F' L U F2 D B' F2
F' L U F2 B' D F2
F' L U B' U L2 U'
F' L U B' D F2 D
F' L U B' D F2 D'
F' L U B' D F2 D2
F' L U B' F D F2
F' L U B' F' D F2
F' L U B' F2 D F2
R' L D U B' L F
F' L U B2 D F2 B
F' L U B2 D B F2
F' L U' D' B2 U2 B
U L U' F' U F2 B'
U L U' F' U B' F2
F' L U2 L2 U F U2
F' L D R U F2 B'
F' L D R U B' F2
F' L D R' U F2 B'
F' L D R' U B' F2
F' L D R2 U F2 B'
F' L D R2 U B' F2
F' L D U F2 D B'
F' L D U F2 D' B'
F' L D U F2 D2 B'
F' L D U F2 B' D
F' L D U F2 B' D'
F' L D U F2 B' D2
F' L D U B' F2 D
F' L D U B' F2 D'
F' L D U B' F2 D2
R' L F R F' U B'
U L D F D' B' L2
U L D F B' D' L2
U L D B' F D' L2
F L D' R U B' L2
F' L D' U' B2 U2 B
U L D' F D' B' L2
U L D' F B' D' L2
U L D' B' F D' L2
F' L D2 R2 U D B'
F' L D2 R2 U D' B'
F' L D2 R2 U D2 B'
F' L D2 R2 U B' D
F' L D2 R2 U B' D'
F' L D2 R2 U B' D2
F' L D2 R2 D U B'
F' L D2 R2 D' U B'
F' L D2 R2 D2 U B'
F' L D2 U B' D' F2
U L D2 F D' B' L2
U L D2 F B' D' L2
D L F L' R F2 U
U L D2 B' F D' L2
D L F R L' F2 U
U L F L2 D' L2 B'
U L F U' F2 U B'
U L F D B' D2 L2
U L F D' B L2 B2
U L F D' B' L2 D
U L F D' B' L2 D'
U L F D' B' L2 D2
U L F D' B2 L2 B
U L F B' L D' L2
U L F B' L' D' L2
U L F B' L2 D' L2
U L F B' U' F2 U
U L F B' D' L2 D
U L F B' D' L2 D'
U L F B' D' L2 D2
U L F B2 D' L2 B
U L F B2 D' B L2
D L F' U2 L' R U'
D L F' U2 R L' U'
L R' U D B' L F
U L B' U' F' U F2
U L B' D F D' L2
U L B' D' F D' L2
U L B' D2 F D' L2
U L B' F L D' L2
U L B' F L' D' L2
U L B' F L2 D' L2
U L B' F U' F2 U
U L B' F D' L2 D
U L B' F D' L2 D'
U L B' F D' L2 D2
F' L' R U' F U2 F'
U L B2 F D' L2 B
U L B2 F D' B L2
F L' R U D' L2 B'
F L' R D' U L2 B'
F L' R F2 U' F' U2
F' L' R' U' F U2 F'
L R' D U B' L F
F L' R' F2 R2 U B
F' L' R2 U' F U2 F'
L R' F R F' U B'
F' L' U' D F U2 F'
F' L' U' D' F U2 F'
F' L' U' D2 F U2 F'
F' L' U' F U2 D F'
F' L' U' F U2 D' F'
F' L' U' F U2 D2 F'
F' L' U' F U2 F' D
F' L' U' F U2 F' D'
F' L' U' F U2 F' D2
F' L' U' F D U2 F'
F' L' U' F D' U2 F'
F' L' U' F D2 U2 F'
F' L' U' F B U2 F'
F' L' U' F B' U2 F'
F' L' U' F B2 U2 F'
F' L' U' B F U2 F'
F' L' U' B' F U2 F'
F' L' U' B2 F U2 F'
F' L' D U' F U2 F'
F' L' D' U' F U2 F'
F L' D' R U L2 B'
F' L' D2 U' F U2 F'
D L' F L' R F2 U
D L' F R L' F2 U
D L' F' U2 L' R U'
D L' F' U2 R L' U'
L R2 U2 B L U' B2
F L2 R F2 L' U B'
F' L2 U2 L R U' B
F' L2 U2 R L U' B
U L2 U' F' L' U F
R' U L D F B' L
R' U L D B' F L
R' U L D' F B' L'
R' U L D' B' F L'
R' U L F D B' L
R' U L B' D' F L'
R2 U L F B' D L2
R2 U L B' D F L2
R2 U L B' F D L2
R U L F' B' L' F2
R U L B' F' L' F2
D L2 F L' R F2 U
D L2 F R L' F2 U
R U L2 F' L' F B'
R U L2 F' L' B' F
D L2 F' U2 L' R U'
D L2 F' U2 R L' U'
F' R L U D F2 B'
F' R L U D B' F2
F' R L U B' D F2
F' R L D U F2 B'
F' R L D U B' F2
F' R L D2 R2 U B'
F R L U D' B' L2
F R L U B' D' L2
F R L D' U B' L2
F' R L' U' F U2 F'
F R L F2 U D B'
F R L F2 U D' B'
F R L F2 U D2 B'
F R L F2 U B' D
F R L F2 U B' D'
F R L F2 U B' D2
F R L F2 D U B'
F R L F2 D' U B'
F R L F2 D2 U B'
F R L' U D' L2 B'
F R L' D' U L2 B'
F R L' F2 U' F' U2
R U F' L F B' L2
F R L2 F2 L' U B'
R U F' L B' F L2
F R U L D' B' L2
F R U L B' D' L2
F R U L' D' L2 B'
R U F2 L F B' L'
R U F2 L B' F L'
U2 R U' B L F B'
U2 R U' B L B' F
F' R U2 L' U F U2
L U B' L F D' L2
F R F D F L' U
F R F' L F' U B'
F R F2 L U D B'
F R F2 L U D' B'
F R F2 L U D2 B'
F R F2 L U B' D
F R F2 L U B' D'
F R F2 L U B' D2
F R F2 L D U B'
F R F2 L D' U B'
F R F2 L D2 U B'
F R F2 L' U' F U2
F R F2 U L B' L'
R U' R B U2 L B'
F' R' L U D F2 B'
F' R' L U D B' F2
F' R' L U B' D F2
F' R' L D U F2 B'
F' R' L D U B' F2
F' R' L D2 R2 U B'
F' R' L' U' F U2 F'
F R' L F2 R2 U B'
F R' L' F2 R2 U B
F' R' U2 L' U F U2
R U' B U2 L F B'
R U' B U2 L B' F
R2 U2 L B L U' B2
D R' F L' R F' U
D R' F R L' F' U
L2 U2 R U' B L F
F R' F2 L R2 U B'
R' U2 R' B L U' B'
F R' F2 R2 L U B'
L U2 R2 B L U' B2
F' R2 L U D F2 B'
F' R2 L U D B' F2
F' R2 L U B' D F2
F' R2 L D U F2 B'
F' R2 L D U B' F2
F' R2 L D2 R2 U B'
R2 U2 D' B L R' U'
R2 U2 D' B R' L U'
F' R2 L' U' F U2 F'
U2 R2 L B L U' B2
F R2 L F2 R' U B'
F' R2 U2 L' U F U2
R2 U2 B L R U' B'
R2 U2 B L R' U' B'
R2 U2 B L R2 U' B'
R2 U2 B L U' D B'
R2 U2 B L U' D' B'
R2 U2 B L U' D2 B'
R2 U2 B L U' B' D
R2 U2 B L U' B' D'
R2 U2 B L U' B' D2
R2 U2 B L D U' B'
R2 U2 B L D' U' B'
R2 U2 B L D2 U' B'
R2 U2 B R L U' B'
R2 U2 B R' L U' B'
R2 U2 B R2 L U' B'
D' R2 U2 B L R' U'
D' R2 U2 B R' L U'
U2 R2 D' B L R' U'
U2 R2 D' B R' L U'
F R2 F2 L R' U B'
F R2 F2 R' L U B'
U2 R2 B L R U' B'
U2 R2 B L R' U' B'
U2 R2 B L R2 U' B'
U2 R2 B L U' D B'
U2 R2 B L U' D' B'
U2 R2 B L U' D2 B'
U2 R2 B L U' B' D
U2 R2 B L U' B' D'
U2 R2 B L U' B' D2
U2 R2 B L D U' B'
U2 R2 B L D' U' B'
U2 R2 B L D2 U' B'
U2 R2 B R L U' B'
U2 R2 B R' L U' B'
U2 R2 B R2 L U' B'
F R2 F2 D2 R' U B
F' U L D B' L' F2
F' U L B' D L' F2
L D F R F2 U B'
R2 D' U2 B L R' U'
R2 D' U2 B R' L U'
L D' F R F2 U B'
U2 D' R2 B L R' U'
U2 D' R2 B R' L U'
F' U2 L U' D F2 B'
F' U2 L U' D B' F2
F' U2 L U' B' D F2
D' U2 R2 B L R' U'
F' U2 L D U' F2 B'
F' U2 L D U' B' F2
D' U2 R2 B R' L U'
F' U2 L' R U F U2
F' U2 L' R' U F U2
F' U2 L' R2 U F U2
F' U2 L' U D F U2
F' U2 L' U D' F U2
F' U2 L' U D2 F U2
F' U2 L' U F U2 D
F' U2 L' U F U2 D'
F' U2 L' U F U2 D2
F' U2 L' U F D U2
F' U2 L' U F D' U2
F' U2 L' U F D2 U2
F' U2 L' U' L2 B' L2
F' U2 L' U2 L2 U B'
F' U2 L' D U F U2
F' U2 L' D' U F U2
F' U2 L' D2 U F U2
L D2 F R F2 U B'
F' U2 R L' U F U2
F' U2 R' L' U F U2
F' U2 R2 L' U F U2
R' F L R F' U B'
F' U2 D2 L' R' U' B
F' U2 D2 R' L' U' B
D F L R F2 L2 U
L2 F L' R F2 U B'
U F L D' F B' L2
U F L D' B' F L2
D F L' R U D' L2
D F L' R D' U L2
D F L' R F2 U D
D F L' R F2 U D'
D F L' R F2 U D2
D F L' R F2 D U
D F L' R F2 D' U
D F L' R F2 D2 U
D F L' R' F2 R2 U
D F L' R2 F2 R' U
U F L B' D' F L2
D F L' D' R U L2
R' F R L F' U B'
D F L' F2 U2 L' U'
U F L' D' L2 F B'
U F L' D' L2 B' F
D F L2 R F2 L U
R' F R F' L U B'
D2 F R F2 L2 U B'
D2 F R F2 U' F U2
L2 F R L' F2 U B'
L' F R F2 U D2 B2
L' F R F2 U' F2 U2
L' F R F2 D' L2 U
L' F R F2 D2 U B2
D F R L F2 L2 U
D F R L' U D' L2
D F R L' D' U L2
D F R L' F2 U D
D F R L' F2 U D'
D F R L' F2 U D2
D F R L' F2 D U
D F R L' F2 D' U
D F R L' F2 D2 U
D F R L2 F2 L U
L2 F R F2 L' U B'
D F R D' L' U L'
L F R U D' B' L2
L F R U B' D' L2
D F R F2 U2 R U'
L F R D' U B' L2
D F R' L' F2 R2 U
L F R F2 U D B'
L F R F2 U D' B'
L F R F2 U D2 B'
L F R F2 U B' D
L F R F2 U B' D'
L F R F2 U B' D2
L F R F2 D U B'
L F R F2 D' U B'
L F R F2 D2 U B'
D F R2 L' F2 R' U
L' F U R F2 U R'
L F R' F2 R2 U B'
L F R2 F2 R' U B'
D F D' L' R U L'
D F D' R L' U L'
F2 D R F L' U F2
L F D' R U B' L2
F D R F2 U L' B'
L' F' L D2 R2 U B2
L2 F' L U2 L2 U' B'
L' F' L' U' F2 U2 F2
D F' L U2 L2 R U'
D F' L U2 R L2 U'
F2 D F L' R U F'
F2 D F R L' U F'
F2 D F D2 L' U F
L2 F' L2 U2 L U' B'
