D' R' B L D F2
D' L R' D F2 B L
D' L R' D B L F2
D' L R' D B F2 L
D' L R' B D L F2
D' L R' B D F2 L
B L U L2 R' F' U'
B L U R' L2 F' U'
B L U R' F' L2 U'
R' L D F2 B L B'
R' L D B L F2 B'
R' L D B L B' F2
R' L D B F2 L B'
D2 L D R' F2 B L
D2 L D R' B L F2
D2 L D R' B F2 L
D2 L D F2 R' B L
L' R B R' U' L R'
L' R B R' U' R' L
U L' R B R' U' R'
L R' D F2 B L B'
L R' D B L F2 B'
L R' D B L B' F2
L R' D B F2 L B'
B L' R' B' U' L2 R'
B L' R' B' U' R' L2
U L' U' D' R' B L
R' L' B R' U' L R
R' L' B R' U' R L
L' R' B R' U' L R
L' R' B R' U' R L
R2 L' B R' U' L R2
R2 L' B R' U' R2 L
R L' B R' U' L R'
R L' B R' U' R' L
U L' D' U' R' B L
L' R2 B R' U' L R2
L' R2 B R' U' R2 L
R' U L' R B R' U'
R' U R L' B R' U'
R' U R B L' R' U'
R' U R B R' L' U'
U R L' B R' U' R'
U R B L' R' U' R'
U R B R' L' U' R'
D' R' L D F2 B L
D' R' L D B L F2
D' R' L D B F2 L
D' R' L B D L F2
D' R' L B D F2 L
B R' L' B' U' L2 R'
B R' L' B' U' R' L2
D' R' U L' U' B L
D' R' D B L D F2
D' R' D' B L D F2
D' R' D2 B L D F2
D' R' B L U L2 U'
D' R' B L D F2 D
D' R' B L D F2 D'
D' R' B L D F2 D2
D' R' B L F D F2
D' R' B L F' D F2
D' R' B L F2 D F2
D' R' B U L' U' L2
D' R' B D L D F2
D' R' B D' L D F2
D R' B L D F2 B'
D R' B L D B' F2
D R' B L B' D F2
D' R' B D2 L D F2
L D R' F2 B L B'
L D R' B L F2 B'
L D R' B L B' F2
L D R' B F2 L B'
D' U L' U' R' B L
B U L' R' F' U' L2
R' D B L D F2 B'
R' D B L D B' F2
R' D B L B' D F2
L D F2 R' B L B'
B U R' L' F' U' L2
L D F2 D2 R' B L
L D F2 B L B' R'
L D B L F2 B' R'
L D B L B' R' F2
L D B L B' F2 R'
L D B F2 L B' R'
L D' R' D2 F2 B L
L D' R' D2 B L F2
L D' R' D2 B F2 L
U D' L' U' R' B L
F' D' L' R' F B L
F' D' L' R' B F L
F' D' L' F R' B L
F' D' L2 R' B L F
U2 F' D' L' R' F B
U2 F' D' L' R' B F
U2 F' D' L' F R' B
U2 F' D' R' L' F B
U2 F' D' R' L' B F
U2 F' D' R' B L' F
F' D' R' L' F B L
F' D' R' L' B F L
F' D' R' L2 B L F
F' D' R' B L' F L2
F2 D' R' D' F2 B L
F2 D' R' D' B L F2
F2 D' R' D' B F2 L
F2 D' R' B L D' F2
F2 D' R' B D' L F2
F2 D' R' B D' F2 L
D' F2 R' D' F2 B L
D' F2 R' D' B L F2
D' F2 R' D' B F2 L
D' F2 R' B L D' F2
D' F2 R' B D' L F2
D' F2 R' B D' F2 L
R' B L U L2 R' U'
R' B L U R' L2 U'
U' B L' R' B' U' R'
R' B L' R' U' L2 R
R' B L' R' U' R L2
R2 B L R D F2 B2
R2 B L R D B2 F2
D B L D F2 B' R'
D B L D B' R' F2
D B L D B' F2 R'
R2 B L' R' U' L2 R2
R2 B L' R' U' R2 L2
D B L B' R' D F2
D B L B' D R' F2
D B L B' D F2 R'
R B L' R' U' L2 R'
R B L' R' U' R' L2
U' B R' L' B' U' R'
R' B R' L' U' L2 R
R' B R' L' U' R L2
R2 B R L D F2 B2
R2 B R L D B2 F2
R2 B R' L' U' L2 R2
R2 B R' L' U' R2 L2
R' B U L' R' U' L2
R' B U R' L' U' L2
R B R' L' U' L2 R'
R B R' L' U' R' L2
