U R F D L' F U2
B R' D2 B U' L2 R'
B R' D2 B U' R' L2
B R' F U L' R2 U2
B R' F U R2 L' U2
B R' F' U R2 U2 R'
B R' F' U' D2 L2 R
B R' F' U' D2 R L2
B R' F' D B2 U' R
B R' F' D2 U' L2 R
B R' F' D2 U' R L2
B2 R2 U R' F' U2 R
D R2 B2 U' L B' R'
D' U R D F' U2 R
B2 U R U2 D2 B R'
B2 U R D2 U2 B R'
B2 U R F L' U2 B
B2 U R F' U2 B R
B2 U R' F' R2 U2 R'
B2 U D2 R U2 B R'
B2 U F2 U2 L' B' R'
U D' R D F' U2 R
F' U' R U B R' U'
F2 U2 B' L U L2 R'
F2 U2 B' L U R' L2
D2 F' D' R F' U' L'
D2 F2 U' L' R B R'
D2 F2 U' R L' B R'
D2 F2 U' R B L' R'
D2 F2 U' R B R' L'
B2 D2 U R U2 B R'
F' B R' F' U' L' R2
F' B R' F' U' R2 L'
B F' R' F' U' L' R2
B F' R' F' U' R2 L'
