R' U' R' U' F' R
R' L U' R' U' F' R
F' L D B2 L R F2
F' L D B2 R L F2
F' L D B2 R F2 L
R' L' U' R' U' F' R
L' R' U' R' U' F' R
L R' U' R' U' F' R
L2 R' U' R' U' F' R
F' L' R2 U R U2 R2
F' L' R2 U' R' D2 L2
F' L' R2 F2 U' L' R'
F' L' R2 F2 U' R' L'
F' L' U' D B2 L R
F' L' U' D B2 R L
F' L' D U' B2 L R
F' L' D U' B2 R L
R' L2 U' R' U' F' R
F' L' B2 R2 U' L R'
F' L' B2 R2 U' R' L
R2 U R U2 R' F' R
R' U' L R' U' F' R
F R D' F2 L' U R
R' U' L' R' U' F' R
R' U' L2 R' U' F' R
R' U' R' L U' F' R
R' U' R' L' U' F' R
R' U' R' L2 U' F' R
R' U' R' U' F' R D
R' U' R' U' F' R D'
R' U' R' U' F' R D2
R' U' R' U' F' D R
R' U' R' U' F' D' R
R' U' R' U' F' D2 R
R' U' R' F U' F2 R
R2 U' R' F' D2 L2 R
R2 U' R' F' D2 R L2
R' U' F' R' U' F' R2
R2 U' F' R' F' L' R2
R2 U' F' R' F' R2 L'
F' R' U' L' R' U' R'
F' R' U' R' L' U' R'
U' R' U2 F' R D B2
U' R' F' R D B2 L
F' R2 L' U R U2 R2
F' R2 L' U' R' D2 L2
F' R2 L' F2 U' L' R'
F' R2 L' F2 U' R' L'
U' R2 U R U2 F' R
B2 R2 U' L R' F' R
B2 R2 U' R' L F' R
B2 R2 U' R' F' L R
B2 R2 U' R' F' R L
U' R2 U' F' R F' L'
B2 R2 F' L' U' L2 R
B2 R2 F' L' U' R L2
R D R F' L' B2 U'
R D R F' B2 L' U'
R D R B2 F' L' U'
R D B2 R F' L' U'
F' D L' U' B2 L R
F' D L' U' B2 R L
F2 D F B2 L R F'
F2 D F B2 R L F'
F2 D F B2 R F' L
F' D B2 L R D F2
F' D B2 L D R F2
F' D B2 R L D F2
R' F' U' L' R' U' R2
F2 D B2 L F R F'
R' F' U' R' L' U' R2
F2 D B2 F L R F'
F2 D B2 F R L F'
F2 D B2 F R F' L
U F' D B2 L R F
U F' D B2 R L F
U F2 D B2 L F R
B2 F' L D R F2 B2
B2 F' L D R B2 F2
B2 F' L D B2 R F2
B2 F' L' R2 U' L2 R'
B2 F' L' R2 U' R' L2
B2 F' R2 L' U' L2 R'
B2 F' R2 L' U' R' L2
F' B2 L D R F2 B2
F' B2 L D R B2 F2
F' B2 L D B2 R F2
F' B2 L' R2 U' L2 R'
F' B2 L' R2 U' R' L2
F' B2 R2 L' U' L2 R'
F' B2 R2 L' U' R' L2
