L U R U B L
D' L U R U B L
D2 L U R U B L
D L U R U B L
L U L R F U B
L U R L F U B
L U R U L B L
L U R U L' B L
L U R U L2 B L
L U R U D B L
L U R U D' B L
L U R U D2 B L
L U R U B L D
L U R U B L D'
L U R U B L D2
L U R U B D L
L U R U B D' L
L U R U B D2 L
L U R D U B L
L U R D' U B L
L U R D2 U B L
L U R F U B L
L U R F' U B L
L U R F2 U B L
L U D R U B L
L U D' R U B L
L U D2 R U B L
U R U B2 R' B' L
U R U' L U2 B L
L D U R U B L
L D' U R U B L
F' U' B' L' B' R' F'
F' U' B2 L' R' F' B'
F' U' B2 L' R' B' F'
F' U' B2 R' L' F' B'
F' U' B2 R' L' B' F'
L D2 U R U B L
R F U' L R F U2
R F U' R L F U2
R F' U' L U2 L2 B'
R F' U' L F U2 L2
R F2 U' L F U2 L'
U B R U B L R'
U B R U B R' L
L B U L R F U
L B U R L F U
U B2 R U B L R2
U B2 R U B R2 L
