B2 L B' U F L' U2
F' L' R' F U R2 B'
F' L' R' F U B' R2
F2 L' R' F U R B'
F2 L' R' F U B' R
F L' U R' F U B'
F L' U F R' U B'
F2 L' F R' U R2 B'
F2 L' F R' U B' R2
F' R D' L' F2 B' L
F' R D' L' B' L F2
F' R D' L' B' F2 L
F' R D' F2 L' B' L
F' R' L' F U R2 B'
F' R' L' F U B' R2
F2 R' L' F U R B'
F2 R' L' F U B' R
L' D R' F B U B2
L' D R' B F U B2
L' D F R' B U B2
L2 D2 R' U B L R'
L2 D2 R' U B R' L
U' F' L' R' F U R2
L' F' R D' F2 B' L2
L' F' R D' B' L2 F2
L' F' R D' B' F2 L2
U' F' R' L' F U R2
L' F' R B' D' L2 F2
L' F' R B' D' F2 L2
L' F' R' F2 U R2 B'
L' F' R' F2 U B' R2
L' F' B' D' L2 R F'
L' F' B' D' R L2 F'
L' F' B' D' R F' L2
R' F2 L' F U R B'
R' F2 L' F U B' R
L' B' F' D' L2 R F'
L' B' F' D' R L2 F'
L' B' F' D' R F' L2
