U2 F U R F' U'
B2 L2 D B' L U2 B'
D L2 B' L U' R' U'
R2 U D2 F L2 R B
R2 U D2 F R L2 B
R2 U D2 F R B L2
R2 U F D2 L2 R B
R2 U F D2 R L2 B
R2 U F D2 R B L2
U R U F D B R2
U R U F B D R2
U R U B F D R2
U R U2 F' U' F2 B
U R U2 F' U' B F2
U2 R F R' D R2 B2
U2 R F R' D B2 R2
B' R F D B2 L R2
B' R F D B2 R2 L
U2 R F U R F2 U'
U' R F' L' U' F2 B'
U' R F' L' U' B' F2
B' R F' R2 U' F2 L'
L' U' R F' L' U' B'
R2 U' R2 U2 F R B
F' R' B L U F2 L'
U R' B R2 U F B
U R' B R2 U B F
U R' B U F D2 B2
U R' B U' F' U2 F2
U R2 U R' F B R
U R2 U R' B F R
U R2 U R2 F R B
U R2 U F R' B R2
D U R U F B R'
D U R U B R' F
D U R U B F R'
U D R U F B R'
U D R U B R' F
U D R U B F R'
L2 D B' L U' R' U'
U2 D F B R' D B2
U2 D B F R' D B2
B' U' R F' R2 U' F2
B' U' R' U2 B U F
R2 D2 U F L2 R B
R2 D2 U F R L2 B
R2 D2 U F R B L2
D U2 F B R' D B2
B' U2 R F D R2 B2
B' U2 R F D B2 R2
D U2 B F R' D B2
F' U2 F2 D R' B R'
F' U2 F2 D B R' B
U2 F R' U R2 F' U'
U2 F U R D F' U'
U2 F U R D' F' U'
U2 F U R D2 F' U'
U2 F U R F' U' D
U2 F U R F' U' D'
U2 F U R F' U' D2
U2 F U R F' D U'
U2 F U R F' D' U'
U2 F U R F' D2 U'
U2 F D B R' D B2
B2 D L2 B' L F U2
U2 F B U R F' U'
U2 F B' U R F' U'
U2 F B2 U R F' U'
R F B2 D L R2 B'
R F B2 D L B' R2
R F B2 D R2 L B'
R F' R2 U' F2 L' B'
R F' U R' F' U2 F'
U2 F2 D F' R' B R'
U2 F2 D F' B R' B
U2 F2 D B F' R' B
R' F2 B L U L2 F'
R' F2 B L U F' L2
U F2 D' L2 F' R B
U F2 D' F' L2 R B
U F2 D' F' R L2 B
U F2 D' F' R B L2
R' B L U F2 L' F
R' B L F2 U L' F
U2 B F U R F' U'
R' B F2 L U L2 F'
R' B F2 L U F' L2
L2 B' U' R F' R2 U'
L2 B' U' R' U2 B U
U2 B' F U R F' U'
U2 B2 F U R F' U'
R B2 F D L R2 B'
R B2 F D L B' R2
R B2 F D R2 L B'
