F' R U B R' U B
F R B R' U L' B
F R B R' U B L'
F U D L' F B R
F U D L' B F R
F U D B L' F R
B2 U' L F L' B' R'
B2 U' D2 B' L R' F
B2 U' D2 B' L F R'
B2 U' D2 B' R' L F
B2 U' B' L R' F L'
B2 U' B' L F L' R'
B2 U' B' L F R' L'
B2 U' B' R' L F L'
B' U2 L F U' L' B2
B' U2 L F U' B2 L'
U F L' D' B R F'
U F L' B R D' F2
U F D L' B R F
U F D B L' R F
U F D B R L' F
U F D' L' B R F'
U F D' B L' R F'
U F D' B R L' F'
U F B L' R D' F2
U F B R L' D' F2
U F B R D' L' F2
R F B R' U L' B
R F B R' U B L'
F D U L' F B R
F D U L' B F R
F D U B L' F R
R2 F' D' R U2 F' R
B2 D2 U' B' L R' F
B2 D2 U' B' L F R'
B2 D2 U' B' R' L F
R B R' F U L' B
R B R' F U B L'
U B F L' R D' F2
U B F R L' D' F2
U B F R D' L' F2
R B F R' U L' B
R B F R' U B L'
U2 B' L F U' L' B2
U2 B' L F U' B2 L'
