B' R U' F U'
R B' U' F U'
L2 R U B' U F
R L2 U B' U F
B' L2 R U B' U
B' R L2 U B' U
B' R U' D F U'
B' R U' D' F U'
B' R U' D2 F U'
B' R U' F U' D
B' R U' F U' D'
B' R U' F U' D2
B' R U' F D U'
B' R U' F D' U'
B' R U' F D2 U'
B' R D U' F U'
B' R D' U' F U'
B' R D2 U' F U'
D' R B' U' F U'
D2 R B' U' F U'
D R B' U' F U'
B R B2 U' F U'
R U' F L2 U' F
R U' F U B' U2
R D B' U' F U'
F U F' R B' U2
F U F' B' R U2
F U B' F' R U2
R D' B' U' F U'
R D2 B' U' F U'
U' F L2 U' F L'
U' F U' L2 F L'
B' D R U' F U'
B' D' R U' F U'
B' D2 R U' F U'
D2 B' R U' F U'
D' B' R U' F U'
R' B' R2 U' F U'
D B' R U' F U'
R B' L2 U B' U
R B' U' D F U'
R B' U' D' F U'
R B' U' D2 F U'
R B' U' F U' D
R B' U' F U' D'
R B' U' F U' D2
R B' U' F D U'
R B' U' F D' U'
R B' U' F D2 U'
R B' D U' F U'
R B' D' U' F U'
R B' D2 U' F U'
L2 R U R B' U F
L2 R U R' B' U F
L2 R U R2 B' U F
L2 R U D B' U F
L2 R U D' B' U F
L2 R U D2 B' U F
L2 R U B' R U F
L2 R U B' R' U F
L2 R U B' R2 U F
L2 R U B' U D F
L2 R U B' U D' F
L2 R U B' U D2 F
L2 R U B' U F D
L2 R U B' U F D'
L2 R U B' U F D2
L2 R U B' D U F
L2 R U B' D' U F
L2 R U B' D2 U F
L R U' F' L' F U'
R L U' F' L' F U'
L R U2 R' D F' R
L R U2 D R' F' R
R L U2 R' D F' R
L2 R U2 F U' B' U
R L U2 D R' F' R
L2 R D U B' U F
L R D U2 R' F' R
R L D U2 R' F' R
L R D' L' B' L U2
R L D' L' B' L U2
L2 R D' U B' U F
L R D' B U2 R' F'
L R D' B' L U2 F
R L D' B U2 R' F'
R L D' B' L U2 F
L2 R D2 U B' U F
B2 L D' B R U2 R2
B' L D2 R U' F' U'
L2 R B U B2 U F
L2 R B U2 D' R2 F
L2 R B U2 D' F R2
L2 R B U2 F D' R2
L2 R B D L2 B' U2
L2 R B D' U2 R2 F
L2 R B D' U2 F R2
L2 R B2 U B U F
B' L' R U B' U R'
B' L' R U' F U' R
R L2 U R B' U F
R L2 U R' B' U F
R L2 U R2 B' U F
R L2 U D B' U F
R L2 U D' B' U F
R L2 U D2 B' U F
R L2 U B' R U F
R L2 U B' R' U F
R L2 U B' R2 U F
R L2 U B' U D F
R L2 U B' U D' F
R L2 U B' U D2 F
R L2 U B' U F D
R L2 U B' U F D'
R L2 U B' U F D2
R L2 U B' D U F
R L2 U B' D' U F
R L2 U B' D2 U F
U' L' F2 U' L' F R
R L2 U2 F U' B' U
R L2 D U B' U F
R L2 D' U B' U F
D2 L2 R U B' U F
D' L2 R U B' U F
B' L2 R U D B' U
B' L2 R U D' B' U
B' L2 R U D2 B' U
B' L2 R U B' U D
B' L2 R U B' U D'
B' L2 R U B' U D2
B' L2 R U B' D U
B' L2 R U B' D' U
B' L2 R U B' D2 U
B' L2 R D U B' U
B' L2 R D' U B' U
B' L2 R D2 U B' U
D L2 R U B' U F
R L2 D2 U B' U F
B L2 R B2 U B U
F L2 R2 U' F L' B
F L2 R2 U' F B L'
F L2 R2 U' B F L'
B' L2 U F2 B' U L'
B' L2 U B' U' R U2
B' L2 U B' F2 U L'
F L2 U F' R U2 F2
F L2 U F' U2 F2 L'
F L2 U' F L' D2 B2
F L2 U' F D2 L' B2
F L2 U' F D2 B2 L'
R L2 B U B2 U F
R L2 B U2 D' R2 F
R L2 B U2 D' F R2
R L2 B U2 F D' R2
R L2 B D L2 B' U2
R L2 B D' U2 R2 F
R L2 B D' U2 F R2
B' L2 D R U B' U
B' L2 D' R U B' U
R L2 B2 U B U F
B' L2 D2 R U B' U
U2 L2 F2 L' D F' R
B2 L2 B R U B2 U
B2 L2 B R U2 D' R2
B2 L2 B R D L2 U2
B2 L2 B R D' U2 R2
B2 L2 B D L2 R U2
B2 L2 B D R L2 U2
B2 L2 B D' R U2 R
B' R L' U B' U R'
B' R L' U' F U' R
D2 R L2 U B' U F
B' R L2 U D B' U
D' R L2 U B' U F
B' R L2 U D' B' U
B' R L2 U D2 B' U
B' R L2 U B' U D
B' R L2 U B' U D'
B' R L2 U B' U D2
B' R L2 U B' D U
B' R L2 U B' D' U
B' R L2 U B' D2 U
B' R L2 D U B' U
B' R L2 D' U B' U
B' R L2 D2 U B' U
D R L2 U B' U F
B' R U L2 B' L2 U
B R L2 B2 U B U
B' R U B U2 F U'
B' R U B' U2 F U'
B' R U B2 U2 F U'
B' R U' R F R' U'
B' R U' R2 F R2 U'
B' R U' D F U' D
B' R U' D F U' D'
B' R U' D F U' D2
B' R U' D F D U'
B' R U' D F D' U'
B' R U' D F D2 U'
D2 R U' F L2 U' F
D2 R U' F U B' U2
B' R U' D' F U' D
B' R U' D' F U' D'
B' R U' D' F U' D2
B' R U' D' F D U'
B' R U' D' F D' U'
B' R U' D' F D2 U'
D' R U' F L2 U' F
D' R U' F U B' U2
B' R U' D2 F U' D
B' R U' D2 F U' D'
B' R U' D2 F U' D2
B' R U' D2 F D U'
B' R U' D2 F D' U'
