L2 R D2 F' R B'
L2 R D2 F' B' R
L2 R D2 B' F' R
L2 R F' B R' B2
L2 R B F' R' B2
B2 L2 R F' B' R'
B2 L2 R B' F' R'
B2 L2 R B' F' R'
R L2 D2 F' R B'
B L2 R F' R2 B'
R L2 D2 F' B' R
B L2 R F' B' R2
R L2 D2 B' F' R
B L2 R B' F' R2
F2 L2 R2 B R' F'
B L2 R' B' D2 F2
B2 L2 R2 B' R' F'
R L2 F' B R' B2
L2 R2 B R' F' B2
L2 R2 B R' B2 F'
R2 L2 B R' F' B2
R2 L2 B R' B2 F'
R L2 B F' R' B2
B' L2 F2 R F' B'
B' L2 F2 R B' F'
B' L2 F2 B' R F'
B2 L2 B' R F' R2
B' L2 B' F2 R F'
B2 R L2 F' B' R'
B2 R L2 B' F' R'
B R L2 F' R2 B'
B R L2 F' B' R2
B R L2 B' F' R2
B R' L2 B' D2 F2
F R' B U2 L2 R'
F R' B U2 R' L2
B R' B2 L2 F B'
B R' B2 L2 B' F
F2 R2 L2 B R' F'
B2 R2 L2 B' R' F'
D2 R2 F L' U2 F
F2 R2 B L2 R' F'
F2 R2 B R' L2 F'
F2 R2 B R' F' L2
D2 F L' R2 U2 F
D2 F R2 L' U2 F
R' F B U2 L2 R'
R' F B U2 R' L2
R2 B L2 R' F' B'
R2 B L2 R' B' F'
L2 B R F' R2 B2
L2 B R F' B2 R2
L2 B R B2 F' R2
R2 B R' L2 F' B'
R2 B R' L2 B' F'
R B L2 F' R' B'
R' B U2 L2 R' B'
R' B U2 R' L2 B'
R' B F U2 L2 R'
R' B F U2 R' L2
R' B2 L2 F B' R'
R' B2 L2 B' R' F
R' B2 L2 B' F R'
R2 B2 L2 B' R' F'
R B2 L2 F' B' R'
R B2 L2 B' F' R'
B' L R U2 L F' B'
B' L R U2 L B' F'
B' L R U2 F' L B'
B2 L R F' L B' R'
B L R F' L R2 B'
B L R F' L B' R2
B L R F' R2 L B'
B' L R2 U2 L F B'
B' L R2 U2 L B' F
L2 R D B' D F' R
L' R D2 L' F' R B'
L' R D2 L' F' B' R
L' R D2 L' B' F' R
L2 R D' B' D' F' R
L2 R D2 F' R D B'
L2 R D2 F' R D' B'
L2 R D2 F' R D2 B'
L2 R D2 F' R B' D
L2 R D2 F' R B' D'
L2 R D2 F' R B' D2
L2 R D2 F' R' B' R2
L2 R D2 F' D R B'
L2 R D2 F' D B' R
L2 R D2 F' D' R B'
L2 R D2 F' D' B' R
L2 R D2 F' D2 R B'
L2 R D2 F' D2 B' R
L2 R D2 F' B R B2
L2 R D2 F' B' R D
L2 R D2 F' B' R D'
L2 R D2 F' B' R D2
L2 R D2 F' B' D R
L2 R D2 F' B' D' R
L2 R D2 F' B' D2 R
L2 R D2 B F' R B2
L2 R D2 B' F' R D
L2 R D2 B' F' R D'
L2 R D2 B' F' R D2
L2 R D2 B' F' D R
L2 R D2 B' F' D' R
L2 R D2 B' F' D2 R
L2 R F B R' F2 B2
L2 R F B R' B2 F2
L R F' L B R' B2
R L F' L B R' B2
L2 R F' R B R' B2
L2 R F' R' B R' B2
L2 R F' R2 B R' B2
L2 R F' B R B2 R2
L2 R F' B R' B2 D
L2 R F' B R' B2 D'
L2 R F' B R' B2 D2
L2 R F' B R2 B2 R
L2 R F' B' U2 L U2
L2 R F2 B R' F B2
L2 R F2 B R' B2 F
L' R B L' F' R' B'
L2 R B F R' F2 B2
L2 R B F R' B2 F2
L2 R B F' R B2 R2
L2 R B F' R' B2 D
L2 R B F' R' B2 D'
L2 R B F' R' B2 D2
L2 R B F' R2 B2 R
L2 R B F2 R' F B2
L2 R B F2 R' B2 F
L2 R B' U2 L U2 F'
L' R B2 L' F' B' R'
L2 R B' F' U2 L U2
L' R B2 L' B' F' R'
F L B2 R' B L U2
L2 R' U2 B U2 R' B2
F L' R' B U2 L' R'
F L' R' B U2 R' L'
F2 L' R2 B L' R' F'
F2 L' R2 B R' L' F'
R L' D2 L' F' R B'
R L' D2 L' F' B' R
R L' D2 L' B' F' R
L2 R' D2 R2 F' R B'
L2 R' D2 R2 F' B' R
L2 R' D2 R2 B' F' R
R2 L' B L' R' F' B'
R2 L' B L' R' B' F'
R L' B L' F' R' B'
R2 L' B R' L' F' B'
R2 L' B R' L' B' F'
L2 R' B R' B2 D2 F2
B' L' D2 L' R2 F B'
B' L' D2 L' R2 B' F
B' L' D2 L' F R2 B'
B' L' D2 L' F B' R2
B' L' D2 L' B' R2 F
B' L' D2 L' B' F R2
B2 L' D2 L' F B' R'
B2 L' D2 L' B' R' F
B2 L' D2 L' B' F R'
B L' D2 L' R' F B'
B L' D2 L' R' B' F
B' L' D2 R2 L' F B'
B' L' D2 R2 L' B' F
B L' D2 L' F R' B'
B L' D2 R' L' F B'
B L' D2 R' L' B' F
L2 R' B' U2 L B2 U2
L2 R' B' U2 B2 U2 R'
R2 L' B2 L' B' R' F'
R L' B2 L' F' B' R'
R L' B2 L' B' F' R'
D2 L' F' R F2 L' B'
R' L2 U2 B U2 R' B2
R L2 D B' D F' R
R' L2 D2 R2 F' R B'
R' L2 D2 R2 F' B' R
R' L2 D2 R2 B' F' R
F' L2 R D2 F' R B2
F' L2 R D2 F' B2 R
R L2 D' B' D' F' R
F' L2 R D2 B2 F' R
B2 L2 R D F' B' R'
B2 L2 R D B' F' R'
U' L2 R D2 F' R B'
U' L2 R D2 F' B' R
U' L2 R D2 B' F' R
B2 L2 R D' F' B' R'
F' L2 R F' R2 B R'
L2 R2 D2 R' F' R B'
L2 R2 D2 R' F' B' R
B2 L2 R D' B' F' R'
L2 R2 D2 R' B' F' R
F2 L2 R D2 F' R B
B' L2 R F2 R F B'
B' L2 R F2 R B' F
B2 L2 R D2 F' B' R'
R2 L2 D2 R' F' R B'
R2 L2 D2 R' F' B' R
B2 L2 R D2 B' F' R'
R2 L2 D2 R' B' F' R
U2 L2 R D2 F' R B'
U' L2 R F' B R' B2
U2 L2 R D2 F' B' R
B' L2 R F2 B' R F
U2 L2 R D2 B' F' R
F2 L2 R F' R B R'
B2 L2 R F B' R' F2
B2 L2 R F' R B' R'
B2 L2 R F' R' B' R'
B2 L2 R F' R2 B' R'
B2 L2 R F' D B' R'
B2 L2 R F' D' B' R'
B2 L2 R F' D2 B' R'
B2 L2 R F' B' R' D
B2 L2 R F' B' R' D'
B2 L2 R F' B' R' D2
B2 L2 R F' B' D R'
B2 L2 R F' B' D' R'
B2 L2 R F' B' D2 R'
U' L2 R B F' R' B2
B' L2 R B' F2 R F
U2 L2 R F' B R' B2
B L2 R F R2 F2 B'
B L2 R F R2 B' F2
B2 L2 R F2 B' R' F
B L2 R F B' R2 F2
B L2 R F' R B' R
B L2 R F' R2 D B'
B L2 R F' R2 D' B'
B L2 R F' R2 D2 B'
B L2 R F' R2 B' D
B L2 R F' R2 B' D'
B L2 R F' R2 B' D2
B L2 R F' B R2 B2
B L2 R F' B' R2 D
B L2 R F' B' R2 D'
B L2 R F' B' R2 D2
U2 L2 R B F' R' B2
B L2 R F2 R2 F B'
B L2 R F2 R2 B' F
B2 L2 R B' D F' R'
B2 L2 R B' D' F' R'
B2 L2 R B' D2 F' R'
B2 L2 R B' F R' F2
U L2 R D2 F' R B'
B2 L2 R B' F' R' D
B2 L2 R B' F' R' D'
B2 L2 R B' F' R' D2
B2 L2 R B' F' D R'
U L2 R D2 F' B' R
B2 L2 R B' F' D' R'
B2 L2 R B' F' D2 R'
B2 L2 R B' F2 R' F
B L2 R F2 B' R2 F
U L2 R D2 B' F' R
B L2 R B F' R2 B2
L2 R2 D2 B' R' F' R
B L2 R B' F R2 F2
B L2 R B' F' R2 D
B L2 R B' F' R2 D'
B L2 R B' F' R2 D2
B L2 R B' F2 R2 F
U L2 R F' B R' B2
R2 L2 D2 B' R' F' R
R L2 D2 F' R D B'
R L2 D2 F' R D' B'
R L2 D2 F' R D2 B'
R L2 D2 F' R B' D
R L2 D2 F' R B' D'
R L2 D2 F' R B' D2
R L2 D2 F' R' B' R2
R L2 D2 F' D R B'
R L2 D2 F' D B' R
R L2 D2 F' D' R B'
R L2 D2 F' D' B' R
R L2 D2 F' D2 R B'
R L2 D2 F' D2 B' R
R L2 D2 F' B R B2
R L2 D2 F' B' R D
R L2 D2 F' B' R D'
R L2 D2 F' B' R D2
R L2 D2 F' B' D R
R L2 D2 F' B' D' R
R L2 D2 F' B' D2 R
U L2 R B F' R' B2
R L2 D2 B F' R B2
B L2 R' U2 B U2 B2
R L2 D2 B' F' R D
R L2 D2 B' F' R D'
R L2 D2 B' F' R D2
R L2 D2 B' F' D R
R L2 D2 B' F' D' R
R L2 D2 B' F' D2 R
B L2 R' D B' D2 F2
B L2 R' D' B' D2 F2
B' L2 R' B' D2 F2 R
