L R D L2 F B
L R D L2 B F
L' R D F L2 B
L' R D F B L2
L' R D B F L2
R L D L2 F B
R L D L2 B F
L' R F D L2 B
L' R F D B L2
R L' D F L2 B
R L' D F B L2
R L' D B F L2
R L' F D L2 B
R L' F D B L2
D L2 D R F' B
D L2 D R B F'
D2 R D' L2 F' B
D2 R D' L2 B F'
D2 R D' F' L2 B
D2 R D' F' B L2
D2 R D' B L2 F'
D2 R D' B F' L2
D2 R B D' L2 F'
D2 R B D' F' L2
L' D R F L2 B
L' D R F B L2
L' D R B F L2
L D L2 R F B
L D L2 R B F
L D R L2 F B
L D R L2 B F
U2 L R D L2 F B'
U2 L R D L2 B' F
D2 L R D' L2 F' B
D2 L R D' L2 B F'
D2 L R D' F' L2 B
D2 L R D' F' B L2
D2 L R D' B L2 F'
D2 L R D' B F' L2
D2 L R B D' L2 F'
D2 L R B D' F' L2
L' R U B2 U' F B'
L' R U B2 U' B' F
L' R D L2 B D2 F2
L2 R D L F L B
L R D L' B L' F
L R D L2 D F B
L R D L2 D B F
L R D L2 D' F B
L R D L2 D' B F
L R D L2 D2 F B
L R D L2 D2 B F
L R D L2 F D B
L R D L2 F D' B
L R D L2 F D2 B
L R D L2 F B D
L R D L2 F B D'
L R D L2 F B D2
L R D L2 B D F
L R D L2 B D' F
L R D L2 B D2 F
L R D L2 B F D
L R D L2 B F D'
L R D L2 B F D2
R L D L' B L' F
L' R D F L' B L'
L' R D F L2 D B
L' R D F L2 D' B
L' R D F L2 D2 B
R L D L2 D F B
L' R D F L2 B D
L' R D F L2 B D'
L' R D F L2 B D2
R L D L2 D B F
R L D L2 D' F B
R L D L2 D' B F
R L D L2 D2 F B
R L D L2 D2 B F
R L D L2 F D B
R L D L2 F D' B
R L D L2 F D2 B
R L D L2 F B D
R L D L2 F B D'
R L D L2 F B D2
R L D L2 B D F
R L D L2 B D' F
R L D L2 B D2 F
R L D L2 B F D
R L D L2 B F D'
R L D L2 B F D2
L' R D F B L2 D
L' R D F B L2 D'
L' R D F B L2 D2
L' R D F B' L2 B2
L' R D F' L2 F2 B
L' R D F' L2 B F2
L' R D F' B L2 F2
L' R D F2 L2 F' B
L' R D F2 L2 B F'
L' R D F2 B L2 F'
L' R D B F L2 D
L' R D B F L2 D'
L' R D B F L2 D2
L R D F L2 F B
L' R D B F' L2 F2
L R D F L2 B F
L' R D B F2 L2 F'
L' R D B' F L2 B2
L R D F' L2 F B
L R D F' L2 B F
L R D F2 L2 F B
L R D F2 L2 B F
R L D F L2 F B
R L D F L2 B F
L2 R D B L F L
L R D B L2 D2 F2
R L D F' L2 F B
R L D F' L2 B F
R L D F2 L2 F B
R L D F2 L2 B F
R L D B L2 D2 F2
L' R D' F D2 L2 B
L' R D' F D2 B L2
L' R D' F B D2 L2
L' R D' B D2 F L2
L' R D' B F D2 L2
L R D' B D2 L2 F2
L R D' B D2 F2 L2
R L D' B D2 L2 F2
R L D' B D2 F2 L2
D L D L R F' B
D L D L R B F'
F' L D L2 F R B
U2 L D L2 R F B'
U2 L D L2 R B' F
L' R D2 B D' F L2
U2 L D L2 B' R F
U2 L D R L2 F B'
U2 L D R L2 B' F
D L D R L F' B
D L D R L B F'
D L D R F' L B
L' R F L D L2 B
L' R F L D B L2
L' R F L' D L2 B
L' R F L' D B L2
L' R F L2 D L2 B
L' R F L2 D B L2
L' R F U B2 U' B'
L' R F D L' B L'
L' R F D L2 D B
L' R F D L2 D' B
L' R F D L2 D2 B
L' R F D L2 B D
L' R F D L2 B D'
L' R F D L2 B D2
L' R F D B L2 D
L' R F D B L2 D'
L' R F D B L2 D2
L' R F D B' L2 B2
L' R F D' B D2 L2
L' R F D2 B D' L2
L R F D L2 F B
L R F D L2 B F
L' R F B U B U'
R L F D L2 F B
R L F D L2 B F
L R F' D L2 F B
L R F' D L2 B F
R L F' D L2 F B
R L F' D L2 B F
L' R F2 D L2 F' B
L' R F2 D L2 B F'
L' R F2 D F' L2 B
L' R F2 D F' B L2
L' R F2 D B L2 F'
L' R F2 D B F' L2
L R F2 D L2 F B
L R F2 D L2 B F
R L F2 D L2 F B
R L F2 D L2 B F
L' R B U B U' F
L2 R B U B L U'
L' R B F U B U'
R' L B2 U' R2 F' B
R' L B2 U' R2 B F'
R L' U B2 U' F B'
R L' U B2 U' B' F
D2 L' R D' L2 F' B
D2 L' R D' L2 B F'
D2 L' R D' F' L2 B
D2 L' R D' F' B L2
D2 L' R D' B L2 F'
D2 L' R D' B F' L2
B' L' R D F L' B
B' L' R D F B L'
B' L' R D B F L'
U2 L' R D F B' L2
U2 L' R D B' F L2
D L' R D' L' F B
D L' R D' L' B F
D L' R D' B L' F
B L' R D' F L' B
B L' R D' F B L'
D2 L' R B D' L2 F'
D2 L' R B D' F' L2
U2 L' R F D B' L2
B L' R D' B F L'
B' L' R B D F L'
D L' R B D' L' F
R L' D L2 B D2 F2
B L' R B D' F L'
B2 L' R' U' R2 F B
B2 L' R' U' R2 B F
R L' D F L' B L'
R L' D F L2 D B
R L' D F L2 D' B
R L' D F L2 D2 B
R L' D F L2 B D
R L' D F L2 B D'
R L' D F L2 B D2
R L' D F B L2 D
R L' D F B L2 D'
R L' D F B L2 D2
R L' D F B' L2 B2
R L' D F' L2 F2 B
R L' D F' L2 B F2
R L' D F' B L2 F2
R L' D F2 L2 F' B
R L' D F2 L2 B F'
R L' D F2 B L2 F'
R L' D B F L2 D
R L' D B F L2 D'
R L' D B F L2 D2
R L' D B F' L2 F2
R L' D B F2 L2 F'
R L' D B' F L2 B2
B2 L' R2 U' R' F B
B2 L' R2 U' R' B F
B2 L' R2 U' F R' B
R L' D' F D2 L2 B
R L' D' F D2 B L2
R L' D' F B D2 L2
R L' D' B D2 F L2
R L' D' B F D2 L2
R L' D2 B D' F L2
R L' F L D L2 B
R L' F L D B L2
R L' F L' D L2 B
R L' F L' D B L2
R L' F L2 D L2 B
R L' F L2 D B L2
R2 L' F R' D L2 B
R2 L' F R' D B L2
R L' F U B2 U' B'
R L' F D L' B L'
R L' F D L2 D B
R L' F D L2 D' B
R L' F D L2 D2 B
R L' F D L2 B D
R L' F D L2 B D'
R L' F D L2 B D2
R L' F D B L2 D
R L' F D B L2 D'
R L' F D B L2 D2
R L' F D B' L2 B2
R L' F D' B D2 L2
R L' F D2 B D' L2
R L' F B U B U'
D L' D L' R F' B
D L' D L' R B F'
B' L' D R F L' B
B' L' D R F B L'
B' L' D R B F L'
U2 L' D R F B' L2
U2 L' D R B' F L2
D L' D R L' F' B
D L' D R L' B F'
D L' D R B L' F'
F' L' D F L2 R B
F' L' D F R L2 B
F' L' D F R B L2
R L' F2 D L2 F' B
R L' F2 D L2 B F'
R L' F2 D F' L2 B
R L' F2 D F' B L2
R L' F2 D B L2 F'
R L' F2 D B F' L2
U2 L' D B' R F L2
D L' D' L' R F B
D L' D' L' R B F
D L' D' R L' F B
D L' D' R L' B F
D L' D' R B L' F
R L' B U B U' F
R L' B F U B U'
F' L' F R D L2 B
F' L' F R D B L2
R' L' B2 U' R2 F B
R' L' B2 U' R2 B F
L' R' B2 U' R2 F B
L' R' B2 U' R2 B F
F' L' F D L2 R B
F' L' F D R L2 B
F' L' F D R B L2
L R' B2 U' R2 F' B
L R' B2 U' R2 B F'
R L2 D L F L B
R L2 D B L F L
U2 L' B2 U' B R F
U L' B2 U' R F B
U L' B2 U' R B F
D2 L2 R D' L2 F' B
D2 L2 R D' L2 B F'
D2 L2 R D' F' L2 B
D2 L2 R D' F' B L2
D2 L2 R D' B L2 F'
D2 L2 R D' B F' L2
