B L B U' R U' L
B' R U B' U2 L R2
B' R U B' U2 R2 L
U R D B2 L2 F U'
U R' B2 U' F' R2 U'
B2 U' D' R F' U' L
B2 U2 L B R' D B2
R D2 B U' L2 F2 R
R D2 B' U' L2 R' F2
R D2 B' U' L2 F2 R'
R D2 B' U' R' L2 F2
R D2 B' U' R' F2 L2
R D2 B' U' F2 L2 R'
R D2 B' U' F2 R' L2
B2 D' U' R F' U' L
R' B L U' R2 U' F'
R' B L D B U2 B
R' B L D' F2 B U2
R' B L D' B F2 U2
R' B L B U' R2 U'
R' B L B U2 D B2
R' B L B D U2 B2
R' B L B D' F2 U2
R B U L R2 U2 F'
R B U L B R2 U2
R B U R2 L U2 F'
R' B D L B U2 B
R' B D B U2 B R'
R' B D' L F2 B U2
R' B D' L B F2 U2
R' B D' F2 L B U2
R B' U R2 B' U2 R
R B' U' D2 L2 R' F
R B' U' D2 L2 F R'
R B' U' D2 R' L2 F
R B' D2 U' L2 R' F
R B' D2 U' L2 F R'
R B' D2 U' R' L2 F
R' B2 U2 B D R' B2
R' B2 U2 B' D B2 R'
