U2 L' U' B' U' B'
B2 U2 L' U' B' U'
L2 B2 R' U' F' U
L2 R U B U' B R'
L2 R B' D B' L2 R'
L2 R B' D B' R' L2
L2 R B2 R' U B' U'
L2 R' U' F' U B2 R'
U2 L' R U' B' U' B'
U2 L' R' U' B' U' B'
U2 L' R2 U' B' U' B'
U2 L' U L2 F U B2
U2 L' U D L2 F U
U2 L' U' R B' U' B'
U2 L' U' R' B' U' B'
U2 L' U' R2 B' U' B'
U2 L' U' D' R2 B' U'
U2 L' U' D' B' R2 U'
U2 L' U' B' R U' B'
U2 L' U' B' R' U' B'
U2 L' U' B' R2 U' B'
U2 L' U' B' U' D B'
U2 L' U' B' U' D' B'
U2 L' U' B' U' D2 B'
U2 L' U' B' U' B' D
U2 L' U' B' U' B' D'
U2 L' U' B' U' B' D2
U2 L' U' B' D U' B'
U2 L' U' B' D' U' B'
U2 L' U' B' D2 U' B'
L2 R' F' U F B2 R'
L2 R' F' U B2 R' F
L2 R' F' U B2 F R'
U2 L' U2 B D L2 B
U2 L' U2 B D B L2
U2 L' U2 B2 U B U'
U2 L' D U L2 F U
U2 L' D' U' R2 B' U'
U2 L' D' U' B' R2 U'
U2 L' D2 F2 U' B' U'
L2 R' B2 U' F' U R'
U2 L' F U' B' U' B'
U2 L' F' U' B' U' B'
R L2 U B U' B R'
R' L2 U' F' U B2 R'
U2 L' F2 U' B' U' B'
R' L2 F' U F B2 R'
R' L2 F' U B2 R' F
R' L2 F' U B2 F R'
B2 L2 U2 L U F U
L2 R2 B' D B' L R'
L2 R2 B' D B' R' L
R2 L2 B' D B' L R'
R2 L2 B' D B' R' L
R L2 B' D B' L2 R'
R L2 B' D B' R' L2
R' L2 B2 U' F' U R'
L2 R2 B2 R' U B U'
R2 L2 B2 R' U B U'
R L2 B2 R' U B' U'
U' L2 B U L B R'
U2 R L' U' B' U' B'
L' U F' U' L' B2 R'
L2 U F' U' B2 L' R'
L2 U F' U' B2 R' L'
B2 R U F2 B U' R
B2 R U B U L' U2
B2 R U B F2 U' R
F2 R U B U' F2 B
F2 R U B U' B F2
R U F2 B U' B R
B2 R U2 L' U' B U'
R U B U L' U2 B
R U B F2 U' B R
R' U' L2 F' U B2 R'
F2 R F2 U B U' B
F2 R F2 B' D B' L2
F2 R F2 B2 U B' U'
F2 R B' F2 D B' L2
F2 R B2 U B' U' F2
F2 R B2 F2 U B' U'
U2 R' L' U' B' U' B'
L2 U' B U L B R'
B2 R' U2 L' U F' U
L2 U2 L U F U B2
R' U2 L' U F' U B2
R U2 L' U' B U' B
F' R' F' U R F2 B2
F' R' F' U R B2 F2
F' R' F' U B2 R F2
F2 R' F' U F' R2 B2
F2 R' F' U F' B2 R2
F2 R' F' U B2 F' R2
U2 R2 L' U' B' U' B'
B' R2 D B' L D2 R2
F2 U R F' L' F' B2
F2 U R F' L' B2 F'
F2 U R F' B2 L' F'
F2 U R B2 F' L' F'
F' U F' L' R F2 B2
F' U F' L' R B2 F2
F' U F' L' B2 R F2
F' U F' R L' F2 B2
F' U F' R L' B2 F2
F' U F' R B2 L' F2
F' U F' B2 L' R F2
F' U F' B2 R L' F2
U2 D' L' U' R2 B' U'
U2 D' L' U' B' R2 U'
F2 U B2 R F' L' F'
F' U B2 F' L' R F2
F' U B2 F' R L' F2
F2 U' R F2 B L B
F2 U' R B L F2 B
F2 U' R B L B F2
F2 U' R B F2 L B
R D' B' D L2 B2 R'
D' U2 L' U' R2 B' U'
D' U2 L' U' B' R2 U'
D2 U2 L' F2 U' B' U'
B2 U' F2 B U L R
B2 U' F2 B U R L
U2 D2 L' F2 U' B' U'
F2 U' B L B R F2
B2 U' B U L D2 R2
B2 U' B U' L' U2 L2
B2 U' B F2 U L R
B2 U' B F2 U R L
B2 U' B' U' L' R' U2
B2 U' B' U' R' L' U2
B2 U2 L' R U' B' U'
B2 U2 L' R' U' B' U'
B2 U2 L' R2 U' B' U'
B2 U2 L' U' D B' U'
B2 U2 L' U' D' B' U'
B2 U2 L' U' D2 B' U'
B2 U2 L' U' B' U' D
B2 U2 L' U' B' U' D'
B2 U2 L' U' B' U' D2
B2 U2 L' U' B' D U'
B2 U2 L' U' B' D' U'
B2 U2 L' U' B' D2 U'
B2 U2 L' D U' B' U'
B2 U2 L' D' U' B' U'
B2 U2 L' D2 U' B' U'
B U2 L' U' B' U' B2
B U2 L' U2 B D L2
B2 U2 R L' U' B' U'
B2 U2 R' L' U' B' U'
B2 U2 R2 L' U' B' U'
B2 U2 D L' U' B' U'
B2 U2 D' L' U' B' U'
B2 U2 D2 L' U' B' U'
L2 F U F' B2 L' R'
L2 F U F' B2 R' L'
L2 F U B2 F' L' R'
L2 F U B2 F' R' L'
B2 D U2 L' U' B' U'
R' F' U F' R F2 B2
R' F' U F' R B2 F2
R' F' U F' B2 R F2
R' F' U B2 F' R F2
L2 F' B2 R' F D' L2
B2 D' U2 L' U' B' U'
U' F2 B U L B R
R F2 B U' B R F2
B2 D2 U2 L' U' B' U'
U' B U L D2 B R2
U' B U L B D2 R2
U' B U' L' U2 L2 B
U' B U' L' U2 B L2
U' B F2 U L B R
F2 B U' B L R F2
F2 B U' B R L F2
F2 B U' B R F2 L
R B F2 U' B R F2
L2 B' R B' R' D L2
L2 B' R B' D L2 R'
L2 B' R B' D R' L2
L2 B' R2 D B' L R'
