B R2 D F L'
F L B R2 D L2
B R D R F L'
B R' D R' F L'
B R' D F L' R'
B R' D F R' L'
B2 R2 D F B' L'
B2 R2 D B' F L'
B R2 D F L' D
B R2 D F L' D'
B R2 D F L' D2
B R2 D F D L'
B2 R2 D' F B' L
B R2 D F D' L'
B R2 D F D2 L'
B2 R2 D' B' F L
B2 R2 F D' B' L
B2 R2 B' D F L'
B' R2 B2 D F L'
R2 D F L' D2 B2
R2 D F D2 L' B2
R2 D F D2 B2 L'
D F L' D' B R2
D F D' L' B R2
D F D' B L' R2
D F D' B R2 L'
B D F L' D' R2
B D F D' L' R2
B D F D' R2 L'
U' B R2 D F L'
U2 B R2 D F L'
U B R2 D F L'
B2 F R2 D' B' L
D B2 U F B' L'
D B2 U B' F L'
F B2 R2 D' B' L
F L U B' U' R2 B2
F L U B' U' B2 R2
F L D' B D L2 R2
F L D' B D R2 L2
F2 L F' B R2 D L2
F' L F2 B R2 D L2
F L B L R2 D L2
F L B L' R2 D L2
F L B L2 R2 D L2
F' L B R2 F2 D L2
F L B R D L2 R
F L B R D R L2
F L B R' D L2 R'
F L B R' D R' L2
F L B R2 L D L2
F L B R2 L' D L2
F L B R2 L2 D L2
F L B R2 U B2 U'
F L B R2 D L2 D
F L B R2 D L2 D'
F L B R2 D L2 D2
F L B U B2 U' R2
F L B D L2 D' R2
F' L B F2 R2 D L2
F2 L B F' R2 D L2
F' L B' U' R2 F2 B2
F' L B' U' R2 B2 F2
F' L B' U' F2 R2 B2
F' L B' U' F2 B2 R2
F' L B' U' B2 R2 F2
F' L B' U' B2 F2 R2
F2 L B' U' F' R2 B2
F2 L B' U' F' B2 R2
F L B' R2 B2 D L2
F2 L B' U' B2 F' R2
B L' R2 U' F R U
B L' U' F R U R
F L' U' F U B R2
F' L' F U F B R2
F' L' F U B R2 F
F' L' F U B F R2
F2 L' F U F2 B R2
F2 L' F U B R2 F2
F2 L' F U B F2 R2
F L' F U F' B R2
F L' F U B F' R2
F2 L' F' B R2 D' L2
F L' B R2 U' F U
F L' B U' F U R2
F2 L' B F' R2 D' L2
F' L2 U F2 B L R2
F' L2 U F2 B R2 L
F' L2 U B L R2 F2
F' L2 U B L F2 R2
F' L2 U B R2 L F2
F' L2 U B R2 F2 L
F' L2 U B F2 L R2
F2 L2 U F' B L R2
F' L2 U B F2 R2 L
F2 L2 U F' B R2 L
F2 L2 U B L F' R2
F2 L2 U B F' L R2
F2 L2 U B F' R2 L
F2 L2 U' F' L' B R2
F2 L2 U' F' B L' R2
F2 L2 U' F' B R2 L'
B' L2 U' B2 R2 F' L'
F2 L2 U' B F' L' R2
F2 L2 U' B F' R2 L'
D2 L2 D B' U2 L B2
L2 U L B L R2 F
L2 U L B L F R2
L2 U L B R2 L F
L2 U L2 F B L R2
L2 U L2 F B R2 L
L2 U L2 B R2 F L
L2 U L2 B F L R2
L2 U L2 B F R2 L
L2 U B L R2 D2 F2
L2 U B R2 L D2 F2
L2 U B R2 D2 L F2
L2 U B R2 D2 F2 L
L2 U B' R' U2 R' B2
B2 R D R F B' L'
L2 U B' U2 B2 L R2
B2 R D R B' F L'
L2 U B' U2 B2 R2 L
B R D R F L' D
B R D R F L' D'
B R D R F L' D2
B R D R F D L'
B R D R F D' L'
B R D R F D2 L'
B R D R' F L' R2
B R D R' F R2 L'
B R D R2 F L' R'
B R D R2 F R' L'
B2 R D B' R F L'
L2 U B2 R2 F' B' L
L2 U B2 R2 B' L F'
L2 U B2 R2 B' F' L
B2 R D' R F B' L
B2 R D' R B' F L
B R D' R D2 F L'
B2 R D' B' R F L
B R D2 R F D' L2
B2 R B' R D F L'
B2 R B' D R F L'
B' R B2 R D F L'
B' R B2 D R F L'
B2 R' D R' F B' L'
B2 R' D R' B' F L'
B R' D R F L' R2
B R' D R F R2 L'
B2 R' D F R' B' L'
B R' D R' F L' D
B R' D R' F L' D'
B R' D R' F L' D2
B R' D R' F D L'
B R' D R' F D' L'
B R' D R' F D2 L'
B R' D F L' R' D
B R' D F L' R' D'
B R' D F L' R' D2
B R' D F L' D R'
B R' D F L' D' R'
B R' D F L' D2 R'
B R' D F R' L' D
B R' D F R' L' D'
B R' D F R' L' D2
B R' D F R' D L'
B R' D F R' D' L'
B R' D F R' D2 L'
L2 U' B2 R2 F' B' L'
B R' D F D L' R'
B R' D F D R' L'
B R' D F D' L' R'
B R' D F D' R' L'
L2 U' B2 R2 B' F' L'
B R' D F D2 L' R'
B R' D F D2 R' L'
B2 R' D' R' F B' L
B2 R' D' R' B' F L
B2 R' D' F R' B' L
B R' D' R' D2 F L'
B2 R' F R' D' B' L
B2 R' F D' R' B' L
R' U2 R' D F L' B'
R' U2 D R' F L' B'
R' U2 D F L' R' B'
R' U2 D F R' L' B'
R2 U2 D F' R U2 F2
R2 U2 D F' U2 F2 L'
B R2 L' U' F R U
F R2 U2 D F' R U2
U' R2 D F L' D2 B2
U' R2 D F D2 L' B2
U' R2 D F D2 B2 L'
B' R2 D F D' L' B2
B' R2 D F D' B2 L'
B R2 D L F L' F
