B' L R' U L2 U2
B' L R' U' D2 R2
B' L R' D F2 U'
B' L R' D2 U' R2
B' L D R' F2 U'
B' L D F2 R' U'
B' L D2 R' U' R'
B' R' L U L2 U2
B' R' L U' D2 R2
B' R' L D F2 U'
B' R' L D2 U' R2
B' R' F2 L U' R
F2 B' L R' U' R2
F2 B' R' L U' R2
B' F2 L R' U' R2
B' F2 R' L U' R2
B' L R D F2 U' B2
B' L R' U L2 U2 D
B' L R' U L2 U2 D'
B' L R' U L2 U2 D2
B' L R' U L2 D U2
B' L R' U L2 D' U2
B' L R' U L2 D2 U2
B' L R' U' R D2 R2
B' L R' U' R' D2 R2
B' L R' U' R2 D2 R2
B' L R' U' D2 R2 D
B' L R' U' D2 R2 D'
B' L R' U' D2 R2 D2
B' L R' U2 D' B2 U
B' L R' D F2 U' D
B' L R' D F2 U' D'
B' L R' D F2 U' D2
B' L R' D F2 D U'
B' L R' D F2 D' U'
B' L R' D F2 D2 U'
B' L R' D' U2 B2 U
B' L R' D2 U' R2 D
B' L R' D2 U' R2 D'
B' L R' D2 U' R2 D2
B' L R' D2 F U' R2
B' L R' D2 F' U' R2
B' L R' D2 F2 U' R2
B' L R' F U L2 U2
B' L R' F U' D2 R2
B' L R' F D F2 U'
B' L R' F D2 U' R2
B' L R' F' U L2 U2
B' L R' F' U' D2 R2
B' L R' F' D F2 U'
B' L R' F' D2 U' R2
B' L R' F2 U L2 U2
B' L R' F2 U' D2 R2
B L R' D2 F2 U R2
B' L R' F2 D F2 U'
B' L R' F2 D2 U' R2
B' L R2 D R F2 U'
B' L R2 D2 R U' R
B' L U L2 U' R' U'
B' L U2 D' B2 L U
B' L D R F2 R2 U'
B' L D R' U' D R2
B' L D R' D U' R2
B' L D R' F2 U' D
B' L D R' F2 U' D'
B' L D R' F2 U' D2
B' L D R' F2 D U'
B' L D R' F2 D' U'
B' L D R' F2 D2 U'
B' L D F R' F U'
B' L D F2 R' U' D
B' L D F2 R' U' D'
B' L D F2 R' U' D2
B' L D F2 R' D U'
B' L D F2 R' D' U'
B' L D F2 R' D2 U'
B' L D F2 D R' U'
B' L D F2 D' R' U'
B' L D F2 D2 R' U'
B' L D' R' U' D' R2
B' L D' R' U2 B2 U
B' L D' R' D' U' R2
B' L D' R' D2 F2 U'
B L D' R' B2 U L
B' L D' U2 B2 L U
B' L D2 R' U' R' D
B' L D2 R' U' R' D'
B' L D2 R' U' R' D2
B' L D2 R' U' D R'
B' L D2 R' U' D' R'
B' L D2 R' U' D2 R'
B' L D2 R' D U' R'
B' L D2 R' D' U' R'
B' L D2 R' D2 U' R'
B' L D2 R' F U' R'
B' L D2 R' F' U' R'
B' L D2 R' F2 U' R'
B L D2 R' F2 U R'
B' L D2 F R' U' R'
B' L D2 F' R' U' R'
B' L D2 F2 R' U' R'
B L D2 F2 R' U R'
B' L F R' U L2 U2
B' L F R' U' D2 R2
B' L F R' D F2 U'
B' L F R' D2 U' R2
B' L F D R' F2 U'
B' L F D F2 R' U'
B' L F D2 R' U' R'
B' L F' R' U L2 U2
B' L F' R' U' D2 R2
B' L F' R' D F2 U'
B' L F' R' D2 U' R2
B' L F' D R' F2 U'
B' L F' D F2 R' U'
B' L F' D2 R' U' R'
B' L F2 R' U L2 U2
B' L F2 R' U' D2 R2
B' L F2 R' D F2 U'
B' L F2 R' D2 U' R2
B' L F2 D R' F2 U'
B' L F2 D F2 R' U'
B' L F2 D2 R' U' R'
B' L' U' L2 R' U' L2
B' L' U' R' L2 U' L2
B' R L D F2 U' B2
B' R F2 L R2 U' R'
B' R F2 R2 L U' R'
F2 R B' L R' U' R
F2 R B' R' L U' R
B' R' L U L2 U2 D
B' R' L U L2 U2 D'
B' R' L U L2 U2 D2
B' R' L U L2 D U2
B' R' L U L2 D' U2
B' R' L U L2 D2 U2
B' R' L U' R D2 R2
B' R' L U' R' D2 R2
B' R' L U' R2 D2 R2
B' R' L U' D2 R2 D
B' R' L U' D2 R2 D'
B' R' L U' D2 R2 D2
