B' L R' B' L U
B2 L B R' B2 U
B2 L B' U2 L U'
B' R' L B' L U
U2 R' F' L' F U'
L2 U2 R' F' L' U'
B' R' B' L B' U
U2 F' L' R' F U'
U2 F' L' F R' U'
U2 F' R' L' F U'
B' D' R' U B R'
L B' D' R' U B
L B2 L B R' U
B' L R B' L R2 U
B' L R B' R2 L U
B2 L R B R' B2 U
B2 L R B' U2 L U'
U2 L R' U2 B' R' U
B' L R' B' L U D
B' L R' B' L U D'
B' L R' B' L U D2
B' L R' B' L D U
B' L R' B' L D' U
B' L R' B' L D2 U
B2 L R' B R' B2 U
B' L R' B' D L U
B' L R' B' D' L U
B' L R' B' D2 L U
B2 L R' B' U2 L U'
B' L R2 B' L R U
B' L R2 B' R L U
B2 L R2 B R' B2 U
B2 L R2 B' U2 L U'
L R D B' R' U B'
R L D B' R' U B'
L' R D2 L2 B' R' U
L R D2 B' L2 R' U
L R D2 B' R' L2 U
R L D2 B' L2 R' U
R L D2 B' R' L2 U
L' R F R2 B L U'
B' L D' R' B' U B2
B2 L D' R B' U F'
B2 L D' B' R U F'
R' L B' R' U2 R U'
R2 L B' R' U D B2
R2 L B' R' U2 R2 U'
L R B' R' U2 R' U'
R2 L B' R' D U B2
R2 L B' R' D2 L2 U
R L B' R' U2 R' U'
L R B' D R' U B2
R L B' D R' U B2
L R B' D2 L2 R' U
L R B' D2 R' L2 U
R L B' D2 L2 R' U
R L B' D2 R' L2 U
B2 L B R B2 R2 U
B2 L B R' U D' R2
B2 L B R' D' U R2
B2 L B R' B2 U D
B2 L B R' B2 U D'
B2 L B R' B2 U D2
B2 L B R' B2 D U
B2 L B R' B2 D' U
B2 L B R' B2 D2 U
B2 L B R2 B2 R U
B2 L B D' R' U R'
B2 L B' R U2 L U'
B2 L B' R' U2 L U'
B2 L B' R2 U2 L U'
B2 L B' U2 L U' D
B2 L B' U2 L U' D'
B2 L B' U2 L U' D2
B2 L B' U2 L D U'
B2 L B' U2 L D' U'
B2 L B' U2 L D2 U'
B2 L B' U2 D L U'
B2 L B' U2 D' L U'
B2 L B' U2 D2 L U'
B2 L B' D U2 L U'
B2 L B' D' U2 L U'
B2 L B' D2 U2 L U'
U2 L' R' F U2 R U
U2 L' R' F' L' F2 U'
U L' R' F U' L F2
U L' R' F U' F2 L
R L' D2 L2 B' R' U
R L' F R2 B L U'
B L' U2 F L2 R U'
B L' U2 F R L2 U'
L R' B' R' U2 R U'
U2 L' F R' U' D' F2
U2 L' F R' U2 R2 U
U2 L' F R' D' U' F2
U2 L' F R' D2 L2 U'
U L' F R' U' L F'
U L' F R' U' F' L
U2 L' F' L' R' F2 U'
U2 L' F' L' F2 R' U'
U2 L' F' R' L' F2 U'
B2 L' B L2 R' B' U
B2 L' B R' L2 B' U
B2 L' B2 L2 B' R' U
L R2 B' R' U D B2
L R2 B' R' U2 R2 U'
L R2 B' R' D U B2
L R2 B' R' D2 L2 U
B2 L2 D L' B' U F
B2 L2 B L' R' B' U
R2 U R' D F' R B2
R2 U R' D F' B2 R
R2 U R' D B2 F' R
B2 L2 B R' L' B' U
B2 L2 B2 L' B' R' U
R U D R' F' R B2
R U D R' F' B2 R
R U D R' B2 F' R
R U D B2 R' F' R
B' R L B' L R2 U
B' R L B' R2 L U
B2 R L B R' B2 U
B2 R L B' U2 L U'
D2 R U2 F' L' R2 U'
D2 R U2 F' R2 L' U'
L2 U B' D' R' F' B
L2 U B' D' R' B F'
U R D R2 F' R B2
U R D R2 F' B2 R
U R D R2 B2 F' R
U2 R F' L' R2 F U'
U2 R F' L' F R2 U'
U2 R F' R2 L' F U'
B' R B' L R2 B' U
B' R B' L B' R2 U
B' R B' R2 L B' U
U2 R' L U2 B' R' U
B' R' L B' L U D
B' R' L B' L U D'
B' R' L B' L U D2
B' R' L B' L D U
B' R' L B' L D' U
B' R' L B' L D2 U
B' R' L B' D L U
B' R' L B' D' L U
