F' R D L2 F2 B
F' R D L2 B F2
F' R D F2 L2 B
F' R D F2 B L2
F' R D B L2 F2
F' R D B F2 L2
F' D L2 R F2 B
F' D L2 R B F2
F' D R L2 F2 B
F' D R L2 B F2
F' D R F2 L2 B
F' D R F2 B L2
F' D R B L2 F2
F' D R B F2 L2
F D F2 L2 R B
F D F2 R L2 B
F D F2 R B L2
L2 R F' B2 U' R B'
L2 R F' B2 U' B' R
L2 R B2 F' U' R B'
L2 R B2 F' U' B' R
L2 R' B2 U F' U2 R
B2 L2 R U' D2 B R'
B2 L2 R D2 U' B R'
B2 L2 R F' U' B R
B2 L2 R' U F' U2 R
F L2 R B2 U' R' B'
F' L2 R' B2 U' R2 B
F L2 R2 B2 U' R' B
R L2 F' B2 U' R B'
R L2 F' B2 U' B' R
B2 L2 D R F' U' B
R' L2 B2 U F' U2 R
R L2 B2 F' U' R B'
R L2 B2 F' U' B' R
B2 L2 D2 R U' B R'
B2 L2 F' R' U' R2 B
B2 L2 F' R2 U' R' B
D L2 F' D' F' R B
D L2 F2 D R B R'
F' L2 B2 R' U' R2 B
F' L2 B2 R2 U' R' B
F L2 B2 R U' B R2
B2 R L2 U' D2 B R'
B2 R L2 D2 U' B R'
B2 R L2 F' U' B R
F' R U L2 B2 U' B'
F R L2 B2 U' R' B'
F' R D L F2 L B
F' R D L' B L' F2
F' R D L2 F2 D B
F' R D L2 F2 D' B
F' R D L2 F2 D2 B
F' R D L2 F2 B D
F' R D L2 F2 B D'
F' R D L2 F2 B D2
F' R D L2 B F2 D
F' R D L2 B F2 D'
F' R D L2 B F2 D2
F' R D F' L2 F' B
F' R D F' L2 B F'
F' R D F' B L2 F'
F' R D F2 L' B L'
F' R D F2 L2 D B
F' R D F2 L2 D' B
F' R D F2 L2 D2 B
F' R D F2 L2 B D
F' R D F2 L2 B D'
F' R D F2 L2 B D2
F' R D F2 B L2 D
F' R D F2 B L2 D'
F' R D F2 B L2 D2
F' R D F2 B' L2 B2
F' R D B L F2 L
F' R D B L2 F2 D
F' R D B L2 F2 D'
F' R D B L2 F2 D2
F' R D B F' L2 F'
F' R D B F2 L2 D
F' R D B F2 L2 D'
F' R D B F2 L2 D2
F' R D B' L2 F2 B2
F' R D B' L2 B2 F2
F' R D B' F2 L2 B2
F R D F2 L2 B R
F R D F2 B L2 R
F R D F2 B R L2
F R D B F2 L2 R
F R D B F2 R L2
F' R D2 B D' L2 F2
F' R D2 B D' F2 L2
F' R F D L2 F2 B
F' R F D L2 B F2
F' R F D F2 L2 B
F' R F D F2 B L2
F' R F D B L2 F2
F' R F D B F2 L2
B2 R F' L2 U' B R
F' R F' D L2 F2 B
F' R F' D L2 B F2
F' R F' D F2 L2 B
F' R F' D F2 B L2
F' R F' D B L2 F2
F' R F' D B F2 L2
D R F' U' L2 F' B
D R F' U' L2 B F'
D R F' U' F' L2 B
D R F' U' F' B L2
D R F' U' B L2 F'
D R F' U' B F' L2
D R F2 L2 B D' R2
F' R F2 D L2 F2 B
F' R F2 D L2 B F2
F' R F2 D F2 L2 B
F' R F2 D F2 B L2
F' R F2 D B L2 F2
F' R F2 D B F2 L2
D2 R B R' D' L2 F2
D2 R B R' D' F2 L2
F' R B U L2 B U'
F' R B U B L2 U'
B2 R' L2 U F' U2 R
F' R' L2 B2 U' R2 B
F R' D F2 L2 R B'
F R' D F2 L2 B' R
F R' D F2 R L2 B'
D R' F2 L2 B' D' R2
D R' B U F2 L2 B'
F' R' B2 L2 U' R2 B
F R2 L2 B2 U' R' B
D2 R2 F2 U R' B R'
D2 R2 F2 U B R' B
R D L2 F2 D B R'
L2 D R F' U' L2 B
L2 D R F' U' B L2
D2 R2 F2 B U R' B
D2 R2 B F2 U R' B
F' U L2 B2 U' R B
R D F2 L2 D B R'
F' U B2 L2 U' R B
R' D2 R2 F2 U B R'
L' D2 F2 R U B R'
R D2 B D' L2 R' F2
R D2 B D' L2 F2 R'
R D2 B D' R' L2 F2
R D2 B D' R' F2 L2
R D2 B D' F2 L2 R'
R D2 B D' F2 R' L2
U F L2 R B2 U' R'
R2 F L2 B2 U' R' B
U F L2 B2 R U' R2
U F R L2 B2 U' R'
R F L2 B2 U' R' B'
F' D L R F2 L B
F' D L' R B L' F2
F' D L2 R F2 D B
F' D L2 R F2 D' B
F' D L2 R F2 D2 B
F' D L2 R F2 B D
F' D L2 R F2 B D'
F' D L2 R F2 B D2
F' D L2 R B F2 D
F' D L2 R B F2 D'
F' D L2 R B F2 D2
F' D L2 R2 F2 R' B
F D L' U2 L' F2 B'
F D L' U2 L' B' F2
F' D L2 B R F2 B
F' D L2 B R B F2
F2 D L2 F R F B
F2 D L2 F R B F
F' D L2 B' R F2 B
F' D L2 B' R B F2
F' D L2 B2 R F2 B
F' D L2 B2 R B F2
F' D R L F2 L B
F' D R L' B L' F2
F' D R L2 F2 D B
F' D R L2 F2 D' B
F' D R L2 F2 D2 B
F' D R L2 F2 B D
F' D R L2 F2 B D'
F' D R L2 F2 B D2
F' D R L2 B F2 D
F' D R L2 B F2 D'
F' D R L2 B F2 D2
F' D R F' L2 F' B
F' D R F' L2 B F'
F' D R F' B L2 F'
F' D R F2 L' B L'
F' D R F2 L2 D B
F' D R F2 L2 D' B
F' D R F2 L2 D2 B
F' D R F2 L2 B D
F' D R F2 L2 B D'
F' D R F2 L2 B D2
F' D R F2 B L2 D
F' D R F2 B L2 D'
F' D R F2 B L2 D2
F' D R F2 B' L2 B2
F' D R B L F2 L
F' D R B L2 F2 D
F' D R B L2 F2 D'
F' D R B L2 F2 D2
B2 D R F' U' F' B
B2 D R F' U' B F'
F' D R B F' L2 F'
F' D R B F2 L2 D
F' D R B F2 L2 D'
F' D R B F2 L2 D2
F' D R B' L2 F2 B2
F' D R B' L2 B2 F2
F' D R B' F2 L2 B2
R F D F2 L2 B R
R F D F2 B L2 R
R F D F2 B R L2
R F D B F2 L2 R
R F D B F2 R L2
F' D R' F2 L2 R2 B'
F' D R' F2 L2 B' R2
F' D R' F2 R2 L2 B'
F' D R2 L2 F2 R' B
F D R F2 L2 B R
F D R F2 B L2 R
F D R F2 B R L2
F D R B F2 L2 R
F D R B F2 R L2
F' D R2 F2 L2 R' B
F' D R2 F2 R' L2 B
F' D R2 F2 R' B L2
F D R' F2 L2 R B'
F D R' F2 L2 B' R
F D R' F2 R L2 B'
F2 D F R F L2 B
F2 D F R F B L2
F2 D F R B F L2
D F' L2 D' F' R B
F D F' L2 F' R B
R2 F' R D F2 L2 B'
U F' L2 B2 R' U' R2
F' D B L2 R F2 B
F' D B L2 R B F2
F' D B R L2 F2 B
F' D B R L2 B F2
F' D B R F2 L2 B
F' D B R F2 B L2
F' D B R B L2 F2
F' D B R B F2 L2
R F' L2 B2 U' R B'
R F' L2 B2 U' B' R
F D F2 L' R B L'
F D F2 L2 R D B
F D F2 L2 R D' B
F D F2 L2 R D2 B
F D F2 L2 R B D
F D F2 L2 R B D'
F D F2 L2 R B D2
F D F2 L2 D R B
F D F2 L2 D' R B
F D F2 L2 D2 R B
F D F2 L2 B R B
F D F2 L2 B' R B
F D F2 L2 B2 R B
F D F2 R L' B L'
F D F2 R L2 D B
F D F2 R L2 D' B
F D F2 R L2 D2 B
F D F2 R L2 B D
F D F2 R L2 B D'
F D F2 R L2 B D2
F D F2 R B L2 D
F D F2 R B L2 D'
F D F2 R B L2 D2
F D F2 R B' L2 B2
L2 F' R' B2 U' R2 B
F' D B' L2 R F2 B
F' D B' L2 R B F2
F' D B' R L2 F2 B
F' D B' R L2 B F2
F' D B' R F2 L2 B
F' D B' R F2 B L2
F' D B' R B L2 F2
F' D B' R B F2 L2
F D F2 B L2 R B
F D F2 B R L2 B
F D F2 B R B L2
F D F2 B' L2 R B
F D F2 B' R L2 B
F D F2 B' R B L2
F D F2 B2 L2 R B
F D F2 B2 R L2 B
F D F2 B2 R B L2
F' D B2 L2 R F2 B
F' D B2 L2 R B F2
F' D B2 R L2 F2 B
F' D B2 R L2 B F2
F' D B2 R F2 L2 B
F' D B2 R F2 B L2
F' D B2 R B L2 F2
F' D B2 R B F2 L2
R' F' U' L2 B2 U' R
F D B F2 L2 R B
F D B F2 R L2 B
F D B F2 R B L2
R' F' U' B2 L2 U' R
R' F' U2 R D L2 F2
R' F' U2 R D F2 L2
F D B' F2 L2 R B
F D B' F2 R L2 B
F D B' F2 R B L2
R' F' U2 D L2 R F2
R' F' U2 D R L2 F2
R' F' U2 D R F2 L2
F D B2 F2 L2 R B
F D B2 F2 R L2 B
F D B2 F2 R B L2
L' F' D L2 R F' B
L' F' D L2 R B F'
L' F' D R L2 F' B
L' F' D R L2 B F'
R' F' D U2 L2 R F2
R' F' D U2 R L2 F2
R' F' D U2 R F2 L2
L' F' D R F' L2 B
L' F' D R F' B L2
L' F' D R B L2 F'
L' F' D R B F' L2
R' F' D' R2 B2 L U2
R' F' D' B2 R2 U2 R'
F' D' R D2 F2 L' B
F' D' R D2 F2 B L'
F' D' R D2 B F2 L'
R F' D L2 B R F2
R F' D B L2 R F2
R F' D B R L2 F2
R F' D B R F2 L2
L2 F' B2 R' U' R2 B
L2 F' B2 R2 U' R' B
D F2 L2 D R B R'
D2 F2 R2 U R' B R'
D2 F2 R2 U B R' B
D2 F2 R2 B U R' B
F' D' B2 R2 U2 R' B
F' D2 R2 F2 U R' B
