U L U2 F' B U
U L U2 B F' U
R2 L F' B U' B'
R2 L B F' U' B'
L R2 F' B U' B'
L R2 B F' U' B'
R2 U L F' B U'
R2 U L B F' U'
R2 U F' L B U'
L U' F' B U F
L U' B F' U F
R2 F' L B U' B'
U' F' B2 R' B' U
B D2 F' R U B'
U' B D2 F' R U
B2 F' R' B' U B'
F' B2 R' B' U B'
U' B2 F' R' B' U
D' L R2 F' B U' B'
D2 L R2 F' B U' B'
D L R2 F' B U' B'
D' L R2 B F' U' B'
D2 L R2 B F' U' B'
U L R2 F' B R2 U'
D L R2 B F' U' B'
U L R2 B F' R2 U'
R2 L D F' B U' B'
R2 L D B F' U' B'
D' L U' F' B U F
D2 L U' F' B U F
D L U' F' B U F
D' L U' B F' U F
D2 L U' B F' U F
F L U' F2 B U F2
D L U' B F' U F
F L U' B F2 U F2
U' L U2 L' F' B U
U' L U2 L' B F' U
R2 L D' F' B U' B'
R2 L D' B F' U' B'
U L U2 D F' B U
U L U2 D B F' U
U L U2 D' F' B U
U2 L U2 F' B U B'
U L U2 D' B F' U
U L U2 D2 F' B U
U' L U2 B L' F' U
U L U2 D2 B F' U
U2 L U2 B F' U B'
U L U2 F' D B U
U L U2 F' D' B U
U L U2 F' D2 B U
U L U2 F' B U D
U L U2 F' B U D'
U L U2 F' B U D2
U L U2 F' B D U
U L U2 F' B D' U
U L U2 F' B D2 U
U L U2 B D F' U
U L U2 B D' F' U
U L U2 B D2 F' U
U L U2 B F' U D
U L U2 B F' U D'
U L U2 B F' U D2
U L U2 B F' D U
U L U2 B F' D' U
U L U2 B F' D2 U
R2 L D2 F' B U' B'
R2 L D2 B F' U' B'
U L D U2 F' B U
U L D U2 B F' U
U L D' U2 F' B U
U L D' U2 B F' U
R2 L F' D B U' B'
R2 L F' D' B U' B'
R2 L F' D2 B U' B'
R2 L F' B R U' B'
R2 L F' B R' U' B'
R2 L F' B R2 U' B'
R2 L F' B U' D B'
R2 L F' B U' D' B'
R2 L F' B U' D2 B'
R2 L F' B U' B' D
R2 L F' B U' B' D'
R2 L F' B U' B' D2
R2 L F' B D U' B'
R2 L F' B D' U' B'
R2 L F' B D2 U' B'
U L D2 U2 F' B U
U L D2 U2 B F' U
R2 L B R U' B' R'
U L F U2 F2 B U
U L F U2 B F2 U
R2 L B D F' U' B'
R2 L B D' F' U' B'
R2 L B D2 F' U' B'
R2 L B F' R U' B'
R2 L B F' R' U' B'
R2 L B F' R2 U' B'
R2 L B F' U' D B'
R2 L B F' U' D' B'
R2 L B F' U' D2 B'
R2 L B F' U' B' D
R2 L B F' U' B' D'
R2 L B F' U' B' D2
R2 L B F' D U' B'
R2 L B F' D' U' B'
R2 L B F' D2 U' B'
U L F2 U2 F B U
U L F2 U2 B F U
R2 L' U L2 F' B U'
R2 L' U L2 B F' U'
R2 L' U F' L2 B U'
