B R U L B' U
B L R U B' U B
B L B' U' B R U2
B L' R U L2 B' U
B R L U B' U B
B R L' U L2 B' U
B R U L D B' U
B R U L D' B' U
B R U L D2 B' U
B R U L B' U D
B R U L B' U D'
B R U L B' U D2
B R U L B' D U
B R U L B' D' U
B R U L B' D2 U
L2 U B L R U2 B
L2 U B R L U2 B
B R F U L B' U
B R F' U L B' U
B R F2 U L B' U
B2 R B' U L B' U
B U L F2 B' U L'
B U L B' U' R U2
B U L B' F2 U L'
D' U B R U2 B R2
B U F2 L B' U L2
U D' B R U2 B R2
B2 D' R F' B' L U2
B2 D' R B' L F' U2
B2 D' R B' F' L U2
B2 D' B' L R F' U2
B2 D' B' R L F' U2
B2 D' B' R F' L U2
D' B R U L U R2
L B R U L B2 U
U B R U2 D' B R'
U B R D' U2 B R'
U B D' R U2 B R'
F' B U L F B' U
F' B U L B' F U
F2 B U L B' U L2
B F' U L F B' U
B F' U L B' F U
B F2 U L B' U L2
R2 B2 D L F' R B'
R2 B2 D L F' B' R
R2 B2 D L B' F' R
R2 B2 D F' L R B'
R2 B2 D F' L B' R
R2 B2 D F' R L B'
