D2 L' U' F' R2 B'
D2 L' U' F' B' R2
D2 L' U' B' F' R2
F L' U' F2 R B'
F L' U' F2 B' R
F L' U' B' F2 R
D L' F2 U' F B'
D L' F2 U' B' F
L U F L U2 F2
L' U' F2 R F B'
L' U' F2 R B' F
L' U' F2 B' R F
L U' F' D2 B2 R'
L' U' B' F2 R F
L' F2 U' R F B'
L' F2 U' R B' F
L' F2 U' B' R F
R2 L U F L B U2
D2 L U F U2 R2 F2
D2 L U F U2 F2 R2
F2 L U F L B' U2
D2 L U' F' R2 D2 B2
D2 L U' F2 R2 F B
D2 L U' F2 R2 B F
D2 L F2 U' R2 F B
D2 L F2 U' R2 B F
D L F2 R2 U' F B
D L F2 R2 U' B F
D L F2 U F' U2 F2
D L F2 U' F D2 B2
R2 L' U B L' U2 B2
R' L' U' F2 R F' B'
R' L' U' F2 R B' F'
L' R' U' F2 R F' B'
L' R' U' F2 R B' F'
R' L' U' F2 B' R F'
L' R' U' F2 B' R F'
R' L' U' B' F2 R F'
L' R' U' B' F2 R F'
F' L B2 R' D L2 B'
R2 L' U' B' D2 F2 R
F' L B2 D L2 R' B'
F' L B2 D R' L2 B'
F L' R U' F2 R B'
F L' R U' F2 B' R
F L' R U' B' F2 R
F L' R' U' F2 R B'
F L' R' U' F2 B' R
F L' R' U' B' F2 R
F L' R2 U' F2 R B'
F L' R2 U' F2 B' R
F L' R2 U' B' F2 R
D2 L' U' R2 B' D2 F2
D' L' U' D' F' R2 B'
D' L' U' D' F' B' R2
D' L' U' D' B' F' R2
F L' U' R F2 R B'
F L' U' R F2 B' R
D2 L' U' F R2 F2 B'
D2 L' U' F R2 B' F2
F L' U' R B' F2 R
D2 L' U' F B' R2 F2
D2 L' U' F' R B' R
D2 L' U' F' R2 D B'
D2 L' U' F' R2 D' B'
D2 L' U' F' R2 D2 B'
D2 L' U' F' R2 B' D
D2 L' U' F' R2 B' D'
D2 L' U' F' R2 B' D2
F L' U' R' F2 R B'
F L' U' R' F2 B' R
F L' U' R' B' F2 R
D2 L' U' F' B R2 B2
D L' U' D F' R2 B'
D2 L' U' F' B' R2 D
D2 L' U' F' B' R2 D'
D2 L' U' F' B' R2 D2
D L' U' D F' B' R2
D L' U' D B' F' R2
D' L' U' F' D' R2 B'
D' L' U' F' D' B' R2
D2 L' U' F2 R2 F B'
D2 L' U' F2 R2 B' F
F L' U' R2 F2 R B'
F L' U' R2 F2 B' R
F L' U' R2 B' F2 R
D2 L' U' F2 B' R2 F
D2 L' U' B F' R2 B2
D2 L' U' B' F R2 F2
D2 L' U' B' F' R2 D
D2 L' U' B' F' R2 D'
D2 L' U' B' F' R2 D2
D2 L' U' B' F2 R2 F
F L' U' F2 R D B'
F L' U' F2 R D' B'
F L' U' F2 R D2 B'
F L' U' F2 R B' D
F L' U' F2 R B' D'
F L' U' F2 R B' D2
F L' U' F2 R' B' R2
F L' U' F2 D R B'
F L' U' F2 D B' R
F L' U' F2 D' R B'
F L' U' F2 D' B' R
F L' U' F2 D2 R B'
F L' U' F2 D2 B' R
F L' U' F2 B R B2
F L' U' F2 B' R D
F L' U' F2 B' R D'
F L' U' F2 B' R D2
F L' U' F2 B' D R
F L' U' F2 B' D' R
F L' U' F2 B' D2 R
D L' U' B' D F' R2
F L' U' B F2 R B2
F L' U' B' R F2 R
F L' U' B' R' F2 R
F L' U' B' R2 F2 R
F L' U' B' F2 R D
F L' U' B' F2 R D'
F L' U' B' F2 R D2
F L' U' B' F2 D R
F L' U' B' F2 D' R
F L' U' B' F2 D2 R
D' L' U2 B2 U F' B
D' L' U2 B2 U B F'
R' L' F2 U' R F' B'
R' L' F2 U' R B' F'
R' L' F2 U' B' R F'
L' R' F2 U' R F' B'
L' R' F2 U' R B' F'
L' R' F2 U' B' R F'
D L' D U' F' R2 B'
D L' D U' F' B' R2
D L' D U' B' F' R2
D' L' D' U' F' R2 B'
D' L' D' U' F' B' R2
D' L' D' U' B' F' R2
D2 L' D' F2 U' F B'
D2 L' D' F2 U' B' F
D' L' D2 F2 U' F B'
D' L' D2 F2 U' B' F
D2 L' F U' R2 F2 B'
D2 L' F U' R2 B' F2
D2 L' F U' F2 R2 B'
D2 L' F U' F2 B' R2
D2 L' F U' B' R2 F2
D2 L' F U' B' F2 R2
L' R2 U B L' U2 B2
L R2 U F L B U2
F L' F' U' F' R B'
F L' F' U' F' B' R
F L' F' U' B' F' R
D2 L' F2 U' R2 F B'
D2 L' F2 U' R2 B' F
D2 L' F2 U' F R2 B'
F' L' F2 U' R F2 B'
F' L' F2 U' R B' F2
D2 L' F2 U' F B' R2
D L' F2 R U' F B'
D L' F2 R U' B' F
D2 L' F2 U' B' R2 F
D2 L' F2 U' B' F R2
F' L' F2 U' B' R F2
D L' F2 R' U' F B'
D L' F2 R' U' B' F
D L' F2 R2 U' F B'
D L' F2 R2 U' B' F
L' R2 U' B' D2 F2 R
D L' F2 U' D F B'
D L' F2 U' D B' F
D L' F2 U' D' F B'
D L' F2 U' D' B' F
D L' F2 U' D2 F B'
D L' F2 U' D2 B' F
D L' F2 U' F D B'
D L' F2 U' F D' B'
D L' F2 U' F D2 B'
D L' F2 U' F B' D
D L' F2 U' F B' D'
D L' F2 U' F B' D2
D L' F2 U' B' D F
D L' F2 U' B' D' F
D L' F2 U' B' D2 F
D L' F2 U' B' F D
D L' F2 U' B' F D'
D L' F2 U' B' F D2
D L' F2 D U' F B'
D L' F2 D U' B' F
D L' F2 D' U' F B'
D L' F2 D' U' B' F
D L' F2 D2 U' F B'
D L' F2 D2 U' F B'
D L' F2 D2 U' B' F
U L2 U' L' U' F' B'
U L2 U' L' U' B' F'
U L2 U2 F' U' L' U
L' U L2 F L U2 F2
R2 U L2 B U L U
U L2 B U L U F'
L U D F L U2 F2
L U D' F L U2 F2
L U D2 F L U2 F2
F R L' U' F2 R B'
F R L' U' F2 B' R
F R L' U' B' F2 R
L' U F U2 F2 B' R'
L' U F U2 B' R' F2
L' U F U2 B' F2 R'
L U F L U2 F2 D
L U F L U2 F2 D'
L U F L U2 F2 D2
L U F L D2 B2 U2
L U F L B U2 F2
L U F L B' U2 F2
L U F L B2 U2 F2
L U F L2 U2 F2 R
L U F D2 L B2 U2
L U F D2 B2 U2 R'
L U F B2 U2 R' F2
L U F B2 U2 F2 R'
L U F' L F2 U2 F2
L' U F2 U2 R F B'
L' U F2 U2 R B' F
L' U F2 U2 B' R F
L' U B L' U2 F' B2
L' U B L' U2 B2 F'
R2 U B L2 U L' U
L' U B2 L' U2 F' B
L' U B2 L' U2 B F'
L U B2 F U2 R' F2
L U B2 F U2 F2 R'
L2 U' L U' B' L' F'
L' U' L' U2 L F' B'
L' U' L' U2 L B' F'
L' U' L' U2 F' L B'
L' U' R' F2 R F' B'
L' U' R' F2 R B' F'
L' U' R' F2 B' R F'
L' U' R' B' F2 R F'
L' U' R2 B' D2 F2 R
L' U' D F2 R F B'
L' U' D F2 R B' F
L' U' D F2 B' R F
L' U' D B' F2 R F
L U' D F' D2 B2 R'
L' U' D' F2 R F B'
L' U' D' F2 R B' F
L' U' D' F2 B' R F
L' U' D' B' F2 R F
L U' D' F' D2 B2 R'
L' U' D2 F2 R F B'
L' U' D2 F2 R B' F
L' U' D2 F2 B' R F
L' U' D2 B' F2 R F
L U' D2 F' D2 B2 R'
L U' F L U2 L' F2
F R' L' U' F2 R B'
F R' L' U' F2 B' R
F R' L' U' B' F2 R
L' U' F' D2 B R' B2
L' U' F' B2 D2 B R'
L U' F' R D2 B2 R'
L U' F' R' D2 B2 R'
L U' F' R2 D2 B2 R'
L' U' F2 R D F B'
L' U' F2 R D B' F
L' U' F2 R D' F B'
L' U' F2 R D' B' F
L' U' F2 R D2 F B'
L' U' F2 R D2 B' F
L' U' F2 R F D B'
L' U' F2 R F D' B'
L' U' F2 R F D2 B'
L' U' F2 R F B' D
L' U' F2 R F B' D'
L' U' F2 R F B' D2
L' U' F2 R B' D F
L' U' F2 R B' D' F
L' U' F2 R B' D2 F
L' U' F2 R B' F D
L' U' F2 R B' F D'
L' U' F2 R B' F D2
L' U' F2 R' F R2 B'
L' U' F2 R' F B' R2
L' U' F2 R' B' R2 F
L' U' F2 R' B' F R2
L U' F' U2 L F2 U2
L' U' F2 R2 F R' B'
L U' F' U2 F2 L U2
L U' F' D2 R B2 R'
L U' F' D2 R' B2 R'
L U' F' D2 R2 B2 R'
L' U' F2 D R F B'
L' U' F2 D R B' F
L U' F' D2 B2 R' D
L U' F' D2 B2 R' D'
L U' F' D2 B2 R' D2
L U' F' D2 B2 D R'
L U' F' D2 B2 D' R'
L U' F' D2 B2 D2 R'
L' U' F2 D B' R F
L' U' F2 D' R F B'
L' U' F2 D' R B' F
L' U' F2 D' B' R F
L' U' F2 D2 R F B'
L' U' F2 D2 R B' F
L U' F' B2 R' D2 B2
L' U' F2 D2 B' R F
L U' F' B2 D2 R' B2
L' U' F2 B R F B2
L' U' F2 B R B2 F
L' U' F2 B' R D F
L' U' F2 B' R D' F
L' U' F2 B' R D2 F
L' U' F2 B' R F D
L' U' F2 B' R F D'
L' U' F2 B' R F D2
L' U' F2 B' R' F R2
L' U' F2 B' R2 F R'
L' U' F2 B' D R F
L' U' F2 B' D' R F
L' U' F2 B' D2 R F
L' U' B F2 R F B2
L' U' B F2 R B2 F
L' U' B' R' F2 R F'
L' U' B' U2 L' U2 F'
L' U' B' D F2 R F
L' U' B' D' F2 R F
L' U' B' D2 F2 R F
L' U' B' F2 R D F
L' U' B' F2 R D' F
L' U' B' F2 R D2 F
L' U' B' F2 R F D
L' U' B' F2 R F D'
L' U' B' F2 R F D2
L' U' B' F2 R' F R2
L' U' B' F2 R2 F R'
L' U' B' F2 D R F
L' U' B' F2 D' R F
L' U' B' F2 D2 R F
L' U' B2 F' D2 B R'
L U' B2 F' R' D2 B2
L U' B2 F' D2 R' B2
F R2 L' U' F2 R B'
F R2 L' U' F2 B' R
F R2 L' U' B' F2 R
L2 U2 F' L D' B' L
L' D U' F2 R F B'
L' D U' F2 R B' F
L' D U' F2 B' R F
L' D U' B' F2 R F
L D U F L U2 F2
L D U' F' D2 B2 R'
F2 U L2 B' U' R' U'
L' D F2 U' R F B'
L' D F2 U' R B' F
L' D F2 U' B' R F
L' D' U' F2 R F B'
L' D' U' F2 R B' F
L' D' U' F2 B' R F
L' D' U' B' F2 R F
L D' U F L U2 F2
L D' U' F' D2 B2 R'
L' D' F2 U' R F B'
L' D' F2 U' R B' F
L' D' F2 U' B' R F
D' U' F' U' L' B2 U
U' D' F' U' L' B2 U
D2 U' F' R2 U' L' U
D' U' F' U' B2 L' U
U' D' F' U' B2 L' U
D2 U' F' U' L' U R2
R' D2 L' U' R2 F B'
R' D2 L' U' R2 B' F
R' D2 L' U' F R2 B'
R' D2 L' U' F B' R2
R' D2 L' U' B' R2 F
R' D2 L' U' B' F R2
R2 D2 L' U' R2 F' B'
R2 D2 L' U' R2 B' F'
L' D2 U' F2 R F B'
L' D2 U' F2 R B' F
L' D2 U' F2 B' R F
L' D2 U' B' F2 R F
L D2 U F L U2 F2
L D2 U' F' D2 B2 R'
U' D2 F' R2 U' L' U
U' D2 F' U' L' U R2
L' D2 F2 U' R F B'
L' D2 F2 U' R B' F
L' D2 F2 U' B' R F
D2 F L U' F2 R2 B
L2 F L U' F2 R B'
L2 F L U' F2 B' R
L2 F L U' B' F2 R
D2 F L' U' R2 F2 B'
D2 F L' U' R2 B' F2
D2 F L' U' F2 R2 B'
D2 F L' U' F2 B' R2
D2 F L' U' B' R2 F2
D2 F L' U' B' F2 R2
L F L U2 F2 D' L2
F' D L' F2 U' F2 B'
F' D L' F2 U' B' F2
F D R F2 L' U' B'
U' F' L D' B2 L' R'
U' F' L D' B2 R' L'
D F' L' F' U' F B'
D F' L' F' U' B' F
F' D F2 L' U' F2 B'
F' D F2 L' U' B' F2
F2 D F2 L' U' F' B'
F2 D F2 L' U' B' F'
U' F' U D F2 R U'
U' F' U' L' U' L' U2
U' F' U' D' L' B2 U
U' F' U' D' B2 L' U
U' F' U' D2 L' U R2
U' F' U2 L2 U L U
U' F' D U F2 R U'
U' F' D' U' L' B2 U
U' F' D' U' B2 L' U
U' F' D2 R2 U' L' U
U' F' D2 U' L' U R2
L F' D2 B2 R' D L2
L F' D2 B2 D L2 R'
L F' D2 B2 D R' L2
L' F2 R' U' R2 F B'
L' F2 R' U' R2 B' F
L' F2 R' U' F R2 B'
L' F2 R' U' F B' R2
L' F2 R' U' B' R2 F
L' F2 R' U' B' F R2
U F2 L2 B' U' R' U'
L' F2 R2 U' R' F B'
L' F2 R2 U' R' B' F
