F L D B' L U F2
R' L' F L' B' U' B2
L' R' F L' B' U' B2
F' R F2 L2 U B' R'
F R' U2 L' F U' B
F' R' D' L2 F2 B R'
F' R' D' L2 B R' F2
F' R' D' L2 B F2 R'
F' R' D' F2 L2 B R'
F' R' D' F2 B L2 R'
F' R' D' F2 B R' L2
F' R' D' B L2 R' F2
F' R' D' B L2 F2 R'
F' R' D' B R' L2 F2
F' R' D' B R' F2 L2
F' R' D' B F2 L2 R'
F' R' D' B F2 R' L2
F R2 U2 L' F U' B'
F U2 L' R' F U' B
F U2 L' F R' U' B
F U2 R' L' F U' B
L2 D2 B' L F U' B'
L' F L' R' B' U' B2
D' F L' B U R' F
D' F L' B U F R'
L' F L' B' R' U' B
L' F R' L' B' U' B2
R' F U2 L' F U' B
R2 F U2 L' F U' B'
D' F B L' U R' F
D' F B L' U F R'
D' B F L' U R' F
D' B F L' U F R'
