R2 F' B' L' U'
R2 B' F' L' U'
R2 L F' L' B' U'
L R2 F' L' B' U'
D2 L2 F B R U
D2 L2 B F R U
F' R2 B' L' F' U'
R2 D F' B' L' U'
R2 D B' F' L' U'
R2 D' F' B' L' U'
R2 D' B' F' L' U'
R2 D2 F' B' L' U'
R2 D2 B' F' L' U'
R2 F' D B' L' U'
R2 F' D' B' L' U'
R2 F' D2 B' L' U'
R2 F' B L' B2 U'
R2 F' B' L' U' D
R2 F' B' L' U' D'
R2 F' B' L' U' D2
R2 F' B' L' D U'
R2 F' B' L' D' U'
R2 F' B' L' D2 U'
R2 F' B' D L' U'
R2 F' B' D' L' U'
R2 F' B' D2 L' U'
R2 F' B2 L' B U'
R2 B F' L' B2 U'
R2 B' L F' L' U'
R2 B' L' F' L' U'
R2 B' L2 F' L' U'
R B' R F' L' U'
R2 B' D F' L' U'
R2 B' D' F' L' U'
R2 B' D2 F' L' U'
R2 B' F' L' U' D
R2 B' F' L' U' D'
R2 B' F' L' U' D2
R2 B' F' L' D U'
R2 B' F' L' D' U'
R2 B' F' L' D2 U'
R2 B' F' D L' U'
R2 B' F' D' L' U'
R2 B' F' D2 L' U'
R2 B2 F' L' B U'
R2 L D F' L' B' U'
R2 L D' F' L' B' U'
R2 L D2 F' L' B' U'
R2 L F' L' D B' U'
R2 L F' L' D' B' U'
R2 L F' L' D2 B' U'
R2 L F' L' B' U' D
R2 L F' L' B' U' D'
R2 L F' L' B' U' D2
R2 L F' L' B' D U'
R2 L F' L' B' D' U'
R2 L F' L' B' D2 U'
R2 L F' D L' B' U'
R2 L F' D' L' B' U'
R2 L F' D2 L' B' U'
R2 L F' B L' B' U'
R2 L F' B' L' B' U'
R2 L F' B2 L' B' U'
R2 L B F' L' B' U'
R2 L B' F' L' B' U'
R2 L B2 F' L' B' U'
D L B U B L F
R2 L' F' L B' L2 U'
R2 L' F' L' U2 F U
D2 L' B L' F R U
L R2 D F' L' B' U'
L R2 D' F' L' B' U'
L R2 D2 F' L' B' U'
D2 L2 R' F R B U
L' R2 F' L B' L2 U'
L' R2 F' L' U2 F U
L2 R2 F' L' U' D' L2
L2 R2 F' L' U2 F2 U
L2 R2 F' L' D' U' L2
L2 R2 F' L' D2 B2 U'
R2 L2 F' L' U' D' L2
R2 L2 F' L' U2 F2 U
R2 L2 F' L' D' U' L2
R2 L2 F' L' D2 B2 U'
L R2 F' L' D B' U'
L R2 F' L' D' B' U'
L R2 F' L' D2 B' U'
L R2 F' L' B' U' D
L R2 F' L' B' U' D'
L R2 F' L' B' U' D2
L R2 F' L' B' D U'
L R2 F' L' B' D' U'
L R2 F' L' B' D2 U'
L2 R2 F' U2 F2 R U
R2 L2 F' U2 F2 R U
L2 R2 F' D' L' U' L'
L R2 F' D L' B' U'
R2 L2 F' D' L' U' L'
L2 R2 F' D2 L' B2 U'
L R2 F' D' L' B' U'
R2 L2 F' D2 L' B2 U'
L2 R2 F' D2 B2 L' U'
R2 L2 F' D2 B2 L' U'
L R2 F' D2 L' B' U'
L R2 F' B L' B' U'
L R2 F' B' L' B' U'
L R2 F' B2 L' B' U'
L R2 B F' L' B' U'
D2 L2 D F B R U
L R2 B' F' L' B' U'
D2 L2 D B F R U
D2 L2 D' F B R U
D2 L2 D' B F R U
L R2 B2 F' L' B' U'
D2 L2 D2 F B R U
D2 L2 D2 B F R U
D2 L2 F D B R U
D2 L2 F D' B R U
D2 L2 F D2 B R U
D2 L2 F B R U D
D2 L2 F B R U D'
D2 L2 F B R U D2
D2 L2 F B R D U
D2 L2 F B R D' U
D2 L2 F B R D2 U
D2 L2 F B D R U
D2 L2 F B D' R U
D2 L2 F B D2 R U
D2 L2 F B' R B2 U
D2 L2 F B2 R B' U
D2 L2 B R F R U
D2 L2 B R' F R U
D2 L2 B R2 F R U
D2 L2 B D F R U
D2 L2 B D' F R U
D2 L2 B D2 F R U
D2 L2 B F R U D
D2 L2 B F R U D'
D2 L2 B F R U D2
D2 L2 B F R D U
D2 L2 B F R D' U
D2 L2 B F R D2 U
D2 L2 B F D R U
D2 L2 B F D' R U
D2 L2 B F D2 R U
D2 L2 B' F R B2 U
D2 L2 B2 F R B' U
F R U2 R F' B' U'
F R U2 R B' F' U'
F R U2 B' R F' U'
R' U' R' B' U' F' R'
F' R B' L' R F' U'
F' R B' R L' F' U'
D2 R' L2 F R B U
B' R' D' R' U' R' F'
D R' B' U' B' R' F'
B' R2 U' R D' R2 F'
B' R2 U' R' D' F' R2
B' R2 U' R' F' D' R2
B' R2 U' D' R' F' R'
B' R2 U2 B' R' B' U
B2 R2 U2 F' B' R' U
B2 R2 U2 B' F' R' U
U' R2 D F' B' L U'
U' R2 D B' L F' U'
F' R2 D B' L' F' U'
U' R2 D B' F' L U'
B' R2 D' U' R' F' R'
B' R2 D' F' L' U' R2
F' R2 D' B' L' F' U'
B' R2 D2 F' L' F' U'
R2 D L F' L' B' U'
F' R2 D2 B' L' F' U'
F2 R2 D2 F' B' L U'
F2 R2 D2 B' L F' U'
F2 R2 D2 B' F' L U'
B' R2 F U2 R B2 U
B' R2 F U2 B2 R U
B' R2 F D2 F2 L' U'
B' R2 F' L' U' D' R2
B' R2 F' L' U2 B2 U
B' R2 F' L' D' U' R2
B' R2 F' L' D2 F2 U'
F2 R2 F B' L' F2 U'
U' R2 F' D B' L U'
B' R2 F' D' L' U' R2
B' R2 F' D2 L' F2 U'
F' R2 F' D2 B' L U'
F2 R2 F' B' U2 R U
U2 R2 F' B L B2 U'
U2 R2 F' B' U2 R' U
R' D R' F' B' L' U'
F R2 F' B2 L B U'
U R2 F' B' L U' F
F' R2 B L' F' B2 U'
F' R2 B L' B2 F' U'
R' D R' B' F' L' U'
U2 R2 B L F' B2 U'
U2 R2 B L B2 F' U'
F' R2 B' L F' L2 U'
F' R2 B' L' D F' U'
F' R2 B' L' D' F' U'
F' R2 B' L' D2 F' U'
F' R2 B' L' F' U' D
F' R2 B' L' F' U' D'
F' R2 B' L' F' U' D2
F' R2 B' L' F' D U'
F' R2 B' L' F' D' U'
F' R2 B' L' F' D2 U'
F' R2 B' L2 F' L U'
U2 R2 B F' L B2 U'
F' R2 B' D L' F' U'
F' R2 B' D' L' F' U'
F' R2 B' D2 L' F' U'
F' R2 B2 L' F' B U'
F' R2 B2 L' B F' U'
F2 R2 B' F L' F2 U'
F2 R2 B' F' U2 R U
U R2 B' L F' U' F2
U2 R2 B' F' U2 R' U
U R2 B' F' L U' F
F R2 B2 L F' B U'
F R2 B2 L B F' U'
F R2 B2 F' L B U'
B U L D F L2 B2
B U L D F B2 L2
B U L D B2 F L2
B U L F D L2 B2
B U L F D B2 L2
B U L' D L2 F B2
B U L' D L2 B2 F
R2 D F' D B' L' U'
R2 D F' D' B' L' U'
R2 D F' D2 B' L' U'
R2 D F' B L' B2 U'
R2 D F' B' L' U' D
R2 D F' B' L' U' D'
R2 D F' B' L' U' D2
R2 D F' B' L' D U'
R2 D F' B' L' D' U'
R2 D F' B' L' D2 U'
R2 D F' B' D L' U'
R2 D F' B' D' L' U'
R2 D F' B' D2 L' U'
