B D' R2 U B' L
B' L' U F B2 U B'
B' L' U B2 F U B'
D L2 R2 F L' D R2
D L2 R2 F D L' R2
D L2 R2 F D R2 L'
B' L2 U B2 U B' L
U2 L2 U B U F L
B L2 U' F R B2 U2
B L2 U' F B2 R U2
D L2 U' B U F L'
B L2 U' B2 F R U2
D L2 F L' U' B U
D L2 F U' B U L'
D L2 B U F B' L'
D L2 B U B' F L'
L U B' U2 R' B2 U
B R D' R2 U B' L
L' U' D' F B R' U
L' U' D' B R' F U
L' U' D' B F R' U
L' U' F D' B R' U
L2 U' F' B U L' F2
L2 U' B F' U L' F2
B R' D' R2 U B' L
D R2 L2 F L' D R2
D R2 L2 F D L' R2
D R2 L2 F D R2 L'
B' R2 D L2 F' R U2
B' R2 D F' L2 R U2
B' R2 D F' R L2 U2
B R2 D' R2 U B' L
R2 D L2 F L' D R2
R2 D L2 F D L' R2
R2 D L2 F D R2 L'
B' U L' F B2 U B'
B' U L' B2 F U B'
B U D' B' L D' F2
B U D' B' D' L F2
B U D' B' D' F2 L
B U D2 F2 D B' L
B' U B2 U D' B' L
B U B' D L2 F L'
B' U B2 D' U B' L
L' D' U' F B R' U
L' D' U' B R' F U
L' D' U' B F R' U
L' D' F B R' U B'
L' D' B R' F U B'
L' D' B F R' U B'
U' D' B U' R' B2 U2
D' U' B U' R' B2 U2
D' U' B U' B2 U2 L
U' D' B U' B2 U2 L
U2 D' B' U2 L D' R2
U2 D' B' U2 D' L R2
U2 D' B' U2 D' R2 L
U2 D' B' D L2 U2 L'
U2 D' B' D' U2 L R2
U2 D' B' D' U2 R2 L
D' U2 B' U2 L D' R2
D' U2 B' U2 D' L R2
D' U2 B' U2 D' R2 L
D' U2 B' D L2 U2 L'
D' U2 B' D' U2 L R2
D' U2 B' D' U2 R2 L
B' U2 D' B' L R2 B2
B' U2 D' B' L B2 R2
B' U2 D' B' R2 L B2
L2 F L U' F B U
L2 F L U' B F U
L' F L' B U F B'
L' F L' B U B' F
L2 F U' F' B U L'
L2 F U' B F' U L'
B' D L2 R2 F' R U2
B' D L2 F U2 L' B
B' D L2 F U2 B L'
R2 F D L2 R2 F L'
B' D L2 F2 U2 B L
R2 F D L2 F L' R2
R2 F D L2 F R2 L'
R2 F D R2 L2 F L'
L' F D' B R' U B'
B' D R2 L2 F' R U2
B' D R2 F' L2 R U2
B' D R2 F' R L2 U2
B' D F L2 U2 L B
B' D F2 L2 U2 B L
B D' R2 U B' L D
B D' R2 U B' L D'
B D' R2 U B' L D2
B D' R2 U B' D L
B D' R2 U B' D' L
B D' R2 U B' D2 L
B D' R2 F U B' L
B D' R2 F' U B' L
B D' R2 F2 U B' L
B D' U B' L D' F2
B D' U B' D' L F2
B D' U B' D' F2 L
B' D' U2 B' L R2 B2
B' D' U2 B' L B2 R2
B' D' U2 B' R2 L B2
B D' F R2 U B' L
B D' F' R2 U B' L
B D' F2 R2 U B' L
B' D' B' L R2 F' B2
B' D' B' L R2 B2 F'
B' D' B' R2 L F' B2
B' D' B' R2 L B2 F'
B' D' B' R2 F' L B2
B D2 R F' U F' B'
B D2 R F' U B' F'
B D2 U F2 D B' L
D' B U' R' B2 U2 B
L2 B U F B L B2
L2 B U B F L B2
D' B U' B2 U2 L B
D B U D2 F2 B' L
D B U D2 B' L F2
D B U D2 B' F2 L
D B U B' L2 F L'
U' B D2 R F' U F'
D B D2 U F2 B' L
D B D2 U B' L F2
D B D2 U B' F2 L
U2 B' L' U F B2 U
U2 B' L' U B2 F U
F' B D' R2 U B' L
F2 B D' R2 U B' L
B F D' R2 U B' L
F B D' R2 U B' L
D' B' U2 L D' B R2
D' B' U2 D' L B R2
D' B' D L2 U2 L' B
D' B' D L2 U2 B L'
D' B' D' U2 L B R2
B F' D' R2 U B' L
B F2 D' R2 U B' L
