B R F L' U L
D' L B R U L' B2
D' L B R U B2 L'
B L' R U D' L B'
B L' R D' U L B'
B L' R F L' U L2
B L' D' R U L B'
B L2 R F L' U L'
R U R F' R U' F
B R L' U D' L B'
B R L' D' U L B'
B R L' F L' U L2
B R L2 F L' U L'
R2 U F' R U' D' F2
R2 U F' R U2 R2 U
R2 U F' R D' U' F2
R2 U F' R D2 L2 U'
U' R U D R' B R'
U' R U D B R' B
R U F' R F' U' F2
U' R U2 R F' R U'
U' R U2 F' R F' U'
U' R D U R' B R'
U' R D U B R' B
U' R D B U R' B
B R D' L U B' L'
U' R D2 L B' L U
U' R D2 B' L B' U
B2 R D2 B' L U L'
B R F L' U L D
B R F L' U L D'
B R F L' U L D2
B R F L' U D L
B R F L' U D' L
B R F L' U D2 L
B R F L' D U L
B R F L' D' U L
B R F L' D2 U L
B R F L' F U L
B R F L' F' U L
B R F L' F2 U L
B' R F B2 L' U L
B2 R F B' L' U L
B R F D L' U L
B R F D' L' U L
B R F D2 L' U L
B R F2 L U L' B'
B2 R B' F L' U L
B' R B2 F L' U L
B R' F L' R2 U L
B R' F R2 L' U L
F2 R2 U L' F' U' B'
B R2 F L' R' U L
B R2 F R' L' U L
F' R2 F' L' R' U' L
F' R2 F' R' L' U' L
U R2 F' R U' D' F2
U R2 F' R U2 R2 U
U R2 F' R D' U' F2
U R2 F' R D2 L2 U'
R D R' B R' D' F2
F2 U L' R' U' B' R'
F2 U L' R2 F' U' B'
F2 U L' U' B' D' R2
F2 U L' U2 B U B2
F2 U R' L' U' B' R'
F2 U R2 L' F' U' B'
U' D B R U' F' U2
B U F' R U' R' F'
D' U' L B R U B2
U' D' L B R U B2
F U' L' D2 B R' U
B2 U' R D2 B' L U
D' U' B L R U B'
U' D' B L R U B'
U' D' B R L U B'
D' U' B R L U B'
D2 U' B R U D B2
D2 U' B R U2 R2 U'
D2 U' B R D U B2
D2 U' B R D2 L2 U
D2 U' B' L R B2 U
D2 U' B' L B2 R U
D2 U' B' R L B2 U
D U' B R U' F' U2
B2 U' D2 R B' L U
F U' D' L' B U F
B2 U' D2 B' L R U
B2 U' D2 B' R L U
F U' D' B L' U F
F U' D2 L' B R' U
R D2 L B' L U L2
F U' D2 B L' R' U
F U' D2 B R' L' U
F2 U' B U2 L' U' B'
F U' B D' L' U F
U' D2 B R U D B2
U' D2 B R U2 R2 U'
U' D2 B R D U B2
U' D2 B R D2 L2 U
U' D2 B' L R B2 U
U' D2 B' L B2 R U
U' D2 B' R L B2 U
R D2 B' L B' U L'
U' F L' F' B R U
U' F L' B F' R U
U' F B L' F' R U
B2 D R' B D' R2 F2
B2 D R' B D' F2 R2
R2 F' R D2 L2 U' L2
U F' R2 F' L' R' U'
U F' R2 F' R' L' U'
R F' U R F' U' F
B D' L R U B' L'
B D' R L U B' L'
R2 F' B2 L R U' L'
R2 F' B2 R L U' L'
F D' U' L' B U F
F D' U' B L' U F
U F2 L' U2 B L U
F D' B L' U F L
B2 D2 R B' L U L'
D' B L R U B' L'
B2 D2 U' R B' L U
B2 D2 U' B' L R U
B2 D2 U' B' R L U
F D2 U' L' B R' U
F D2 U' B L' R' U
F D2 U' B R' L' U
D' B R L U B' L'
U' B R D' L U B'
U' B R F L' F' U
D2 B R D2 L2 U L2
U B L2 R F L' U
L2 B R F L' U L'
U' B R2 D R' U B
U B R L2 F L' U
B2 D2 B' L R U L'
B2 D2 B' R L U L'
F D2 B L' R' U L
F D2 B R' L' U L
U' B D R U' F' U2
U' B D' L R U B'
U' B D' R L U B'
B F L' F' R U L
B F L' F2 U L F
F B L' F' R U L
F B L' F2 U L F
U' B F L' F' R U
D2 B' L R B2 U L'
D2 B' L B2 R U L'
D2 B' R L B2 U L'
B F D' L' U F L
F B D' L' U F L
D B' R' D' F2 B R2
D B' R' D' B R2 F2
D B' R' D' B F2 R2
D2 B' U' L R B2 U
D2 B' U' L B2 R U
D2 B' U' R L B2 U
U' B2 R D2 B' L U
D B2 R' B D' R2 F2
D B2 R' B D' F2 R2
R2 B2 U L F' R U'
R2 B2 U F' L R U'
R2 B2 U F' R L U'
U' B2 D2 R B' L U
U' B2 D2 B' L R U
U' B2 D2 B' R L U
R2 B2 F' L R U' L'
R2 B2 F' R L U' L'
