U' L' D' R2 F U
U' L' D' R2 F U
U' L' D' F R2 U
U' L' D2 F U F
U' L' F U D2 F2
U' L' F U' B2 U2
U' L' F D' R2 U
U' L' F D2 U F2
L' D' R2 F U R2
L' D' F R2 U R2
L' F D' R2 U R2
D' B' L D' F2 B2
D' B' L D' B2 F2
U2 B2 U L' F U
B' L U' L2 F R U
L' R D' F R2 U R
L' R D2 F U R' F
L' R D2 F U F R'
L' R F U R' D2 F2
L' R F U D2 R' F2
L' R F U D2 F2 R'
L' R F U' B2 L U2
L' R F D' R2 U R
L' R F D2 U R' F2
L' R F D2 U F2 R'
U L D2 R2 B' U' F2
U L D2 B' R2 U' F2
D2 L F D' F L' B2
D2 L F D' F B2 L'
D2 L F D' B2 F L'
D' L B D' F2 B2 L
D' L B D' B2 L F2
D' L B D' B2 F2 L
D' L B' D' L F2 B2
D' L B' D' L B2 F2
D' L B' D' F2 L B2
U L B' U2 L2 U F
U' L' R D' R2 F U
U' L' R D' F R2 U
D2 L' R F' U F' R'
U' L' R D2 F U F
U' L' R F U D2 F2
U' L' R F U' B2 U2
U' L' R F D' R2 U
U' L' R F D2 U F2
U' L' R' D' R2 F U
U' L' R' D' F R2 U
U' L' R' D2 F U F
U' L' R' F U D2 F2
U' L' R' F U' B2 U2
U' L' R' F D' R2 U
U' L' R' F D2 U F2
R' L' D' R2 F U R'
L' R' D' R2 F U R'
U' L' R2 D' R2 F U
U' L' R2 D' F R2 U
U' L' R2 D2 F U F
U' L' R2 F U D2 F2
U' L' R2 F U' B2 U2
U' L' R2 F D' R2 U
U' L' R2 F D2 U F2
R L' D' F R2 U R
D' L' R2 B' U L R2
D' L' R2 B' U R2 L
B L' R2 F U R2 F2
B L' R2 F U F2 R2
R L' D2 F U R' F
R L' D2 F U F R'
R2 L' F U R2 D2 F2
R2 L' F U' B2 U2 R2
R L' F U R' D2 F2
R L' F U D2 R' F2
R L' F U D2 F2 R'
R L' F U' B2 L U2
R L' F D' R2 U R
R2 L' F B U R2 F'
R L' F D2 U R' F2
R L' F D2 U F2 R'
U' L' U' B2 U F U
U' L' U2 D L2 B' U'
U' L' D U2 L2 B' U'
U' L' D F U D F2
U' L' D F U2 L2 U'
U' L' D F D U F2
U' L' D F D2 R2 U
U' L' D' R' F R' U
U' L' D' R2 D F U
U' L' D' R2 D' F U
U' L' D' R2 D2 F U
U' L' D' R2 F U D
U' L' D' R2 F U D'
U' L' D' R2 F U D2
U' L' D' R2 F D U
U' L' D' R2 F D' U
U' L' D' R2 F D2 U
U' L' D' F R2 U D
U' L' D' F R2 U D'
U' L' D' F R2 U D2
U' L' D' F R2 D U
U' L' D' F R2 D' U
U' L' D' F R2 D2 U
U' L' D' F U D' F2
U' L' D' F D' U F2
U' L' D' F' R2 F2 U
R2 L' B F U R2 F'
U L' D' F R2 B U
U' L' D2 R F U F
U' L' D2 R' F U F
U' L' D2 R2 F U F
U' L' D2 F R U F
U' L' D2 F R' U F
U' L' D2 F R2 U F
U' L' D2 F U D F
