B' L U' B' U'
B' L R U' B' U'
B' L R' U' B' U'
B' L R2 U' B' U'
B' L U' D B' U'
B' L U' D' B' U'
B' L U' D2 B' U'
B' L U' B' U' D
B' L U' B' U' D'
B' L U' B' U' D2
B' L U' B' D U'
B' L U' B' D' U'
B' L U' B' D2 U'
B' L D U' B' U'
B' L D' U' B' U'
B' L D2 U' B' U'
B' R L U' B' U'
B' R' L U' B' U'
B' R2 L U' B' U'
B2 D' B L R' U2
B2 D' B R' L U2
R' B' L U' B' U'
R2 B' L U' B' U'
R B' L U' B' U'
B' L R U' D B' U'
B' L R U' D' B' U'
B' L R U' D2 B' U'
B' L R U' B' U' D
B' L R U' B' U' D'
B' L R U' B' U' D2
B' L R U' B' D U'
B' L R U' B' D' U'
B' L R U' B' D2 U'
B' L R D U' B' U'
B' L R D' U' B' U'
B' L R D2 U' B' U'
B' L R' U' D B' U'
B' L R' U' D' B' U'
B' L R' U' D2 B' U'
B' L R' U' B' U' D
B' L R' U' B' U' D'
B' L R' U' B' U' D2
B' L R' U' B' D U'
B' L R' U' B' D' U'
B' L R' U' B' D2 U'
B' L R' D U' B' U'
B' L R' D' U' B' U'
B' L R' D2 U' B' U'
B' L R2 U' D B' U'
B' L R2 U' D' B' U'
B' L R2 U' D2 B' U'
B' L R2 U' B' U' D
B' L R2 U' B' U' D'
B' L R2 U' B' U' D2
B' L R2 U' B' D U'
B' L R2 U' B' D' U'
B' L R2 U' B' D2 U'
B' L R2 D U' B' U'
B' L R2 D' U' B' U'
B' L R2 D2 U' B' U'
B' L R2 D2 U' B' U'
B' L U L2 F L2 U
B' L U F U2 B' U'
B' L U F' U2 B' U'
B' L U F2 U2 B' U'
B' L U' R' B' R U'
B' L U' R2 B' R2 U'
B' L U' D B' U' D
B' L U' D B' U' D'
B' L U' D B' U' D2
B' L U' D B' D U'
B' L U' D B' D' U'
B' L U' D B' D2 U'
B' L U' D' B' U' D
B' L U' D' B' U' D'
B' L U' D' B' U' D2
B' L U' D' B' D U'
B' L U' D' B' D' U'
B' L U' D' B' D2 U'
B' L U' D2 B' U' D
B' L U' D2 B' U' D'
B' L U' D2 B' U' D2
B' L U' D2 B' D U'
B' L U' D2 B' D' U'
B' L U' D2 B' D2 U'
B' L U' B U' D L2
B' L U' B D U' L2
B' L U' B2 D B U'
B' L U' B2 D' B U'
B' L U' B2 D2 B U'
B' L U2 L2 U' F U
B' L U2 B D B' L2
B' L D R U' B' U'
B' L D R' U' B' U'
B' L D R2 U' B' U'
B' L D U' B' U' D
B' L D U' B' U' D'
B' L D U' B' U' D2
B' L D U' B' D U'
B' L D U' B' D' U'
B' L D U' B' D2 U'
B' L D' R U' B' U'
B' L D' R' U' B' U'
B' L D' R2 U' B' U'
B' L D' U' B' U' D
B' L D' U' B' U' D'
B' L D' U' B' U' D2
B' L D' U' B' D U'
B' L D' U' B' D' U'
B' L D' U' B' D2 U'
B' L D2 R U' B' U'
B' L D2 R' U' B' U'
B' L D2 R2 U' B' U'
B' L D2 U' B' U' D
B' L D2 U' B' U' D'
B' L D2 U' B' U' D2
B' L D2 U' B' D U'
B' L D2 U' B' D' U'
B' L D2 U' B' D2 U'
B2 L B L U' B2 U'
B2 L B L U2 D L2
B2 L B L D U2 L2
B2 L B L D' R2 U2
B' L B U2 D L2 F
B2 L B U' B2 U' R'
B' L B D U2 L2 F
B2 L B D L U2 L
B' L B D B' U2 L2
B' L B D' R2 B' U2
B2 L B D' L R2 U2
B' L B D' B' R2 U2
B2 L B D' R2 L U2
B L B2 L U' B U'
B' L' U D' F B2 U
B' L' U D' B2 F U
B' L' U D2 F U R2
B' L' U F U D2 R2
B' L' U F U' L2 U2
B' L' U F D' B2 U
B' L' U F D2 U R2
D L' U' F U' L' F
B' L' D' U F B2 U
B' L' D' U B2 F U
B' L' D2 U F U R2
B' L2 D L' U' B' U'
B' L2 D' L' U' B' U'
B' L2 D2 L' U' B' U'
B2 L2 B L U F U
B L2 B2 L U F U
B' R L U' D B' U'
B' R L U' D' B' U'
B' R L U' D2 B' U'
B' R L U' B' U' D
B' R L U' B' U' D'
B' R L U' B' U' D2
B' R L U' B' D U'
B' R L U' B' D' U'
B' R L U' B' D2 U'
B' R L D U' B' U'
B' R L D' U' B' U'
B' R L D2 U' B' U'
L2 U B U R' F L
L2 U B U F L R'
L2 U B U F R' L
D2 R B' U F' U R
D' R B' U' F' U' L
B' R' L U' D B' U'
B' R' L U' D' B' U'
B' R' L U' D2 B' U'
B' R' L U' B' U' D
B' R' L U' B' U' D'
B' R' L U' B' U' D2
B' R' L U' B' D U'
B' R' L U' B' D' U'
B' R' L U' B' D2 U'
B' R' L D U' B' U'
B' R' L D' U' B' U'
B' R' L D2 U' B' U'
L U' B' U L U2 F
D' R' B' U2 L D' R2
D' R' B' U2 D' L R2
D' R' B' U2 D' R2 L
D' R' B' D L2 U2 L'
D' R' B' D' U2 L R2
D' R' B' D' U2 R2 L
B' R2 L U' D B' U'
B' R2 L U' D' B' U'
B' R2 L U' D2 B' U'
B' R2 L U' B' U' D
B' R2 L U' B' U' D'
B' R2 L U' B' U' D2
B' R2 L U' B' D U'
B' R2 L U' B' D' U'
B' R2 L U' B' D2 U'
B' R2 L D U' B' U'
B' R2 L D' U' B' U'
B' R2 L D2 U' B' U'
U' D L' F U' L' F
U' D L2 U' F L' R
U' D L2 U' F R L'
D U' L' F U' L' F
D U' L2 U' F L' R
D U' L2 U' F R L'
B' D L U F U L'
B' D L U2 F L' F'
B' D L F' R F U2
B' D F L F' U2 L2
B' D F' R F L U2
B' D' L U' B' U' L
B' D' L U2 B' L B
B' D' L B R' B' U2
B2 D' L B L R' U2
B2 D' L B R' L U2
B2 D' L' B L R' U2
B2 D' L' B R' L U2
B2 D' L2 B L R' U2
B2 D' L2 B R' L U2
B' D' B R' B' L U2
B2 D' B L R' U2 D
B2 D' B L R' U2 D'
B2 D' B L R' U2 D2
B2 D' B L R' D U2
B2 D' B L R' D' U2
B2 D' B L R' D2 U2
B2 D' B L D R' U2
B2 D' B L D' R' U2
B2 D' B L D2 R' U2
B2 D' B R' L U2 D
B2 D' B R' L U2 D'
B2 D' B R' L U2 D2
B2 D' B R' L D U2
B2 D' B R' L D' U2
B2 D' B R' L D2 U2
B2 D' B R' D L U2
B2 D' B R' D' L U2
B2 D' B R' D2 L U2
B2 D' B D L R' U2
B2 D' B D R' L U2
B2 D' B D' L R' U2
B2 D' B D' R' L U2
B2 D' B D2 L R' U2
B2 D' B D2 R' L U2
B' D2 L R U F' U
B' D2 L R' U' B U'
B' D2 R L U F' U
B' D2 R' L U' B U'
D' B R' B2 U B' U
B' F L F' U' B' U'
L2 B U2 R' F D' L2
L B U2 R' D L2 F'
L B U2 R' D F' L2
L B U2 R' F' D L2
L B U2 D L2 R' F'
L B U2 D R' L2 F'
L B U2 D R' F' L2
L B D U2 L2 R' F'
L B D U2 R' L2 F'
L B D U2 R' F' L2
R' B' L R U' B' U'
U' B' L U' B' U' B
R' B' L R' U' B' U'
R' B' L R2 U' B' U'
R' B' L U' D B' U'
R' B' L U' D' B' U'
R' B' L U' D2 B' U'
R' B' L U' B' U' D
R' B' L U' B' U' D'
R' B' L U' B' U' D2
R' B' L U' B' D U'
R' B' L U' B' D' U'
R' B' L U' B' D2 U'
R' B' L D U' B' U'
R' B' L D' U' B' U'
R' B' L D2 U' B' U'
L' B' L D' B' U2 L
U2 B' L U' B' U' B2
U2 B' L U2 B D L2
R2 B' L R U' B' U'
R2 B' L R' U' B' U'
R2 B' L R2 U' B' U'
R2 B' L U' D B' U'
R2 B' L U' D' B' U'
R2 B' L U' D2 B' U'
R2 B' L U' B' U' D
R2 B' L U' B' U' D'
R2 B' L U' B' U' D2
R2 B' L U' B' D U'
R2 B' L U' B' D' U'
R2 B' L U' B' D2 U'
R2 B' L D U' B' U'
R2 B' L D' U' B' U'
R2 B' L D2 U' B' U'
B' F D L F' R U2
B' F D F' L R U2
B' F D F' R L U2
R B' L R U' B' U'
R B' L R' U' B' U'
D B' L' U' F U' L'
R B' L R2 U' B' U'
R' B' R L U' B' U'
R B' L U' D B' U'
R B' L U' D' B' U'
R B' L U' D2 B' U'
R B' L U' B' U' D
R B' L U' B' U' D'
R B' L U' B' U' D2
R B' L U' B' D U'
R B' L U' B' D' U'
R B' L U' B' D2 U'
R B' L D U' B' U'
D2 B' R U F' U R
R B' L D' U' B' U'
R B' L D2 U' B' U'
D' B' R U' F' U' L
R' B' R' L U' B' U'
R2 B' R L U' B' U'
R' B' R2 L U' B' U'
R2 B' R' L U' B' U'
R B' R L U' B' U'
F2 B' L F2 U' B' U'
R2 B' R2 L U' B' U'
R B' R' L U' B' U'
F B' L F' U' B' U'
R B' R2 L U' B' U'
B' F' D F L U2 L2
F' B' D F L U2 L2
F B' D L F' R U2
F B' D F' L R U2
F B' D F' R L U2
B' F2 L F2 U' B' U'
D' B2 D B U2 L R'
D' B2 D B U2 R' L
R' B2 D' B L R' U2
R' B2 D' B R' L U2
R2 B2 D' B L R' U2
R2 B2 D' B R' L U2
R B2 D' B L R' U2
R B2 D' B R' L U2
