U2 L B' D' L U2 B'
B L' R' D' F L B'
B L' R' F L D' B2
B L' D R' F L B
B L' D F L R' B
B L' D F R' L B
B L' D' R' F L B'
B2 L' D' F L B' R'
B L' D' F L R' B'
B L' D' F R' L B'
B' L' F L D' B2 R'
B L' F L R' D' B2
B L' F L D' R' B2
B L' F R' L D' B2
D R D R F' R B
D2 R F' R2 D' R' B
D2 R F' D' R' B R2
D2 R F' B R D B2
D2 R B F' R D B2
B R' L' D' F L B'
B R' L' F L D' B2
D R' D F' B R F'
D R' D B R F' R
D R' D B F' R F'
B R' F U' L' U F
D R' B D R F' R
D R' B D F' R F'
D R2 D R F' B R
D R2 D R B F' R
D R2 D F' R F' B
D R2 D F' R B F'
F' U D2 R U' F' R
F U' L' B U R' F
F U' L' B U F R'
F U' B L' U R' F
F U' B L' U F R'
L' F L B R' D' B2
L' F L B D' R' B2
L' F L B' D' B2 R'
B D R2 D R F' B
B D R2 D R B F'
B D F' R' D' F2 B
B D F' R' D' B F2
B D F' R' B D' F2
D2 F' R2 D' R' F' B
D2 F' R2 D' R' B F'
D F' R' D' F2 B R'
D F' R' D' B R' F2
D F' R' D' B F2 R'
D2 F' B R D F' B2
D2 F' B R D B2 F'
D2 F' B R F' D B2
U F' D2 R U' F' R
F' D2 U R U' F' R
D2 B R F' D R B2
D2 B R F' D B2 R
B F L' U R' F L
B F L' U F L R'
B F L' U F R' L
F B L' U R' F L
F B L' U F L R'
F B L' U F R' L
D2 B F' R D F' B2
D2 B F' R D B2 F'
D2 B F' R F' D B2
B F R' U' L' U F
F B R' U' L' U F
B2 F U' L' B' U F
B F U' L' U R' F
B F U' L' U F R'
F B U' L' U R' F
F B U' L' U F R'
L B' D' L U2 B' L2
F B2 U' L' B' U F
