D L' F L U R F'
B' L2 D' L' F R B2
B' L2 D' L' F B2 R
B' L2 D' L' B2 F R
B' L2 D' B2 L' F R
D' R F' U' L' U2 F
F' R F2 B' U L R
F' R F2 B' U R L
F' R B U' L' R' U2
F' R B U' R' L' U2
F' R B' U L D2 R2
F' R B' U' L' U2 L2
F' R B' F2 U L R
F' R B' F2 U R L
L D L' F U R F'
B' U L U F L' U'
F2 U' B R' U2 F' R
F U2 L' B' U' L R
F U2 L' B' U' R L
U2 F L' B' U' L R'
U2 F L' B' U' R' L
D2 F U L' D' R F'
D2 F U R D L' F
D2 F U D L' R F
D2 F U D R L' F
D2 F U D' L' R F'
D2 F U D' R L' F'
F U2 B' L' U' L2 R
F U2 B' L' U' R L2
D2 F D U L' R F
D2 F D U R L' F
D2 F D' U L' R F'
D2 F D' U R L' F'
D2 F B R' U L' R2
D2 F B R' U R2 L'
U2 F B' L' U' L2 R'
U2 F B' L' U' R' L2
B' D F U L R F'
B' D F U R L F'
B' D F U R F' L
U2 F2 B' U' L R' F'
U2 F2 B' U' R' L F'
U2 F2 B' U' R' F' L
D2 B R' F U L' R
D2 B R' F U R L'
F' B R U' L' R2 U2
F' B R U' R2 L' U2
F' B R D' F2 U R
D2 B F R' U L' R2
D2 B F R' U R2 L'
B' F U L R D F2
B' F U L D R F2
B' F U R L D F2
F2 B U' R' U2 F' R
B' F U2 L' U' L2 R
B' F U2 L' U' R L2
B' F' R U L D2 R2
B' F' R U' L' U2 L2
F' B' R U L D2 R2
F' B' R U' L' U2 L2
B' F' R F2 U L R
B' F' R F2 U R L
F' B' R F2 U L R
F' B' R F2 U R L
B F' R U' L' R2 U2
B F' R U' R2 L' U2
B F' R D' F2 U R
F2 B' U L F' R F2
F2 B' U F' L R F
F2 B' U F' R L F
F2 B' U F2 L F R
U2 B' F L' U' L2 R'
U2 B' F L' U' R' L2
F B' U L R D F2
F B' U L D R F2
F B' U R L D F2
U2 B' F2 U' L R' F'
U2 B' F2 U' R' L F'
U2 B' F2 U' R' F' L
F B' U2 L' U' L2 R
F B' U2 L' U' R L2
B' F2 U L F' R F2
B' F2 U F' L R F
B' F2 U F' R L F
B' F2 U F2 L F R
B F2 U' R' U2 F' R
