R2 L U B' L
L R2 U B' L
R2 U L B' L
R2 U B' L B'
R2 L U B' L D
R2 L U B' L D'
R2 L U B' L D2
R2 L U B' D L
R2 L U B' D' L
R2 L U B' D2 L
F L R2 U B' L
F2 L R2 U B' L
F' L R2 U B' L
R2 L F U B' L
R2 L F' U B' L
R2 L F2 U B' L
R2 L' U L2 B' L
U L B' L D' F2
B' L B' D' R2 F2
B' L B' D' F2 R2
U L B' D' L F2
U L B' D' F2 L
L' R2 U L2 B' L
L R2 U B' L D
L R2 U B' L D'
L R2 U B' L D2
L R2 U B' D L
L R2 U B' D' L
L R2 U B' D2 L
L R2 F U B' L
L R2 F' U B' L
L R2 F2 U B' L
R2 U L B' L D
R2 U L B' L D'
R2 U L B' L D2
R2 U L B' D L
R2 U L B' D' L
R2 U L B' D2 L
R2 U B' L D B'
R2 U B' L D' B'
L U B' L D' F2
R2 U B' L D2 B'
R2 U B' L B' D
R2 U B' L B' D'
R2 U B' L B' D2
L U B' D' L F2
L U B' D' F2 L
F' R2 L U B' L
F2 R2 L U B' L
F R2 L U B' L
F' R2 U L B' L
F2 R2 U L B' L
F' R2 U B' L B'
F2 R2 U B' L B'
F R2 U L B' L
F R2 U B' L B'
R2 U2 B' U' L B'
R2 D L' F L' U
R2 D F L' F U
R2 F L U B' L
R2 F U L B' L
L F R2 U B' L
R2 F U B' L B'
R2 F' L U B' L
R2 F' U L B' L
L F' R2 U B' L
R2 F' U B' L B'
R2 F2 L U B' L
L F2 R2 U B' L
R2 F2 U L B' L
R2 F2 U B' L B'
U B' L D' F2 B'
U B' L D' B' F2
U B' L B' D' F2
R2 L U L' B' L B'
R2 L U R' B' L R
R2 L U R' B' R L
R2 L U R2 B' L R2
R2 L U R2 B' R2 L
R2 L U F B' L F'
R2 L U F2 B' L F2
R2 L U B L B2 L
R2 L U B L' B2 L
R2 L U B L2 B2 L
R2 L U B' L2 D L'
R2 L U B' L2 D' L'
R2 L U B' L2 D2 L'
R2 L U B' D L D
R2 L U B' D L D'
R2 L U B' D L D2
R2 L U B' D' L D
R2 L U B' D' L D'
R2 L U B' D' L D2
R2 L U B' D2 L D
R2 L U B' D2 L D'
R2 L U B' D2 L D2
R2 L U B' F L F'
R2 L U B' F2 L F2
R2 L U B2 L B L
R2 L U B2 L' B L
R2 L U B2 L2 B L
R2 L U B2 D B L
R2 L U B2 D' B L
R2 L U B2 D2 B L
R2 L U' R U2 B' L
R2 L U' R' U2 B' L
R2 L U' R2 U2 B' L
F' L R2 U B' L D
F' L R2 U B' L D'
F' L R2 U B' L D2
R2 L U' F U2 B' L
F' L R2 U B' D L
F' L R2 U B' D' L
F' L R2 U B' D2 L
R2 L U' F' U2 B' L
F2 L R2 U B' L D
F2 L R2 U B' L D'
F2 L R2 U B' L D2
F2 L R2 U B' D L
F2 L R2 U B' D' L
F2 L R2 U B' D2 L
R2 L U' F2 U2 B' L
F L R2 U B' L D
F L R2 U B' L D'
F L R2 U B' L D2
F L R2 U B' D L
F L R2 U B' D' L
F L R2 U B' D2 L
U L R2 U R2 B' L
U L R2 U B' L R2
U L R2 U B' R2 L
F' L R2 F U B' L
F' L R2 F' U B' L
F2 L R2 F U B' L
F' L R2 F2 U B' L
F2 L R2 F' U B' L
