U2 L F2 U F' U
U2 F2 L U F U
D2 B2 R' U' F' U
F2 L R U' B U' F2
U2 L R F2 U F' U
F2 L R' U F' U F'
U2 L R' F2 U F' U
U2 L R2 F2 U F' U
U2 L U D' F L2 U
U2 L U D2 F U B2
U2 L U F L2 U B'
U2 L U F U' F U2
F2 L U F' U L' F'
F2 L U' B U' L F2
F2 L U' B U' F2 L
U2 L D' U F L2 U
U2 L D2 U F U B2
R' L F2 U F U F
L R F2 U' B U' F2
R L F2 U' B U' F2
U2 L F' D R2 U2 B
U2 L F' D F' R2 U2
U2 L F' D' F' U2 L2
U2 L F2 R2 U' B U'
U2 L F2 U D F' U
U2 L F2 U D' F' U
U2 L F2 U D2 F' U
U2 L F2 U F' U D
U2 L F2 U F' U D'
U2 L F2 U F' U D2
U2 L F2 U F' D U
U2 L F2 U F' D' U
U2 L F2 U F' D2 U
U2 L F2 D U F' U
U2 L F2 D' U F' U
U2 L F2 D2 U F' U
L R' F2 U F U F
U2 L' F2 L2 U F U
F2 R L U' B U' F2
U2 R L F2 U F' U
R U D2 B U' B R'
D2 R U B U' B R'
U2 R F2 L U F U
D2 R B' D B' L2 R'
D2 R B' D B' R' L2
D2 R B2 R' U B' U'
F2 R' L U F' U F'
R' U' D2 F' U B2 R'
U2 R' L F2 U F' U
R' U' F' U' L F' U2
R' U' F' U' F' L U2
B2 R' U D R2 B U'
D2 R' U' F' U B2 R'
B2 R' U' D' L2 F' U
B2 R' U' D' F' L2 U
B2 R' U' D2 F' U B2
B2 R' U' F' U' F' U2
B2 R' U2 F2 U F U
B2 R' D U R2 B U'
B2 R' D' U' L2 F' U
B2 R' D' U' F' L2 U
R' U2 L F2 U F U
B2 R' D2 U' F' U B2
R U2 L F2 U' B U'
B2 R' D2 B2 U' F' U
L2 U2 L' F2 U' B' U'
B2 R' F D' L2 F' B'
B2 R' F D' L2 B' F'
D2 R' F' U F B2 R'
D2 R' F' U B2 R' F
D2 R' F' U B2 F R'
U2 R' F2 L U F U
D2 R' B2 U' F' U R'
U2 R2 L F2 U F' U
R U2 F2 L U' B U'
U2 R2 F2 L U F U
D2 R2 B' D B' L R'
D2 R2 B' D B' R' L
D2 R2 B2 R' U B U'
F' U L F' U2 L' F
D2 U F' U' B2 L' R'
D2 U F' U' B2 R' L'
F' U F' L U2 L2 F2
F' U F' L U2 F2 L2
F U F L R U2 F2
F U F L U2 F2 L'
F U F R L U2 F2
F U F' L' D2 R2 B2
F U F' L' D2 B2 R2
F U F' D2 B2 L' R'
F U F' D2 B2 R' L'
U2 D' L U F L U
D2 U' B U L B R'
D' U2 L U F L U
D2 U2 L U F U B2
U2 D2 L U F U B2
L' D2 R2 B' D B' L
R' D2 U' F' U B2 R'
R D2 U B U' B R'
R' D2 F' U F B2 R'
R' D2 F' U B2 R' F
R' D2 F' U B2 F R'
U D2 F' U' B2 L' R'
U D2 F' U' B2 R' L'
U' D2 B U L B R'
L' D2 B' R2 D B' L
R' D2 B2 U' F' U R'
R2 D2 B' D' B' L R'
R2 D2 B' D' B' R' L
R D2 B' D B' L2 R'
R D2 B' D B' R' L2
R D2 B2 R' U B' U'
D2 F U F' B2 L' R'
D2 F U F' B2 R' L'
D2 F U B2 F' L' R'
D2 F U B2 F' R' L'
U F U R F L U2
U2 F' L F' U F2 U
U2 F' L F' U2 D' L2
U2 F' L F' D R2 U2
U2 F' L F' D' U2 L2
R' F' U F D2 B2 R'
R' F' U' F' L U2 F2
U F' U L F' U2 L2
U F' U' L' D2 R2 B
B2 D' R' U' L2 F' U
B2 D' R' U' F' L2 U
D2 F' B2 R' F D' L2
U2 F2 L R U F U
U2 F2 L R' U F U
U2 F2 L R2 U F U
U2 F2 L U D F U
U2 F2 L U D' F U
U2 F2 L U D2 F U
U2 F2 L U F U D
U2 F2 L U F U D'
U2 F2 L U F U D2
U2 F2 L U F D U
U2 F2 L U F D' U
U2 F2 L U F D2 U
U2 F2 L D U F U
U2 F2 L D' U F U
U2 F2 L D2 U F U
R F2 L U' B U' F2
U2 F2 R L U F U
U2 F2 R' L U F U
L F2 R U' B U' F2
U2 F2 R2 L U F U
L F2 R' U F' U F'
L F2 U F' U L' F'
U2 F2 D L U F U
L F2 U' B U' L F2
L F2 U' B U' F2 L
U2 F2 D' L U F U
U2 F2 D2 L U F U
B2 D2 R' U' F' U B2
B2 D2 R' B2 U' F' U
D2 B' R B' R' D L2
D2 B' R B' D L2 R'
D2 B' R B' D R' L2
D2 B' R2 D B' L R'
D2 B' R2 D B' R' L
D2 B2 L R' U' F' U
D2 B2 L' R' U' F' U
D2 B2 L2 R' U' F' U
D2 B2 R U B U' R2
D2 B2 R' L U' F' U
D2 B2 R' L' U' F' U
D2 B2 R' L2 U' F' U
D2 B2 R' U' D F' U
D2 B2 R' U' D' F' U
D2 B2 R' U' D2 F' U
D2 B2 R' U' F' U D
D2 B2 R' U' F' U D'
D2 B2 R' U' F' U D2
D2 B2 R' U' F' D U
D2 B2 R' U' F' D' U
D2 B2 R' U' F' D2 U
D2 B2 R' D U' F' U
D' B2 R' U' L2 F' U
D' B2 R' U' F' L2 U
D2 B2 R' D' U' F' U
D2 B2 R' D2 U' F' U
D2 B2 R' F D' L2 F'
D2 B2 R' F D' F' L2
D2 B2 U F' U' L' R'
D2 B2 U F' U' R' L'
D2 B2 D R' U' F' U
D2 B2 D' R' U' F' U
D2 B2 D2 R' U' F' U
D2 B2 F' R' F D' L2
