U L U R F
U L R' U R2 F
U L R' U R2 F
U L R' U F R2
U L R2 U R' F
U L R2 U F R'
U L U R D F
U L U R D' F
U L U R D2 F
U L U R F D
U L U R F D'
U L U R F D2
U L U R' F R2
U L U R2 F R'
U L U D R F
U L U D' R F
U L U D2 R F
U L D U R F
U L D' U R F
U L D2 U R F
U L B U R F
U L B' U R F
U L B2 U R F
U2 R U' L U F
U R' L U R2 F
U R' L U F R2
U R2 L U R' F
U R2 L U F R'
D2 U L U R F
D' U L U R F
U D L U R F
D U L U R F
U D' L U R F
B2 U' R' U' F' R2
U D2 L U R F
U L R' U R' F R'
U L R' U R2 D F
U L R' U R2 D' F
U L R' U R2 D2 F
U L R' U R2 F D
U L R' U R2 F D'
U L R' U R2 F D2
U L R' U F R2 D
U L R' U F R2 D'
U L R' U F R2 D2
U L R' U F' R2 F2
R' L U' R B U2 R
U L R' D B2 U F
R2 L U' R2 U2 R F'
U2 L R2 U L' R' F'
U2 L R2 U R' L' F'
U L R' B U R2 F
U L R' B U F R2
U L R' B' U R2 F
U L R' B' U F R2
U L R' B2 U R2 F
U L R' B2 U F R2
U L R2 U R F R2
U L R2 U R' D F
U L R2 U R' D' F
U L R2 U R' D2 F
U L R2 U R' F D
U L R2 U R' F D'
U L R2 U R' F D2
U L R2 U D R' F
U L R2 U D F R'
U L R2 U D' R' F
U L R2 U D' F R'
U L R2 U D2 R' F
U L R2 U D2 F R'
U L R2 U F R' D
U L R2 U F R' D'
U L R2 U F R' D2
U L R2 U F D R'
U L R2 U F D' R'
U L R2 U F D2 R'
U L R2 U F' R' F2
U L R2 D U R' F
U L R2 D U F R'
U L R2 D' U R' F
U L R2 D' U F R'
U L R2 D2 U R' F
U L R2 D2 U F R'
U2 L U L' R' F' R2
U2 L U R' L' F' R2
U L U R D F D
U L U R D F D'
U L U R D F D2
U L U R D' F D
U L U R D' F D'
U L U R D' F D2
U L U R D2 F D
U L U R D2 F D'
U L U R D2 F D2
U L U R F2 D F'
U L U R F2 D' F'
U L U R F2 D2 F'
U L U R' F R2 D
U L U R' F R2 D'
U L U R' F R2 D2
U L U R' F' R2 F2
U L U R2 D R' F
U L U R2 D F R'
U L U R2 D' R' F
U L U R2 D' F R'
U L U R2 D2 R' F
U L U R2 D2 F R'
U L U R2 F R' D
U L U R2 F R' D'
U L U R2 F R' D2
U L U R2 F D R'
U L U R2 F D' R'
U L U R2 F D2 R'
U L U R2 F' R' F2
U L U D R D F
U L U D R D' F
U L U D R D2 F
U L U D R F D
U L U D R F D'
U L U D R F D2
U L U D R' F R2
U L U D R2 F R'
U L U D' R D F
U L U D' R D' F
U L U D' R D2 F
U L U D' R F D
U L U D' R F D'
U L U D' R F D2
U L U D' R' F R2
U L U D' R2 F R'
U L U D2 R D F
U L U D2 R D' F
U L U D2 R D2 F
U L U D2 R F D
U L U D2 R F D'
U L U D2 R F D2
U L U D2 R' F R2
U L U D2 R2 F R'
U L U B R F B'
U L U B R B' F
U L U B2 R F B2
U L U B2 R B2 F
B2 L U' R' U' F' R2
U L U' L2 B' U2 R
U L U' B U2 R F
U L U' B' U2 R F
U L U' B2 U2 R F
U L D R' U R2 F
U L D R' U F R2
U L D R2 U R' F
U L D R2 U F R'
U L D U R D F
U L D U R D' F
U L D U R D2 F
U L D U R F D
U L D U R F D'
U L D U R F D2
U L D U R' F R2
U L D U R2 F R'
U L D B U R F
U L D B' U R F
U L D B2 U R F
U L D' R' U R2 F
U L D' R' U F R2
U L D' R2 U R' F
U L D' R2 U F R'
U L D' U R D F
U L D' U R D' F
U L D' U R D2 F
U L D' U R F D
U L D' U R F D'
U L D' U R F D2
U L D' U R' F R2
U L D' U R2 F R'
U L D' B U R F
U L D' B' U R F
U L D' B2 U R F
U L D2 R' U R2 F
U L D2 R' U F R2
U L D2 R2 U R' F
U L D2 R2 U F R'
U L D2 U R D F
U L D2 U R D' F
U L D2 U R D2 F
U L D2 U R F D
U L D2 U R F D'
U L D2 U R F D2
U L D2 U R' F R2
U L D2 U R2 F R'
U L D2 B U R F
U L D2 B' U R F
U L D2 B2 U R F
U L B R' U R2 F
U L B R' U F R2
U L B R2 U R' F
U L B R2 U F R'
U L B U R D F
U L B U R D' F
U L B U R D2 F
U L B U R F D
U L B U R F D'
U L B U R F D2
U L B U R' F R2
U L B U R2 F R'
U L B U D R F
U L B U D' R F
U L B U D2 R F
U L B D U R F
U L B D' U R F
U L B D2 U R F
U2 L B' R' U L' R2
U2 L B' R' U R2 L'
U L B' R' U R2 F
U L B' R' U F R2
U L B' R2 U R' F
U L B' R2 U F R'
U L B' U R D F
U L B' U R D' F
U L B' U R D2 F
U L B' U R F D
U L B' U R F D'
U L B' U R F D2
U L B' U R' F R2
U L B' U R2 F R'
U L B' U D R F
U L B' U D' R F
U L B' U D2 R F
L R' U' R B U2 R
U L B' D U R F
U L B' D' U R F
U L B' D2 U R F
U L B2 R' U R2 F
U L B2 R' U F R2
U L B2 R2 U R' F
U L B2 R2 U F R'
U L B2 U R D F
U L B2 U R D' F
U L B2 U R D2 F
U L B2 U R F D
U L B2 U R F D'
U L B2 U R F D2
U L B2 U R' F R2
U L B2 U R2 F R'
U L B2 U D R F
U L B2 U D' R F
U L B2 U D2 R F
U L B2 D U R F
U L B2 D' U R F
U L B2 D2 U R F
B2 L' U' R' U' F' R2
F2 L' F' U L2 R U
F2 L' F' U R L2 U
L R2 U' R2 U2 R F'
B2 L2 U' R' U' F' R2
U L2 D2 L' U R F'
L2 U L' U' B' U2 R
L' U L2 U D2 R F'
L' U L2 D2 U R F'
U L2 B L' U R F
U L2 B' L' U R F
U L2 B2 L' U R F
U2 R U' L R U F
U2 R U' L R' U F
U2 R U' L R2 U F
U2 R U' L U D F
U2 R U' L U D' F
U2 R U' L U D2 F
U2 R U' L U F D
U2 R U' L U F D'
U2 R U' L U F D2
U2 R U' L D U F
U2 R U' L D' U F
U2 R U' L D2 U F
U2 R U' R L U F
U2 R U' R' L U F
U2 R U' R2 L U F
U2 R U' D L U F
U2 R U' D' L U F
U2 R U' D2 L U F
U2 R D U' L U F
U2 R D' U' L U F
U2 R D2 U' L U F
U2 R F U' L U F
U2 R F' U' L U F
U2 R F2 U' L U F
U R' L U R' F R'
U R' L U R2 D F
U R' L U R2 D' F
U R' L U R2 D2 F
U R' L U R2 F D
U R' L U R2 F D'
U R' L U R2 F D2
U R' L U F R2 D
U R' L U F R2 D'
U R' L U F R2 D2
U R' L U F' R2 F2
U R' L D B2 U F
U R' L B U R2 F
U R' L B U F R2
U R' L B' U R2 F
U R' L B' U F R2
U R' L B2 U R2 F
U R' L B2 U F R2
U2 R' U' L U R2 F
U2 R' U' L U F R2
U' R' U2 L U F' R2
U R' D L B2 U F
L U2 L' U' L R F
L U2 L' U' R L F
L U2 R U R' U' F'
L' U2 D' B2 D' R F'
U2 R2 L U L' R' F'
U2 R2 L U R' L' F'
U R2 L U R F R2
U R2 L U R' D F
U R2 L U R' D' F
U R2 L U R' D2 F
U R2 L U R' F D
U R2 L U R' F D'
U R2 L U R' F D2
U R2 L U D R' F
U R2 L U D F R'
U R2 L U D' R' F
U R2 L U D' F R'
U R2 L U D2 R' F
U R2 L U D2 F R'
U R2 L U F R' D
U R2 L U F R' D'
U R2 L U F R' D2
U R2 L U F D R'
U R2 L U F D' R'
U R2 L U F D2 R'
U R2 L U F' R' F2
U R2 L D U R' F
U R2 L D U F R'
U R2 L D' U R' F
U R2 L D' U F R'
U R2 L D2 U R' F
U R2 L D2 U F R'
U2 R2 U' L U R' F
U2 R2 U' L U F R'
L U2 B L U' L' R
L U2 B L U' R L'
L' U2 B' R D' F2 B2
L' U2 B' R D' B2 F2
U R2 D L U R' F
U R2 D L U F R'
L' U2 B2 D' R F' B2
L' U2 B2 D' R B2 F'
L' U2 B2 D' B2 R F'
U R2 D' L U R' F
U R2 D' L U F R'
U R2 D2 L U R' F
U R2 D2 L U F R'
D' U L R' U R2 F
D' U L R' U F R2
D2 U L R' U R2 F
D2 U L R' U F R2
D' U L R2 U R' F
D' U L R2 U F R'
D2 U L R2 U R' F
D2 U L R2 U F R'
D' U L U R D F
D' U L U R D' F
D' U L U R D2 F
D' U L U R F D
D' U L U R F D'
D' U L U R F D2
D' U L U R' F R2
D' U L U R2 F R'
D' U L U D R F
D' U L U D' R F
D' U L U D2 R F
D2 U L U R D F
D2 U L U R D' F
D2 U L U R D2 F
D2 U L U R F D
D2 U L U R F D'
D2 U L U R F D2
D2 U L U R' F R2
D2 U L U R2 F R'
D2 U L U D R F
D2 U L U D' R F
D2 U L U D2 R F
D' U L D U R F
D2 U L D U R F
F' U L U2 F L2 U'
D' U L D' U R F
D2 U L D' U R F
D' U L D2 U R F
D2 U L D2 U R F
D' U L B U R F
D2 U L B U R F
D' U L B' U R F
D2 U L B' U R F
D' U L B2 U R F
D U L R' U R2 F
D U L R' U F R2
D2 U L B2 U R F
D U L R2 U R' F
D U L R2 U F R'
D U L U R D F
D U L U R D' F
D U L U R D2 F
D U L U R F D
D U L U R F D'
D U L U R F D2
D U L U R' F R2
D U L U R2 F R'
D U L U D R F
D U L U D' R F
D U L U D2 R F
D U L D U R F
D U L D' U R F
U D L R' U R2 F
U D L R' U F R2
U D L R2 U R' F
U D L R2 U F R'
D U L D2 U R F
U D L U R D F
U D L U R D' F
U D L U R D2 F
U D L U R F D
U D L U R F D'
U D L U R F D2
U D L U R' F R2
U D L U R2 F R'
U D L U D R F
U D L U D' R F
U D L U D2 R F
D U L B U R F
U D L D U R F
D U L B' U R F
U D L D' U R F
D U L B2 U R F
U D L D2 U R F
U D L B U R F
U D L B' U R F
U D L B2 U R F
U2 D R U' L U F
L' D F2 D' L' U2 F
D' U R' L U R2 F
D' U R' L U F R2
D2 U R' L U R2 F
D2 U R' L U F R2
F U R D' L B' U
D U R' L U R2 F
D U R' L U F R2
D' U R2 L U R' F
D' U R2 L U F R'
D2 U R2 L U R' F
D2 U R2 L U F R'
U D R' L U R2 F
U D R' L U F R2
D U R2 L U R' F
D U R2 L U F R'
U D R2 L U R' F
U D R2 L U F R'
F U D' L R B' U
F U D' L B' R U
F U D' R L B' U
U D' L R' U R2 F
U D' L R' U F R2
U D' L R2 U R' F
U D' L R2 U F R'
B U B' L U R F
U D' L U R D F
U D' L U R D' F
U D' L U R D2 F
U D' L U R F D
U D' L U R F D'
U D' L U R F D2
U D' L U R' F R2
U D' L U R2 F R'
U D' L U D R F
U D' L U D' R F
U D' L U D2 R F
U D' L D U R F
B2 U B2 L U R F
U D' L D' U R F
U D' L D2 U R F
U D' L B U R F
U D' L B' U R F
U D' L B2 U R F
B2 U' L R' U' F' R2
L' D' U2 B2 D' R F'
U2 D' R U' L U F
B2 U' L' R' U' F' R2
B2 U' L2 R' U' F' R2
U D' R' L U R2 F
U D' R' L U F R2
U D' R2 L U R' F
U D' R2 L U F R'
B2 U' R' L U' F' R2
B2 U' R' L' U' F' R2
B2 U' R' L2 U' F' R2
B2 U' R' U' F R2 F2
B2 U' R' U' F' R2 D
B2 U' R' U' F' R2 D'
B2 U' R' U' F' R2 D2
B2 U' R' U' F2 R2 F
B2 U' R' D' F2 U' F
B2 U' R' F U' R2 F2
B2 U' R' F U' F2 R2
B2 U' R' F2 U' R2 F
B2 U' R' F2 U' F R2
B2 U' D R' U' F' R2
B2 U' D' R' U' F' R2
R2 D2 L U L R' F
R2 D2 L U L F R'
R2 D2 L U R' L F
B2 U' D2 R' U' F' R2
B2 U' F R' U' F' R
U D2 L R' U R2 F
U D2 L R' U F R2
U D2 L R2 U R' F
U D2 L R2 U F R'
U D2 L U R D F
U D2 L U R D' F
U D2 L U R D2 F
U D2 L U R F D
U D2 L U R F D'
U D2 L U R F D2
U D2 L U R' F R2
U D2 L U R2 F R'
U D2 L U D R F
U D2 L U D' R F
U D2 L U D2 R F
U D2 L D U R F
U D2 L D' U R F
U D2 L D2 U R F
U D2 L B U R F
U D2 L B' U R F
U D2 L B2 U R F
D' U2 R U' L U F
D2 U2 R U' L U F
U2 D2 R U' L U F
D U2 R U' L U F
U D2 R' L U R2 F
U D2 R' L U F R2
U D2 R2 L U R' F
U D2 R2 L U F R'
U F L F' U R F2
B2 D U' R' U' F' R2
U2 F' U' L U F R
F2 D' L' U2 D' F B2
F2 D' L' U2 D' B2 F
F2 D' L' U2 F D' B2
F2 D' L' D F2 U2 F'
F2 D' L' D' U2 F B2
F2 D' L' D' U2 B2 F
B2 D' U' R' U' F' R2
F D' U L R B' U
F D' U L B' R U
F D' U R L B' U
L' F2 D F2 U2 R F'
L' F2 D' L' U2 F B2
L' F2 D' L' U2 B2 F
B2 D2 U' R' U' F' R2
U B' L U R F B
U B' L U R B F
B' F' U' L' U' B' R'
F' B' U' L' U' B' R'
B2 F' U' L' R' F' U'
B2 F' U' R' L' F' U'
U' B2 R D B2 L2 F
U' B2 R' B2 U' F' R2
D2 B2 U' R' U' F' R2
D' B2 U' R' U' F' R2
D B2 U' R' U' F' R2
F' B2 U' L' R' F' U'
F' B2 U' R' L' F' U'
U B2 U2 R' U' F' R2
U2 B2 D' R D F' B2
U2 B2 D' R D B2 F'
U2 B2 D' R F' D B2
