D F' R F' L' U'
L' R U F L' U2 F'
L' R U' F L' U2 L
F' L R2 U' R' F' B'
F' L R2 U' R' B' F'
L R U' B' R2 F' R
R L U' B' R2 F' R
F' L U' R B' D2 F2
F' L U' R' F' R2 B'
F' L U' R' F' B' R2
F' L U' R' B' F' R2
F' L U' B' R' F' R2
D' L U2 R B' L U
D' L U2 B' L R U
D' L U2 B' R L U
D L F' R F' L' U'
R L' U F L' U2 F'
R L' U' F L' U2 L
U2 L' R U' F L' U2
F L' F U' L' U' L
U L' F D' L' U2 F
D L' F' R F' L' U'
F2 L' F' U L' F2 U2
F2 L' F' U F2 U2 R
F2 L' F2 U F' U2 R
R U L' F L' U2 F'
D L2 F' R F' L' U'
U2 R L' U' F L' U2
L' U F D' L' U2 F
R U F L' F U2 F2
U2 R U D2 R' B R'
U2 R U D2 B R' B
U2 R U' L' F L' U2
U2 R U' F L' F U2
U2 R D' L B' L U
U2 R D' B' L B' U
U2 R D2 U R' B R'
U2 R D2 U B R' B
U2 R D2 B U R' B
R U' L' F L' U2 L2
D R F' R U2 R' U
R U' F L' F U2 L
D2 R' U' B D' R' F2
D2 R' U' B D' F2 R'
L' U2 R U' F L' U2
L2 U2 R U D2 B R'
L2 U2 R D2 U B R'
F' R2 L U' R' F' B'
F' R2 L U' R' B' F'
L2 U2 D2 R U B R'
R2 U2 D2 R' U B R'
F' R2 U' D2 R' F' B
F' R2 U' D2 R' B F'
F' R2 D2 U' R' F' B
F' R2 D2 U' R' B F'
U2 R2 D2 R' U B R'
F' U L U2 R F B'
F' U L U2 R B' F
F' U L U2 B' R F
F U L' F U' L' U'
U2 D R U2 F' R U'
F' U R B2 L F B'
F' U R B2 L B' F
F' U F2 L' F B' U2
F' U F2 L' B' F U2
U2 D' L R B' L U
U2 D' L B' L R U
U2 D' L B' R L U
U2 D' R L B' L U
U2 D' R B' L B' U
D2 U' R' B D' R' F2
D2 U' R' B D' F2 R'
L2 D' F2 L' F U' B'
D2 U' B R' D' F2 B
D2 U' B R' D' B F2
D2 U' B R' B D' F2
U2 D' B' L R B' U
F' U' D2 R' F' B R2
F' U' D2 R' B F' R2
U2 D' B' L B' R U
U2 D' B' R L B' U
R' D2 L2 R' U' B R'
R' D2 L2 U' R' B R'
R' D2 L2 U' B R' B
D' U2 L R B' L U
D' U2 L B' L R U
D' U2 L B' R L U
R' D2 R' L2 U' B R'
D' U2 R L B' L U
D2 U2 R U R2 B R'
D' U2 R B' L B' U
U2 D2 R U R2 B R'
D U2 R U2 F' R U'
U' D2 R' B D' R' F2
U' D2 R' B D' F2 R'
L2 D2 U2 R U B R'
R2 D2 U2 R' U B R'
U' D2 B R' D' F2 B
U' D2 B R' D' B F2
U' D2 B R' B D' F2
D2 U2 B R U R2 B
U2 D2 B R U R2 B
D' U2 B' L R B' U
D' U2 B' L B' R U
D' U2 B' R L B' U
U F L' F U' L' U'
R F U L' F U2 F'
R F U' L' F U2 L
D F' L R F' L' U'
D F' L' R F' L' U'
D F' L2 R F' L' U'
D2 F' R' U' B R' F'
D F' R L F' L' U'
D F' R L' F' L' U'
F D F' R U' F' R
D F' R L2 F' L' U'
D F' R D F' L' U'
D F' R D' F' L' U'
D F' R D2 F' L' U'
D F' R F' L' U' D
D F' R F' L' U' D'
D F' R F' L' U' D2
D F' R F' L' D U'
D F' R F' L' D' U'
D F' R F' L' D2 U'
D F' R F' D L' U'
D F' R F' D' L' U'
D F' R F' D2 L' U'
F D F2 U' R F' B
F D F2 U' R B F'
L' F' U F2 L' B' U2
L F' R2 U' R' F' B'
L F' R2 U' R' B' F'
D2 F' U' R' F' B R'
D2 F' U' R' B F' R'
L' F' U' R' F' R2 B
D2 F' U' B R' F' B
D2 F' U' B R' B F'
R F' U R B2 L B'
L F' U' R B' D2 F2
L F' U' R' F' R2 B'
L F' U' R' F' B' R2
L F' U' R' B' F' R2
L' F' D R2 U' R' F'
L F' U' B' R' F' R2
D2 F2 L' R' U' B R'
D2 F2 L' U' R' B R'
D2 F2 L' U' B R' B
L2 F2 L' F U' R B'
L2 F2 L' F U' B' R
D F2 L' F R F' U'
D2 F2 R' L' U' B R'
D F2 D2 L' F R U'
F' D2 U' R' F' B R2
F' D2 U' R' B F' R2
