D R' B U B L
D L R' F B U B
D L R' B F U B
D L F R' B U B
D R' L F B U B
D R' L B F U B
F' R' D B2 L F U
D R' F B U B L
U2 R' F' U R D B2
U2 R' F' U2 R' U' R2
U2 R' F' B U R B
U2 R' F' B2 L U R
D R' F' B U B L
R' U2 R' U2 F' U R
D R' F2 B U B L
D R' B L F U B
R2 U2 R' F' R2 U R'
D R' B U L B L
D R' B U L' B L
D R' B U L2 B L
D R' B U D B L
D R' B U D' B L
D R' B U D2 B L
D R' B U B L D
D R' B U B L D'
D R' B U B L D2
D R' B U B D L
D R' B U B D' L
D R' B U B D2 L
D R' B D U B L
U2 R' B F' U R B
D R' B D' U B L
D R' B D2 U B L
D R' B F U B L
D R' B F' U B L
D R' B F2 U B L
F' R' B2 L F U R2
F2 R' B2 L F U R
U2 R' B2 L F' U R
U2 R' B2 F' L U R
U2 R2 U2 R F' U R
F' R2 F' U' R' F' L'
F R2 F2 L' B' U' R
L D R' F B U B
L D R' B F U B
L D F R' B U B
U2 D R' F' B U B
U2 D R' B F' U B
D U R' B U L B
U D R' B U L B
R2 D' F2 L' F B' U'
R2 D' F2 L' B' F U'
R' D' B2 L F B' U
R' D' B2 L B' F U
D U2 R' F' B U B
D U2 R' B F' U B
D F R' B U B L
D F' R' B U B L
R2 F' U' R' F' L' R2
R2 F' U' R' F' R2 L'
R' F' B U R B L
R2 F2 L' F B' U' R
R2 F2 L' B' F U' R
D F2 R' B U B L
R' F2 B2 L F U R
R' B F' U R B L
R' B2 L F U' L' U2
R' B2 D' L F B' U
R' B2 D' L B' F U
R' B2 F2 L F U R
