B2 R F' L' U R2
R F' L' U D2 R2
R F' L' U' L2 U2
R F' L' D' B2 U
R F' L' D2 U R2
R F' B2 L' U R'
R B2 F' L' U R'
B2 L R F' L' U R2
U' L U R F' L' U
U2 L U R F' U B
L' R D' F' L' B2 U
L' R D' F' B2 L' U
L' R D' B2 F' L' U
L' R D2 F' L' U R2
L' R F' L' U' L' U2
L R F' L' U' L U2
L R F' L' B2 U R'
R L F' L' U' L U2
R L F' L' B2 U R'
L' R F' D' L' B2 U
L' R F' D' B2 L' U
L' R F' D2 L' U R2
B2 L' R F' L' U R2
R L' D' F' L' B2 U
R L' D' F' B2 L' U
R L' D' B2 F' L' U
R L' D2 F' L' U R2
R L' F' L' U' L' U2
R L' F' D' L' B2 U
R L' F' D' B2 L' U
R L' F' D2 L' U R2
B2 L2 R F' L' U R2
L U L' R F' U B'
L U R L' F' U B'
L U R F' L' U B'
B2 R L F' L' U R2
B2 R L' F' L' U R2
B2 R L2 F' L' U R2
B2 R D F' L' B2 U
B2 R D F' B2 L' U
B2 R D B2 F' L' U
R U' L U F' L' U
B R D2 F' L' U R
B' R F' L' B' U R'
B2 R F' L' U R2 D
B2 R F' L' U R2 D'
B2 R F' L' U R2 D2
B2 R F' L' D B2 U
B2 R F' L' B U R2
B2 R F' L' B' U R2
B2 R F' L' B2 U R2
U' R F' U B2 R' B'
U' R F' U' L U2 B
B R F' L' B U R'
U2 R F' U' L F U2
B2 R F' D L' B2 U
B' R F' B' L' U R'
B2 R F' D B2 L' U
U' R F' B2 U R' B'
B2 R F' B L' U R2
B2 R F' B' L' U R2
B2 R F' B2 L' U R2
B R F' B L' U R'
B2 R B F' L' U R2
B R B F' L' U R'
B' R B' F' L' U R'
B2 R B' F' L' U R2
U' R B2 F' U R' B'
B2 R B2 F' L' U R2
R D F' L' U D2 R2
R D F' L' U' L2 U2
R D F' L' D' B2 U
R D F' L' D2 U R2
R D F' B2 L' U R'
R D B2 F' L' U R'
R D' F' L' U D2 R2
R D' F' L' U' L2 U2
R D' F' L' D' B2 U
R D' F' L' D2 U R2
B2 U' R F' U B R2
R D' F' B2 L' U R'
B U' R F' U B R'
R D' B2 F' L' U R'
R D2 F' L' U D2 R2
R D2 F' L' U' L2 U2
R D2 F' L' D' B2 U
R D2 F' L' D2 U R2
R D2 F' B2 L' U R'
R D2 B2 F' L' U R'
R F L2 F2 L' U R
R F' L' U R D2 R2
R F' L' U R' D2 R2
R F' L' U R2 D2 R2
R F' L' U D2 R2 D
R F' L' U D2 R2 D'
R F' L' U D2 R2 D2
R F' L' U' L2 U2 D
R F' L' U' L2 U2 D'
R F' L' U' L2 U2 D2
R F' L' U' L2 D U2
R F' L' U' L2 D' U2
R F' L' U' L2 D2 U2
R F' L' U2 D F2 U'
R F' L' D U2 F2 U'
R F' L' D' B2 U D
R F' L' D' B2 U D'
R F' L' D' B2 U D2
R F' L' D' B2 D U
R F' L' D' B2 D' U
R F' L' D' B2 D2 U
R F' L' D' B2 D2 U
R F' L' D2 U R2 D
R F' L' D2 U R2 D'
R F' L' D2 U R2 D2
R F' L' D2 B U R2
R F' L' D2 B' U R2
R F' L' D2 B2 U R2
R F' L' B U D2 R2
R F' L' B U' L2 U2
R F' L' B D' B2 U
R F' L' B D2 U R2
R F' L' B' U D2 R2
R F' L' B' U' L2 U2
R F' L' B' D' B2 U
R F' L' B' D2 U R2
R F' L' B2 U D2 R2
R F' L' B2 U' L2 U2
R F' L' B2 D' B2 U
R F' L' B2 D2 U R2
R F' U' L U L2 U
R F' U' L U2 D' B2
R F' U' L D F2 U2
R F' U' L D' U2 B2
R F' D L' U D2 R2
R F' D L' U' L2 U2
R F' D L' D' B2 U
R F' D L' D2 U R2
R F' D B2 L' U R'
R F' D' L' U D2 R2
R F' D' L' U' L2 U2
R F' D' L' D' B2 U
R F' D' L' D2 U R2
R F' D' B2 L' U R'
R F' D2 L' U D2 R2
R F' D2 L' U' L2 U2
R F' D2 L' D' B2 U
R F' D2 L' D2 U R2
R F' D2 B2 L' U R'
R F' B L' B U R'
R F' B' L' B' U R'
R F' B2 L' U R' D
R F' B2 L' U R' D'
R F' B2 L' U R' D2
R F' B2 L' U D R'
R F' B2 L' U D' R'
R F' B2 L' U D2 R'
R F' B2 L' D U R'
R F' B2 L' D' U R'
R F' B2 L' D2 U R'
R F' B2 D L' U R'
R F' B2 D' L' U R'
R F' B2 D2 L' U R'
U' B R F' U B R'
R B D2 F' L' U R
R B F' L' B U R'
R B' F' L' B' U R'
U' B2 R F' U B R2
R B2 L F' L' U R'
R B2 L' F' L' U R'
R B2 L2 F' L' U R'
R B2 D F' L' U R'
R B2 D' F' L' U R'
R B2 D2 F' L' U R'
R B2 F' L' U R' D
R B2 F' L' U R' D'
R B2 F' L' U R' D2
R B2 F' L' U D R'
R B2 F' L' U D' R'
R B2 F' L' U D2 R'
R B2 F' L' D U R'
R B2 F' L' D' U R'
R B2 F' L' D2 U R'
R B2 F' D L' U R'
R B2 F' D' L' U R'
R B2 F' D2 L' U R'
