D R F2 L' B R'
D R F2 B L' R'
D R F2 B R' L'
D R B F2 L' R'
D R B F2 R' L'
D L R F2 L' B R'
D L R F2 B L' R'
D L R F2 B R' L'
D L R B F2 L' R'
D L R B F2 R' L'
L2 R D' F' U' L2 B
L2 R D' F' U' B L2
L2 R D2 F' B2 U' B'
L2 R D2 B2 F' U' B'
L2 R F' U2 F' U B
D' L B2 R' F' U2 R
D L' R F2 L' B R'
D L' R F2 B L' R'
D L' R F2 B R' L'
D L' R B F2 L' R'
D L' R B F2 R' L'
R L2 D' F' U' L2 B
R L2 D' F' U' B L2
D' L2 R D2 F2 B R'
D' L2 R D2 B R' F2
D' L2 R D2 B F2 R'
F' L2 R F' U' B L
D' L2 R B R2 F' R
D L2 R F2 L' B R'
D L2 R F2 B L' R'
D L2 R F2 B R' L'
F L2 R F' B' U' B2
D L2 R B F2 L' R'
D L2 R B F2 R' L'
F L2 R B' F' U' B2
R L2 D2 F' B2 U' B'
R L2 D2 B2 F' U' B'
R L2 F' U2 F' U B
D' L2 D2 R F2 B R'
D' L2 D2 R B R' F2
D' L2 D2 R B F2 R'
D' L2 D2 F2 R B R'
D' L2 F D2 F2 R B
D' L2 F' R D2 F2 B
D' L2 F' R D2 B F2
D' L2 F' D2 R F2 B
D' L2 F' D2 R B F2
F L2 B' R F' U' B
D R L F2 L' B R'
D R L F2 B L' R'
D R L F2 B R' L'
D R L B F2 L' R'
D R L B F2 R' L'
D R L' F2 L' B R'
D R L' F2 B L' R'
D R L' F2 B R' L'
D R L' B F2 L' R'
D R L' B F2 R' L'
D' R L2 D2 F2 B R'
D' R L2 D2 B R' F2
D' R L2 D2 B F2 R'
F' R L2 F' U' B L
D' R L2 B R2 F' R
D R L2 F2 L' B R'
D R L2 F2 B L' R'
D R L2 F2 B R' L'
D R L2 B F2 L' R'
D R L2 B F2 R' L'
F R L2 F' B' U' B2
F R L2 B' F' U' B2
D R U F2 L' B R'
D R U F2 B L' R'
D R U F2 B R' L'
D R U B F2 L' R'
D R U B F2 R' L'
