U' L F' L2 B' U
U' L' F' U2 F U'
U L' F' U2 L U'
L' F' B2 U R' F
L' F' B2 U F R'
L' B2 F' U R' F
L' B2 F' U F R'
U2 L U F' L2 B' U
U' L F' L2 D B' U
U' L F' L2 D' B' U
U' L F' L2 D2 B' U
U' L F' L2 B' U D
U' L F' L2 B' U D'
U' L F' L2 B' U D2
U' L F' L2 B' D U
U' L F' L2 B' D' U
U' L F' L2 B' D2 U
U' L F' B L2 B' U
U' L F' B' L2 B' U
U' L F' B2 L2 B' U
U L F2 R F L2 U
U' L B F' L2 B' U
U' L B' F' L2 B' U
U' L B2 F' L2 B' U
U L' R2 U2 L B U'
U L' U2 L U2 F' U
U' L' D F' U2 F U'
U L' D F' U2 L U'
U' L' D' F' U2 F U'
U L' D' F' U2 L U'
U' L' D2 F' U2 F U'
U L' D2 F' U2 L U'
U' L' F' L2 B' L2 U
U' L' F' U2 D F U'
U' L' F' U2 D' F U'
U' L' F' U2 D2 F U'
U' L' F' U2 F U' D
U' L' F' U2 F U' D'
U' L' F' U2 F U' D2
U' L' F' U2 F D U'
U' L' F' U2 F D' U'
U' L' F' U2 F D2 U'
U L' F' R U2 L U'
U' L' F' D U2 F U'
U L' F' R' U2 L U'
U' L' F' D' U2 F U'
U L' F' R2 U2 L U'
U' L' F' D2 U2 F U'
D' L' F' B2 U R' F
D' L' F' B2 U F R'
D2 L' F' B2 U R' F
D2 L' F' B2 U F R'
U' L' F' B U2 F U'
U' L' F' B' U2 F U'
B' L' F' B2 U R' F
B' L' F' B2 U F R'
U L' F' U2 L U' D
U L' F' U2 L U' D'
U L' F' U2 L U' D2
U L' F' U2 L D U'
U L' F' U2 L D' U'
U L' F' U2 L D2 U'
U' L' F' B2 U2 F U'
U L' F' U2 D L U'
U L' F' U2 D' L U'
U L' F' U2 D2 L U'
U L' F' D U2 L U'
B2 L' F' B2 U R' F
B2 L' F' B2 U F R'
U L' F' D' U2 L U'
D L' F' B2 U R' F
D L' F' B2 U F R'
B L' F' B2 U R' F
B L' F' B2 U F R'
U L' F' D2 U2 L U'
U L' F' B2 R' B2 U
U' L' F2 D F U R2
