B' L F' U R F2 U
F L' B' U L F2 U2
F L' B' U F2 L U2
F L' B' U' D2 B2 R'
F L' B' D2 U' B2 R'
F' U R B U L R'
F' U R B U R' L
F' U B R U L R2
F' U B R U R2 L
F2 U' F R B U2 R'
R2 F L' B' U' B2 R'
F D L' R2 F B' U'
F D L' R2 B' F U'
F D L' F R2 B' U'
F D L' F B' R2 U'
F D L' B' R2 F U'
F D L' B' F R2 U'
F D R2 L' F B' U'
F D R2 L' B' F U'
R F' R U B L R'
R F' R U B R' L
R2 F2 U B L R' F
R2 F2 U B L F R'
R2 F2 U B R' L F
R2 F2 U' B R' F' L'
B' F' L U R F U
F' B' L U R F U
B2 F' U R B U L
F' B2 U R B U L
