F' U F U2 F' R'
F2 U F2 U2 R' F2
F2 U F2 U2 F2 R'
F U F' U2 R' F
F U F' U2 F R'
B' U2 B U' R' B'
B2 U2 B2 U' R' B2
B2 L R U' B2 L U'
U2 L R' U L' U' L
B2 L R2 D B2 U2 L2
B2 L R2 D' R2 U2 F2
U2 L U L' U' L R'
U2 L U L' U' R' L
B2 L U D2 F2 U F2
F2 L U F2 U2 R' F2
F2 L U F2 U2 F2 R'
F L U F' U2 R' F
F L U F' U2 F R'
B2 L U' B2 U B2 U2
B2 L U' B2 U' D2 F2
B2 L U' B2 D L2 U'
B2 L U' B2 D2 U' F2
B2 L U2 L2 D L2 F2
B2 L U2 L2 D F2 L2
B2 L U2 D L2 D F2
B' L U2 B U' R' B'
B2 L D U2 L2 D F2
B2 L D' R2 U R2 U
B2 L D' R2 U2 D' F2
B2 L D' R2 D B2 U2
B2 L D' R2 D' U2 F2
B2 L D2 U F2 U F2
U2 L F2 R' D' L2 F2
U2 L F2 R' D' F2 L2
U2 L' R' U L U' L'
U2 L' U L U' L' R'
U2 L' U L U' R' L'
F2 L' U F2 U2 R' F2
F2 L' U F2 U2 F2 R'
F L' U F' U2 R' F
F L' U F' U2 F R'
B' L' U2 B U' R' B'
U2 L' B' U B R' F'
U2 L' B2 R' U B2 R'
U2 L2 R' U L2 U' L2
U2 L2 R' D F2 D' L2
U2 L2 U L2 U' L2 R'
U2 L2 U L2 U' R' L2
F2 L2 U F2 U2 R' F2
F2 L2 U F2 U2 F2 R'
F L2 U F' U2 R' F
F L2 U F' U2 F R'
U' L2 U' L2 R' D F2
U' L2 U' L2 D R' F2
U' L2 U' L2 D F2 R'
F' L2 U' R B' R2 F'
U' L2 U' R' L2 D F2
U' L2 U2 L2 R' D' B2
U' L2 U2 L2 D' R' B2
U' L2 U2 R' L2 D' B2
B' L2 U2 B U' R' B'
U2 L2 D R' F2 D' L2
U2 L2 D F2 R' D' L2
U2 L2 D F2 D' L2 R'
U2 L2 D F2 D' R' L2
U L2 D F2 U2 R' F2
U L2 D F2 U2 F2 R'
U L2 D' R B2 L R2
U L2 D' R B2 R2 L
R' U R U' R' U2 R
R U R' U R' D2 L2
R U R' U' R U2 R2
R U R' F2 U L' R'
R U R' F2 U R' L'
R2 U R2 U D2 L2 R'
R2 U R2 U D2 R' L2
R2 U R2 U' R2 U2 R
R2 U R2 D' F2 U R'
R2 U R2 D2 U L2 R'
R2 U R2 D2 U R' L2
B2 R L U' B2 L U'
B2 R U' B2 L U' R'
U R F2 U R2 F2 L'
U2 R B U B' R2 F'
U2 R' L U L' U' L
R2 U' D2 L2 U' L2 R
R2 U' D2 L2 U' R L2
U2 R' L' U L U' L'
U2 R' L2 U L2 U' L2
U2 R' L2 D F2 D' L2
U' R' U R U2 R' U
U R' U2 R U' R' U'
R U' B2 L U' L' R2
R U' B2 L U' R2 L'
U2 R' F U' F' U F
U2 R' F' U' F U F'
U2 R' F2 U' F2 U F2
U2 R' F2 D' L2 D F2
R U2 R' B' U B R'
R U2 R' B2 U B2 R'
R2 U2 R2 B' U B R'
R2 U2 R2 B2 U B2 R'
R U2 D R' B2 U B2
R2 U2 D' R F2 D' L2
B2 R2 L D B2 U2 L2
B2 R2 L D' R2 U2 F2
R2 U2 F2 D' F2 L2 R
R2 U2 F2 D' F2 R L2
U' R2 U2 D R B2 L
R2 U2 B R2 U R' B'
F R2 U' D' B R F2
F R2 U' B D' R F2
U' R2 D R B2 D2 F2
B2 R2 D L B2 R' U2
U' R2 D U2 R B2 L
U' R2 D B2 R D2 F2
U' R2 D B2 D2 R F2
B2 R2 D B2 U2 L2 R'
B2 R2 D B2 U2 R' L2
B2 R2 D' L R2 U2 F2
R2 U2 B2 R2 U R' B2
B2 R2 D' R2 L U2 F2
U' R2 D' F2 L' U2 L
F' R2 D2 L2 U' R B'
F' R2 D2 L2 U' B' R
F2 R2 D2 L2 U' R B2
F2 R2 D2 L2 U' B2 R
F R2 D' U' B R F2
U R2 D' F2 U F2 R
F R2 D2 L2 U' B R
U R2 D2 L2 R D' B2
U R2 D2 L2 D' R B2
