U2 B R' D B2 L
B L R' D B2 L F
U2 L B R' D B2 L
B' L B R2 U' R' U'
D L' U' R F B2 U'
D L' U' R B2 F U'
D L' U' B2 R F U'
U2 L' B R' D B2 L
B L2 R' D F B2 L
B L2 R' D B2 F L
B L2 R' F D B2 L
U2 L2 B R' D B2 L
R2 U D B2 L B' U
B' R U L R U2 F'
B' R U R L U2 F'
B R U R B' U2 R
B R U B' R U2 R
R2 U B U R B R2
R2 U B2 L B' U R'
D' R F' U2 F' U F
U' R F2 B U' L' R'
U' R F2 B U' R' L'
R2 U' R' U' B R' B'
R2 U' R' U2 B U R'
U' R B U R U2 R2
U' R B U' R' D2 L2
R2 U' R' D2 F' U' R
U' R B F2 U' L' R'
U' R B F2 U' R' L'
U' R B' U L R U2
R2 U' R2 D' R F' U'
U' R B' U R L U2
R2 U' D' R F' R2 U'
R2 U' D' R' U2 B U
B R' L D B2 L F
R2 U' D2 R' F' U' R
R2 U' D2 F' R' U' R2
B R' L2 D F B2 L
B R' L2 D B2 F L
B R' L2 F D B2 L
B R' D L B2 L F
B R' D L2 F B2 L
B R' D L2 B2 F L
B' R' D B2 L R' F'
B' R' D B2 R' L F'
B' R' D B2 R' F' L
R2 U2 R B D R' B2
R2 U2 R B' D B2 R'
R2 U2 R2 B R' D B2
F2 R2 U L' B U R'
F2 R2 U B L' U R'
F' R2 U' R U' B R'
L' U2 B R' D B2 L
L2 U2 B R' D B2 L
L U2 B R' D B2 L
F R2 U2 B D R' B
R2 U2 B' D' B2 R' B
R2 D L' U' R' F U'
R2 D L' U' F R' U'
R2 D U B2 L B' U
R' D' R' F2 U B U
U' D B2 D2 R F' U'
R D' R U' F' R' U'
R2 D' U' R F' R2 U'
R2 D' U' R' U2 B U
D' U' R D' F' U' L2
U' D' R D' F' U' L2
D' U' R D2 F' B2 U'
U' D' R D2 F' B2 U'
D' U' R D2 B2 F' U'
U' D' R D2 B2 F' U'
D' U' R F' U2 F' U
U' D' R F' U2 F' U
D2 U' R F' U' L2 R
D2 U' R F' U' R L2
R' D' F2 R' U B U
D2 U' F' U' L2 R B
D2 U' F' U' R L2 B
D2 U' F' U' R B L2
D U' B2 D2 R F' U'
U' D2 R F' U' L2 R
U' D2 R F' U' R L2
R2 D2 U' R' F' U' R
R2 D2 U' F' R' U' R2
R2 D2 F L' U' R' U'
U' D2 F' U' L2 R B
U' D2 F' U' R L2 B
U' D2 F' U' R B L2
R2 D2 F' U' R' U' R2
R2 D2 F' U2 R D B2
R2 D2 F2 U' R' F' U'
B D R B2 U' R2 F'
B D R' D L2 F B2
B D R' D L2 B2 F
D2 F2 U L' B' U L'
B D2 L2 R' D F B2
B D2 L2 R' D B2 F
B D2 L2 R' F D B2
B D2 L2 F D R' B
B D2 R U' L2 R2 F
B D2 R U' L2 F R2
B D2 R U' R2 L2 F
B D2 R' L2 D F B2
B D2 R' L2 D B2 F
B D2 R' L2 F D B2
U2 B L R' D B2 L
U2 B L' R' D B2 L
U2 B L2 R' D B2 L
U' B R U R U2 R
U' B R D' F2 U' L'
U' B R F2 U' L' R2
U' B R F2 U' R2 L'
U2 B R' L D B2 L
U2 B R' L' D B2 L
U2 B R' L2 D B2 L
U2 B R' D L B2 L
U2 B R' D L' B2 L
U2 B R' D L2 B2 L
U2 B R' D B2 L D
U2 B R' D B2 L D'
U2 B R' D B2 L D2
U2 B R' D B2 D L
U2 B R' D B2 D' L
U2 B R' D B2 D2 L
U2 B R' B2 L D B2
U2 B R' B2 D L B2
U' B U' R' D B2 L
U B U R' D B2 L
R B U R B' U2 R2
U' B D R B2 U' R2
R B U' R' D2 L2 F
U2 B D R' D L2 B2
U2 B D R' D B2 L2
U' B D2 R U' L2 R2
U' B D2 R U' R2 L2
U2 B D2 L2 R' D B2
U2 B D2 R' L2 D B2
U B D' F2 L' U R'
R2 B' L B U' R' U'
U' B' R U L R U2
U' B' R U R L U2
U2 B' R' D B2 L R'
U2 B' R' D B2 R' L
R B' U L B R U2
U' B' D R B2 U' R'
U' B' D B2 R U' R2
R2 B' D L B U2 B2
D B2 D2 R F' U' F'
