R U' B U L F
F' L R B U F B'
F' L R B U B' F
L R U' B U F L
R L U' B U F L
R' L D' F L' D R2
R' L D' F D L' R2
R' L D' F D R2 L'
L R F U' B U L
R L F U' B U L
F' L B U F R B'
F' L B U F B' R
F' L B U B' F R
F' L B' U F B R
F' L B' U B F R
F' L B2 U F R B2
F' L B2 U F B2 R
F' L B2 U B2 F R
L R' D' F L' D R2
L R' D' F D L' R2
L R' D' F D R2 L'
R2 U D B L U' R'
F' R L B U F B'
F' R L B U B' F
D2 R U' B U L F
D' R U' B U L F
F2 R U' F B R U
F2 R U' B F R U
D R U' B U L F
R U' D B U L F
R U' D' B U L F
R U' D2 B U L F
R U' F B R U L
L U' F' B' U R' F2
L U' F' B' U F2 R'
R U' B R U L F
R U' B R' U L F
R U' B R2 U L F
R U' B U L D F
R U' B U L D' F
R U' B U L D2 F
R U' B U L F D
R U' B U L F D'
R U' B U L F D2
R U' B U D L F
R U' B U D' L F
R U' B U D2 L F
R U' B U F L F
R U' B U F' L F
R U' B U F2 L F
R U' B D U L F
R U' B D' U L F
R U' B D2 U L F
R U' B F R U L
L U' B' F' U R' F2
L U' B' F' U F2 R'
R2 D U B L U' R'
R D U' B U L F
L2 D F' R B U B'
R' D' L F L' D R2
R' D' L F D L' R2
R' D' L F D R2 L'
R D' U' B U L F
F2 U' F R B' U R'
F2 U' F B' R U R2
F2 U' B' F R U R2
R D2 U' B U L F
U' F R F2 B' U R'
U' F R B' F2 U R'
L F R U' F2 B U
L F R U' B F2 U
L F U' F2 B' U R'
L F U' B' F2 U R'
R F U' B U L F
U' F B' R F2 U R2
L F' R B U F2 B'
L F' R B U B' F2
U' F' U2 L' F U' R
U F' U L' U2 L F
U F' U' L' B' U2 B
R F' U' B U L F
U' F' B' U2 L' U' R'
R F2 U' B U L F
B' F' L U F B R
B' F' L U B F R
F' B' L U F B R
F' B' L U B F R
B2 F' L U F R B2
B2 F' L U F B2 R
B2 F' L U B2 F R
U' B' F R F2 U R2
U' B' F' U2 L' U' R'
F' B2 L U F R B2
F' B2 L U F B2 R
F' B2 L U B2 F R
