F2 U L U' L2 B'
F' L R F' U' L' R'
F' L R F' U' R' L'
F2 L R' U' L2 R B
F2 L R' U' R L2 B
F2 L R' U' R B L2
L' R U2 D R' F2 B
L' R U2 D R' B F2
L' R U2 D F2 R' B
U L U D R F' U2
L' R D R' F2 L' B
L' R D R' F2 B L'
L' R D R' B F2 L'
L' R D U2 R' F2 B
L' R D U2 R' B F2
L' R D U2 F2 R' B
L' R D' B2 L U2 B'
U L U2 F2 U L' B'
U L D U R F' U2
F2 L F R U' L2 R'
F2 L F R U' R' L2
U2 L F2 U' L' R B
U2 L F2 U' R L' B
U2 L F2 U' R B L'
D' L B' L2 D F2 L'
R L' U2 D R' F2 B
R L' U2 D R' B F2
R L' U2 D F2 R' B
R L' D R' F2 L' B
R L' D R' F2 B L'
R L' D R' B F2 L'
R L' D U2 R' F2 B
R L' D U2 R' B F2
R L' D U2 F2 R' B
R L' D' B2 L U2 B'
D2 L' D L F2 B' L'
D2 L' D L B' F2 L'
D' L' D L' F2 L' B'
D2 L' D L2 F2 L' B'
D' L' D L2 F2 B' L'
D' L' D L2 B' F2 L'
D2 L' D F2 L B' L2
F2 L' F U L2 R U'
F2 L' F U R L2 U'
F' L2 U L' R B' U'
F' L2 U L' B' R U'
F' L2 U R L' B' U'
F2 L2 U L' U' B' L2
F2 L2 U L' U' B' L2
U' L2 F2 R U L' B'
F' R L F' U' L' R'
F' R L F' U' R' L'
D' R U' L U' R' B'
U2 R U' D' L U' B'
U2 R D' U' L U' B'
R U' L U' D R' B
R U' L D U' R' B
R U' L F' R U' R2
F' R F' L U' L2 R'
F' R F' L U' R' L2
U2 R F' U' L R U'
U2 R F' U' R L U'
D R F' U' L U' R'
R U' D L U' R' B
R U' D' L U' R' B'
F2 R' L U' L2 R B
F2 R' L U' R L2 B
F2 R' L U' R B L2
R U' F' L R U' R2
R U' F' R L U' R2
L2 U' F2 R U L' B'
L U' F2 U L' F2 B'
L U' F2 U L' B' F2
L' U2 D R F' U2 F'
L' D R F' U2 F' R'
L' D R' B R F2 L'
F' U L R U2 F U
D' U L U R U2 B'
F2 U L R U' L2 B'
F2 U L R' U' L2 B'
F2 U L R2 U' L2 B'
L' D U2 R F' U2 F'
F2 U L U F U2 L2
F2 U L U' L2 D B'
F2 U L U' L2 D' B'
F2 U L U' L2 D2 B'
F2 U L U' L2 B' D
F2 U L U' L2 B' D'
F2 U L U' L2 B' D2
F2 U L U' B L2 B'
F2 U L U' B' L2 B'
F2 U L U' B2 L2 B'
R D U' L U' R' B
D U L U R F' U2
F' U L' R B' L2 U'
F2 U L B U' L2 B'
F2 U L B' U' L2 B'
F2 U L B2 U' L2 B'
U D L U R F' U2
F' U L' B' L2 R U'
F' U L' B' R L2 U'
F' U R L U2 F U
F' U R L' B' L2 U'
L' D F2 L' R' B R
L' D F2 L2 D2 L B'
F2 U R L U' L2 B'
L' D F2 R' L' B R
L' D F2 R' B L' R
L' D F2 R' B R L'
L' D F2 D2 L B' L2
U2 D R F' U' L U'
F2 U R' L U' L2 B'
F2 U R2 L U' L2 B'
F2 U D L U' L2 B'
R2 D B2 R' U L B
F2 U D' L U' L2 B'
L' D' L D2 F2 B' L'
L' D' L D2 B' F2 L'
F2 U D2 L U' L2 B'
L2 D' L D F2 B' L'
L2 D' L D B' F2 L'
L2 D' L B' D F2 L'
L' D' L2 D2 F2 L' B'
L D' L2 D F2 L' B'
L' D' R B2 L U2 B'
U D' L U R U2 B'
R D' U' L U' R' B'
U2 D' R U' L U' B'
L' D' F2 L B' L2 F
B2 U' F2 R' U L' B'
D' U2 R U' L U' B'
D U2 R F' U' L U'
F2 D U L U' L2 B'
L F' R F' U' L' R'
L F' R F' U' R' L'
U2 F' U' L R B U'
U2 F' U' R L B U'
R F' U' L R U' R2
R F' U' R L U' R2
F2 D' U L U' L2 B'
D' F2 L B' L2 D F2
D' F2 L' U L2 U' B'
L' F2 L' U L' U' B'
L2 F2 L' U' R U B
L2 F2 R U L' R' B'
L2 F2 R U R' L' B'
U' F2 U L' D F2 B'
U' F2 U L' D B' F2
U' F2 U L' B' D F2
D' F2 U L U' B' L2
L F2 R' U' L' R B
L F2 R' U' R L' B
L F2 R' U' R B L'
L' F2 U L2 U' L B'
L2 F2 U' R U L' B
L2 F2 U' R U B L'
F2 D2 U L U' L2 B'
B2 F2 R' U L' R B'
B2 F2 R' U L' B' R
B2 F2 R' U R L' B'
F2 B2 R' U L' R B'
F2 B2 R' U L' B' R
F2 B2 R' U R L' B'
