B L B U F' U B'
B' L2 R' B2 D' F L'
B' L2 F R' B2 D' L2
B' L2 F' U R' F2 B2
B' L2 F' U R' B2 F2
B' L2 F' U F2 R' B2
B' R U B2 R2 F' L'
B' R' L2 B2 D' F L'
B2 R2 U' B U' R' B2
B2 U D2 F' U R B'
B2 U D2 F' U B' R
B2 U F' U B R' B2
B2 U F' B U R' B2
F' U B R2 D' F' R
B2 U B F' U R' B2
B2 U' R2 B U' R' B2
B U' F' U' L B U2
B U2 L B U F' U
B' D L2 F' U R' F2
B' D L2 F' U F2 R'
D' F D' B L2 F2 R
F2 D L2 B' U' R' B2
D' F B D' L2 F2 R
B' D F' L2 U R' F
B' D F' L2 U F R'
U2 F' U D2 F2 B R
U2 F' U D2 B F2 R
U' F' U' B2 U2 B' R'
U2 F' U' L' B2 U2 B'
U2 F' D2 U F2 B R
U2 F' D2 U B F2 R
D' F' B' R2 U R B2
D' F' B' R2 U B2 R
D2 F' B' U F' R' B2
D F2 L2 B' U' R' B2
F' D' B' R2 U R B2
F' D' B' R2 U B2 R
F D' B L2 D' F2 R
B2 D2 U F' U R B'
B2 D2 U F' U B' R
F' D2 B' U R' F2 B2
F' D2 B' U R' B2 F2
F' D2 B' U F2 R' B2
R2 B U L F' B U2
R2 B U L B F' U2
R2 B U F' L B U2
D' B F D' L2 F2 R
B' F' L2 U R' F B2
B' F' L2 U R' B2 F
B' F' L2 U F R' B2
F' B' L2 U R' F B2
F' B' L2 U R' B2 F
F' B' L2 U F R' B2
B' F' R U B2 R2 F'
F' B' R U B2 R2 F'
B' F' U R B2 R2 F'
F' B' U R B2 R2 F'
D2 B' F' U F' R' B2
D' B' F' R2 U R B2
D' B' F' R2 U B2 R
B' F' D L2 U R' F
B' F' D L2 U F R'
F' B' D L2 U R' F
F' B' D L2 U F R'
U2 B2 U F' U B' R'
