D F L' B' R' U
U' L D F R B' L'
U' L D F B' L' R
U' L D F B' R L'
B L D F U' B' L'
U' L D B' F L' R
U' L D B' F R L'
U' L D' F R B' L
U' L D' F B' L R
U' L D' F B' R L
B L D' F U' B' L
U' L D' B' F L R
U' L D' B' F R L
U L D' B' L R' F'
U L D' B' R' L F'
U L D' B' R' F' L
U' L F R D' B' L
B L F U' D' B' L
U' L F D' R B' L
U' L F D' B' L R
U' L F D' B' R L
B L F D' U' B' L
U' L B' D F L' R
U' L B' D F R L'
D' L' B' L R' F U
D' L' B' L F R' U
D' L' B' R' L F U
D2 L' B' R' U B L
F L' B' L2 R' U B'
F L' B' R' L2 U B'
F L' B' R' U' F U2
B L2 B' L' F U' B'
D R F L' B' R' U
B' R' D F L' B' U
D R' F L' B' R' U
D R2 F L' B' R' U
F2 R2 B L F U' B'
R' D F L' B' R' U
R2 D F L' B' R' U
F U L B' L' R' F'
F U L B' R' L' F'
R D F L' B' R' U
U2 D F L' R B U
U2 D F R L' B U
U2 D F R B L' U
F U D2 B' R' F' B
F U D2 B' R' B F'
F U B' D2 R' F' B
F U B' D2 R' B F'
F U' L U2 F B' R'
F U' L U2 B' R' F
F U' L U2 B' F R'
L D' F U' B' L F
F U' L' F B' U2 R
F U' L' B' F U2 R
F U' F' L' F B' U2
F U' F' L' B' F U2
F U2 L U' B' R' F'
D U2 F L' R B U
D U2 F R L' B U
D U2 F R B L' U
U' F L U R F B'
U' F L U R B' F
U' F L U B' R F
U2 F L R B U B2
D' F L' B' L R' U
D' F L' B' R' L U
D2 F L' B' R' U B
D F L' R B' R' U
D F L' R' B' R' U
D F L' R2 B' R' U
D F L' D B' R' U
D F L' D' B' R' U
D F L' D2 B' R' U
D F L' B' R' U D
D F L' B' R' U D'
D F L' B' R' U D2
D F L' B' R' D U
D F L' B' R' D' U
D F L' B' R' D2 U
D F L' B' D R' U
D F L' B' D' R' U
D F L' B' D2 R' U
U2 F R L B U B2
D F R L' B' R' U
U2 F R B L U B'
D F R' L' B' R' U
D F R2 L' B' R' U
D2 F U B' R' F' B
D2 F U B' R' B F'
L F U' D' B' L F
D F D L' B' R' U
D F D' L' B' R' U
B' D R' F L' B' U
L F D' U' B' L F
D F D2 L' B' R' U
L F B L B' U' B'
D F B' L' R' B' U
D F B' R' L' B' U
B' D F L' R' B' U
B' D F R' L' B' U
B2 D F L' B' U F
F D' L' B' L R' U
F D' L' B' R' L U
F D2 L' B' R' U B
F D2 U B' R' F' B
F D2 U B' R' B F'
L B F L B' U' B'
B F U2 L U' B' R'
F B U2 L U' B' R'
L' B' R' U' F R U2
D B' R' F L' B' U
D B' F L' R' B' U
D B' F R' L' B' U
