R F' R F' U B
F2 L U2 B L U' B'
L' R F' R F' U B
L R F' R F' U B
L2 R F' R F' U B
R L F' R F' U B
F L D2 R2 F' U B2
D' L' R2 F' U F2 B
D' L' R2 F' U B F2
R L' F' R F' U B
B L2 R2 F L' U' B
R L2 F' R F' U B
F2 L2 U2 B L U' B2
B L2 F L' U F2 U2
B L2 F L' U' D2 B2
B L2 F L' D R2 U'
B L2 F L' D2 U' B2
B L2 F D L' R2 U'
B L2 F D R2 L' U'
B L2 F D2 L' U' B2
R2 U F' R U R' B
F' R U2 R' B U' B'
R2 U B U' F' R U
D' R2 L' F' U F2 B
D' R2 L' F' U B F2
B R2 L2 F L' U' B
F' R2 U F' R' U R
D' R2 F' L' U F B
D' R2 F' L' U B F
F' R2 F' L2 R' U B'
F' R2 F' R' L2 U B'
F' R2 F' R' U' F U2
F' U R2 F' R' U R'
R2 D' L' F' U F2 B
R2 D' L' F' U B F2
B U F' U R B' U
B U F' U B' R U
R2 D' F' L' U F B
R2 D' F' L' U B F
F2 U' F U' B L U'
F' U' B U2 R U R'
F2 U2 L B L U' B'
F U2 L' D B R2 U'
F U2 L' D2 B U' B
F2 U2 L2 B L U' B2
F U2 L' B U F2 U2
F U2 L' B U' D2 B2
F U2 L' B D R2 U'
F U2 L' B D2 U' B2
F U2 D L' B R2 U'
F U2 D B L' R2 U'
F U2 D B R2 L' U'
F U2 D2 L' B U' B
F U2 D2 B L' U' B
F' U2 B U2 R U B'
R2 F R' F2 R U B
F U2 B L' U F2 U2
F U2 B L' U' D2 B2
F U2 B L' D R2 U'
F U2 B L' D2 U' B2
F U2 B D L' R2 U'
F U2 B D R2 L' U'
F U2 B D2 L' U' B2
R F' L R F' U B
F D U2 L' B R2 U'
F D U2 B L' R2 U'
F D U2 B R2 L' U'
R F' L' R F' U B
R F' L2 R F' U B
R2 F' R U R' B R
R2 F' R U2 R' U' B
R2 F' R D2 L U B'
U' F' R2 U F' R' U
R F' R L F' U B
R F' R L' F' U B
R F' R L2 F' U B
R F' R D F' U B
R F' R D' F' U B
R F' R D2 F' U B
R F' R F' L U B
R F' R F' L' U B
R F' R F' L2 U B
R F' R F' U D B
R F' R F' U D' B
R F' R F' U D2 B
R F' R F' U B D
R F' R F' U B D'
R F' R F' U B D2
R F' R F' D U B
R F' R F' D' U B
R F' R F' D2 U B
U' F' U R2 F' R' U
U' F' U' B U2 R U
R2 F' U B U' R U
F D' L2 U2 L B U'
R2 F' B R B' U B
R2 F' B2 R B2 U B
R2 F2 L' U B L F
R2 F2 R' F R U B
F D2 U2 L' B U' B
F D2 U2 B L' U' B
U2 B U F' U R U
R2 B U' F' R B' U
R2 B U' F' B' R U
R2 B U' B' F' R U
R2 B F' R B' U B
F' B U2 R B' U B
B F' U2 R B' U B
R2 B2 F' R B2 U B
