R F' U B R' F'
L' R F' U B R' F'
L R F' U B R' F'
L2 R F' U B R' F'
R L F' U B R' F'
R L' F' U B R' F'
R L2 F' U B R' F'
R2 U R' F' L' B R'
R2 U R' F' B L' R'
R2 U R' F' B R' L'
R2 U R' B F' L' R'
R2 U R' B F' R' L'
R2 U B R' F' L' B
R2 U B R' F' B L'
R2 U B R' B F' L'
F' R F' U B R' F'
F2 R F' U B R' F'
F R F' U B R' F'
R2 U' R' B L R' F
R2 U' R' B L F R'
R2 U' R' B R' L F
R2 U' B L R' F B
R2 U' B L R' B F
R2 U' B L F R' B
R2 U' B R' L F B
R2 U' B R' L B F
R F' L U B R' F'
R F' L' U B R' F'
R F' L2 U B R' F'
R F' U F B R' F'
R F' U F' B R' F'
R F' U F2 B R' F'
R F' U B R' D F'
R F' U B R' D' F'
R F' U B R' D2 F'
R F' U B R' F' D
R F' U B R' F' D'
R F' U B R' F' D2
R F' U B D R' F'
R F' U B D' R' F'
R F' U B D2 R' F'
R F' U B F R' F'
R F' U B F' R' F'
R F' U B F2 R' F'
R F' B' R' U B2 R'
R' B L R2 U' B R
R' B L U F' U2 R'
R' B L U' R2 B R
R2 B L U' R' B L
R' B R2 L U' B R
R B' F' R' U B2 R'
