D' R F2 U B R'
R2 L U R' B' U B2
D' L R F2 U B R'
L R F2 B' U L' B2
L R F2 B' U B2 L'
R L F2 B' U L' B2
R L F2 B' U B2 L'
L R B' U' R U2 B2
R L B' U' R U2 B2
L R B' F2 U L' B2
L R B' F2 U B2 L'
R L B' F2 U L' B2
R L B' F2 U B2 L'
D' L' R F2 U B R'
L R2 U R' B' U B2
D' L2 R F2 U B R'
R2 U L R' B' U B2
R2 U R' L B' U B2
R2 U R' U D' B R'
R2 U R' D' U B R'
D' R L F2 U B R'
R U D' B R' D2 L2
D' R L' F2 U B R'
D' R L2 F2 U B R'
D' R U B R' D' L2
D' R U B D' L2 R'
D' R U B D' R' L2
D2 R U2 F' U' L2 B
D2 R U2 F' U' B L2
D R D2 F2 U B R'
D2 R F' U' B L2 F
D' R F2 L U B R'
D' R F2 L' U B R'
D' R F2 L2 U B R'
D' R F2 U B R' D
D' R F2 U B R' D'
D' R F2 U B R' D2
D' R F2 U B D R'
D' R F2 U B D' R'
D' R F2 U B D2 R'
D' R F2 B' U B2 R'
D' R B' F2 U B2 R'
D2 R' B R2 U L2 B
D2 R' B R2 U B L2
D' R2 F2 R' U B R'
R' D F' R' B2 U2 R2
R' D F' B2 U2 L R
R' D F' B2 U2 R L
R' D B2 F' U2 L R
R' D B2 F' U2 R L
L D' R F2 B' U B2
L D' R B' F2 U B2
R' D' R2 F2 L' B R'
R' D' R2 F2 B L' R'
R' D' R2 F2 B R' L'
R' D' R2 B F2 L' R'
R' D' R2 B F2 R' L'
R D' U B R' D2 L2
R D' F2 U L' B R'
R D' F2 U B L' R'
R D' F2 U B R' L'
L D' B' R F2 U B
L D2 R B' U L2 B2
L D2 R B' U B2 L2
L D2 B' R U L2 B
L D2 B' R U B L2
B' D' R F2 U B R'
B2 D' R F2 U B R'
B D' R F2 U B R'
R F2 L B' U L2 B2
R F2 L B' U B2 L2
F2 D' F2 R U B R'
R F2 U D' L' B R'
R F2 U D' B L' R'
R F2 U D' B R' L'
R F2 D' U L' B R'
R F2 D' U B L' R'
R F2 D' U B R' L'
D' B R F2 U B R2
D' B R' D' F2 L2 B'
L B' R F2 U L' B
L B' R F2 U B L'
L B' D' R F2 U B
L B' D2 R U L2 B
L B' D2 R U B L2
