R2 L' U B' L2 U
L' R2 U B' L2 U
R2 U L B' U R'
R2 L U L2 B' U B
R2 L U' F R2 U' B
R2 L U' F U F' U2
D2 L U2 F U' L F'
D2 L U2 F U' F' L
D L U2 F B2 U' F'
D L U2 B2 F U' F'
U L D' F2 B' U R'
U L D' B' F2 U R'
U L D2 B' U L2 R'
U L D2 B' U R' L2
D' L F2 U2 F' U' F
R2 L' U L2 U2 F U'
U L B U' L R2 U2
U L B U' R2 L U2
R2 L' U D' B' U B'
R2 L' U B L2 B2 U
R2 L' U B' L2 U D
R2 L' U B' L2 U D'
R2 L' U B' L2 U D2
R2 L' U B' L2 D U
R2 L' U B' L2 D' U
R2 L' U B' L2 D2 U
R2 L' U B' U D' B2
R2 L' U B' D' U B2
R2 L' U B2 L2 B U
U L B' U D2 L2 R'
U L B' U D2 R' L2
U L B' U' R2 U2 R
U L B' D' F2 U R'
U L B' D2 U L2 R'
U L B' D2 U R' L2
R2 L' U2 B D' R2 B2
R2 L' U2 B D' B2 R2
R2 L' D F2 U B' U
F' L' R2 U B' L2 U
F2 L' R2 U B' L2 U
F L' R2 U B' L2 U
R2 L' D' U B' U B'
D' L' U F2 B' L2 U
D2 L' U B' L2 U L
D' L' U B' L2 F2 U
D' L' U B' F2 L2 U
D L' U B' L2 F U
R2 L' F U B' L2 U
R2 L' F' U B' L2 U
R2 L' F2 U B' L2 U
L' R2 U L2 U2 F U'
R2 L2 U L B' L2 U
L2 R2 U L B' L2 U
R2 L2 U L' U2 F U'
L2 R2 U L' U2 F U'
L' R2 U D' B' U B'
L R2 U L2 B' U B
L' R2 U B L2 B2 U
L' R2 U B' L2 U D
L' R2 U B' L2 U D'
L' R2 U B' L2 U D2
L' R2 U B' L2 D U
L' R2 U B' L2 D' U
L' R2 U B' L2 D2 U
L' R2 U B' U D' B2
L' R2 U B' D' U B2
L' R2 U B2 L2 B U
L R2 U' F R2 U' B
L R2 U' F U F' U2
L' R2 U2 B D' R2 B2
L' R2 U2 B D' B2 R2
L' R2 D F2 U B' U
L' R2 D' U B' U B'
L' R2 F U B' L2 U
L' R2 F' U B' L2 U
L' R2 F2 U B' L2 U
R2 U L U2 F U' R
R2 U L D B' U R'
R2 U L D' B' U R'
R2 U L D2 B' U R'
R2 U L B U' L U2
R2 U L B' U R' D
R2 U L B' U R' D'
R2 U L B' U R' D2
R2 U L B' U D R'
R2 U L B' U D' R'
R2 U L B' U D2 R'
R2 U L B' D U R'
R2 U L B' D' U R'
R2 U L B' D2 U R'
R2 U L' B' L2 U R'
R2 U L2 B' L' U R'
R2 U D L B' U R'
R2 U D' L B' U R'
L' U D' F2 B' U B'
L' U D' B' F2 U B'
R2 U D2 L B' U R'
L' U B' L2 U D2 L2
L' U B' L2 U' R2 U2
L' U B' L2 D' F2 U
L' U B' L2 D2 U L2
L' U B' D' F2 U B2
R2 U B' U R B R2
L U' R2 U' F U' F'
R2 U' F U2 L U R
L U' F U R2 U2 B
L U' F U F' R2 U2
R2 U2 R U' L B U
L U2 D F B2 U' F'
L U2 D B2 F U' F'
F' R2 L' U B' L2 U
F2 R2 L' U B' L2 U
L U2 D2 F U' L2 F'
L U2 D2 F U' F' L2
F R2 L' U B' L2 U
L U2 F U R2 B U2
L U2 F U' D2 L2 F'
L U2 F U' D2 F' L2
L U2 F U' F' D2 L2
F' R2 U L B' U R'
L U2 F D B2 U' F'
L U2 F D2 U' L2 F'
L U2 F D2 U' F' L2
F2 R2 U L B' U R'
F R2 U L B' U R'
R2 D L' U B' L2 U
R2 D U L B' U R'
D' U L F2 B' U R'
D' U L B' F2 U R'
L D U2 F B2 U' F'
L D U2 B2 F U' F'
U' D F B2 R' U' R2
D' U F2 L B' U R'
R2 D' L' U B' L2 U
U' D B2 R' F U' R
U' D B2 F R' U' R2
U2 D B2 R' F' U' F
L' D' U F2 B' U B'
L' D' U B' F2 U B'
R2 D' U L B' U R'
U D' L F2 B' U R'
U D' L B' F2 U R'
L D' F2 U2 F' U' F
D U' F B2 R' U' R2
U D' F2 L B' U R'
R2 D2 L' U B' L2 U
D U' B2 R' F U' R
D U' B2 F R' U' R2
R2 D2 U L B' U R'
L D2 U2 F U' L2 F'
L D2 U2 F U' F' L2
D U2 B2 R' F' U' F
R2 F L' U B' L2 U
L' F R2 U B' L2 U
R2 F U L B' U R'
U' F D B2 R' U' R2
R2 F' L' U B' L2 U
L' F' R2 U B' L2 U
R2 F' U L B' U R'
B2 D' R2 F2 L' B' U
D' F2 L U2 F U' F'
R2 F2 L' U B' L2 U
L' F2 R2 U B' L2 U
L F2 R2 U B U B'
R2 F2 U L B' U R'
L' B' L2 U' R2 U2 F'
L' B' L2 U' B R2 U2
U B' U' R2 U2 R B
L B2 D' F2 R2 B U
