D' L R2 B D L2
F L' F' D' R2 B
F' R U B2 U F
F' R U2 D' R2 F
F' R U2 D' F R2
F' R U2 F D' R2
F' R D L2 B' U2
F' R D' U2 R2 F
F' R D' U2 F R2
D' R2 L B D L2
D' R2 D' B' L B2
D' R2 B2 D' B' L
F' D L2 R B' U2
F' D L2 B' R U2
F' D R L2 B' U2
U2 F' R U B2 U
U2 F' R U2 D' R2
U2 F' R D L2 U2
U2 F' R D' U2 R2
U2 F' D L2 R U2
U2 F' D R L2 U2
F' D' R U2 R F
U2 F' D' R U2 R
D2 B' L D R2 B
D2 B' D L R2 B
D2 B' D R2 L B
U' B2 U' F' R U2
D2 B2 D R2 B L
D' L R2 U B' U' B2
D' L R2 D B D L2
D' L R2 D' B D L2
D' L R2 D2 B D L2
D' L R2 B L D L2
D' L R2 B L' D L2
D' L R2 B L2 D L2
D' L R2 B U B2 U'
D' L R2 B D L2 D
D' L R2 B D L2 D'
D' L R2 B D L2 D2
D' L U B' U' R2 B
U2 L F' R U B2 U
U2 L F' R U2 D' R2
U2 L F' R D L2 U2
U2 L F' R D' U2 R2
F L F' L2 D' R2 B
U2 L F' D L2 R U2
U2 L F' D R L2 U2
U2 L F' D' R U2 R
D' L B R2 D L2 B
D' L B R2 D B L2
D2 L B' L D R2 B
D2 L B' D L R2 B
D2 L B' D R2 L B
D2 L B2 D R2 B L
U' L B2 U' F' R U2
D' L' R2 U' F U B
D' L' R2 B U' F U
F L' D' F' R2 D' B2
F L' D2 B2 D F' R2
D' L' F U F' R2 B
U2 L' F' R U B2 U
U2 L' F' R U2 D' R2
U2 L' F' R D L2 U2
U2 L' F' R D' U2 R2
F L' F' R2 D' B R2
U2 L' F' D L2 R U2
U2 L' F' D R L2 U2
U2 L' F' D' R U2 R
F L' F' D' R2 D B
F L' F' D' R2 D' B
F L' F' D' R2 D2 B
F L' F' D' R2 B D
F L' F' D' R2 B D'
F L' F' D' R2 B D2
F L' F' D' B R2 B
F L' F' D' B' R2 B
F L' F' D' B2 R2 B
F L' F2 D' F R2 B
D2 L' B' L D R2 B
D2 L' B' D L R2 B
D2 L' B' D R2 L B
D2 L' B2 D R2 B L
U' L' B2 U' F' R U2
F' L2 R D L2 U2 F
F' L2 R D B' L2 U2
F' L2 R D' B' U2 R2
F' L2 R B' U B' U
F' L2 D L2 R U2 F
F' L2 D R L2 U2 F
F' L2 D R B' L2 U2
F' L2 D B' L2 R U2
F' L2 D B' R L2 U2
F' L2 D' R B' U2 R
F' L2 D' B' R U2 R
D L2 D' F' R U2 F
U2 L2 F' R U B2 U
U2 L2 F' R U2 D' R2
U2 L2 F' R D L2 U2
U2 L2 F' R D' U2 R2
F L2 F' L D' R2 B
U2 L2 F' D L2 R U2
U2 L2 F' D R L2 U2
U2 L2 F' D' R U2 R
D L2 F' U2 D' F L'
D L2 F' D' U2 F L'
F L2 F' D' L R2 B
F L2 F' D' R2 L B
D2 L2 B' L D R2 B
F' L2 B' R U B' U
D2 L2 B' D L R2 B
D2 L2 B' D R2 L B
D2 L2 B2 D R2 B L
U' L2 B2 U' F' R U2
F' R L2 D L2 U2 F
F' R L2 D B' L2 U2
F' R L2 D' B' U2 R2
F' R L2 B' U B' U
F' R U R B2 U F
F' R U R' B2 U F
F' R U R2 B2 U F
F' R U B2 R U F
F' R U B2 R' U F
F' R U B2 R2 U F
F' R U B2 U D F
F' R U B2 U D' F
F' R U B2 U D2 F
F' R U B2 U F D
F' R U B2 U F D'
F' R U B2 U F D2
F' R U B2 D U F
F' R U B2 D' U F
F' R U B2 D2 U F
F' R U' D2 F2 U' F'
F' R U2 R D' R2 F
F' R U2 R D' F R2
F' R U2 R F D' R2
F' R U2 R' D' R2 F
F' R U2 R' D' F R2
F' R U2 R' F D' R2
F' R U2 R2 D' R2 F
F' R U2 R2 D' F R2
F' R U2 R2 F D' R2
F' R U2 D F D2 R2
F' R U2 D' R' F R'
F' R U2 D' R2 D F
F' R U2 D' R2 D' F
F' R U2 D' R2 D2 F
F' R U2 D' R2 F D
F' R U2 D' R2 F D'
F' R U2 D' R2 F D2
F' R U2 D' F R2 D
F' R U2 D' F R2 D'
F' R U2 D' F R2 D2
F' R U2 D' F' R2 F2
F' R U2 F R D' R2
F' R U2 F R' D' R2
F' R U2 F R2 D' R2
F' R U2 F U' B2 U
F' R U2 F D' R2 D
F' R U2 F D' R2 D'
F' R U2 F D' R2 D2
F' R U2 F2 D' F' R2
F' R D L2 D B' U2
F' R D L2 D' B' U2
F' R D L2 D2 B' U2
F' R D L2 B' U2 D
F' R D L2 B' U2 D'
F' R D L2 B' U2 D2
F' R D L2 B' D U2
F' R D L2 B' D' U2
F' R D L2 B' D2 U2
F' R D U2 F D2 R2
F' R D B L2 B' U2
F' R D B' L2 B' U2
F' R D B2 L2 B' U2
D' R D' R B' L B2
